상품명,상품URL,상품설명,이미지URL,정가,판매가,할인율,리뷰수,색상,판매수량,카테고리
워싱코튼 하이넥 롱 트렌치 코트,https://www.chicfox.co.kr/shop/shopdetail.html?branduid=512403&xcode=010&mcode=004&scode=&type=X&sort=manual&cur_code=010004&search=&GfDT=aG53UA%3D%3D,,https://cdn4-aka.makeshop.co.kr/shopimages/chicfox/0100040003582.gif?1742528857,,120000,,0,그레이,0,OUTER > 코트
퀸벨 차이나 롱 트렌치 코트,https://www.chicfox.co.kr/shop/shopdetail.html?branduid=512397&xcode=010&mcode=004&scode=&type=X&sort=manual&cur_code=010004&search=&GfDT=bGZ3Uw%3D%3D,,https://cdn4-aka.makeshop.co.kr/shopimages/chicfox/0100040003572.gif?1742344152,,75000,,0,"베이지, 블랙",0,OUTER > 코트
메이수 하프 트렌치코트,https://www.chicfox.co.kr/shop/shopdetail.html?branduid=511423&xcode=010&mcode=004&scode=&type=X&sort=manual&cur_code=010004&search=&GfDT=bm53Ug%3D%3D,,https://cdn4-aka.makeshop.co.kr/shopimages/chicfox/0100040003392.gif?1727396137,,65000,,7,"연베이지, 데님진청",0,OUTER > 코트
캔디크레이지 하프 트렌치코트,https://www.chicfox.co.kr/shop/shopdetail.html?branduid=510107&xcode=010&mcode=004&scode=&type=X&sort=manual&cur_code=010004&search=&GfDT=bmt9W1g%3D,,https://cdn4-aka.makeshop.co.kr/shopimages/chicfox/0100040003372.gif?1710838770,,128000,,10,"연베이지, 진베이지",0,OUTER > 코트
맥킨 레글런 하프 트렌치 코트,https://www.chicfox.co.kr/shop/shopdetail.html?branduid=509757&xcode=010&mcode=004&scode=&type=X&sort=manual&cur_code=010004&search=&GfDT=bmt0W1k%3D,,https://cdn4-aka.makeshop.co.kr/shopimages/chicfox/0100040003362.gif?1726101413,,84000,,26,"진베이지, 블랙",0,OUTER > 코트
코제이 벌룬 슬리브 하프넥 트렌치점퍼,https://www.chicfox.co.kr/shop/shopdetail.html?branduid=512477&xcode=010&mcode=004&scode=&type=X&sort=manual&cur_code=010004&search=&GfDT=am53UQ%3D%3D,,https://cdn4-aka.makeshop.co.kr/shopimages/chicfox/0100040003592.gif?1743066795,,87000,,2,베이지,0,OUTER > 코트
와샤 하이넥 하프 트렌치 코트,https://www.chicfox.co.kr/shop/shopdetail.html?branduid=512522&xcode=010&mcode=004&scode=&type=X&sort=manual&cur_code=010004&search=&GfDT=bml0W1o%3D,,//cdn4-aka.makeshop.co.kr/shopimages/chicfox/0100040003602.gif?1743671455,,,,0,그레이,0,OUTER > 코트
