상품명,상품URL,상품설명,이미지URL,정가,판매가,할인율,리뷰수,색상,카테고리
[MADE] 아이콘 벨벳 데님 팬츠,https://www.joamom.co.kr/shop/shopdetail.html?branduid=61300&xcode=065&mcode=008&scode=&type=X&sort=manual&cur_code=065008&search=&GfDT=bmt4W11H,"명품브랜드에서 앞다퉈 출시하는 벨벳데님 소재!
다리가 엄청 날씬해보이는 힘있게 잡아주는 핏
(S~XXL / 2color)",,49500,29800,40,20,"rgb(45, 51, 64);, rgb(0, 0, 0);",MADFIT
[MADE] 시그니처 롤업 밴딩팬츠,https://www.joamom.co.kr/shop/shopdetail.html?branduid=60902&xcode=065&mcode=008&scode=&type=X&sort=manual&cur_code=065008&search=&GfDT=Z2h3UFg%3D,"여러분들의 사랑으로 새로운 시그니처 등장!
여유있는 일자핏에 밑단 롤업으로 캐쥬얼한 코디 완성!
(S~XXL / 2color / 기본,롱)",,39800,14800,63,286,"rgb(31, 31, 31);, rgb(75, 81, 89);",MADFIT
[MADE] 치즈 와이드 팬츠 JP05057,https://www.joamom.co.kr/shop/shopdetail.html?branduid=55837&xcode=065&mcode=008&scode=&type=X&sort=manual&cur_code=065008&search=&GfDT=aG53UFk%3D,"다리라인 드러나지 않는 딱적당한 와이드
치즈원단 말해뭐해요? 미친주문속도
(S~XXL / 3color / 롱다리ver.)",,9800,8900,10,1,"rgb(223, 204, 190);, rgb(34, 37, 70);, rgb(0, 0, 0);",MADFIT
[MADE] 똥배커버 아이스 팬츠,https://www.joamom.co.kr/shop/shopdetail.html?branduid=60493&xcode=065&mcode=008&scode=&type=X&sort=manual&cur_code=065008&search=&GfDT=aW13UFo%3D,"쫀쫀하고 시원한 6cm 매쉬 밴드!
사각사각 쿨링감 느껴지는 아이스 원단
(S~XXL / 3color / 기본,롱)",,36500,14800,59,774,"rgb(181, 177, 159);, rgb(19, 33, 59);, rgb(0, 0, 0);",MADFIT
[MADE] 쿨 분또 핀턱 반바지,https://www.joamom.co.kr/shop/shopdetail.html?branduid=60470&xcode=065&mcode=008&scode=&type=X&sort=manual&cur_code=065008&search=&GfDT=Zml3UFs%3D,"여름 내내 시원한 쿨 분또 원단~
핀턱 디테일로 사랑스러운 아웃핏
와이드한 통으로 군살 커버 OK
(M,L / 2color)",,28500,9800,66,18,"rgb(245, 225, 234);, rgb(0, 0, 0);",MADFIT
[MADE] 치즈 턱 4부 팬츠,https://www.joamom.co.kr/shop/shopdetail.html?branduid=60409&xcode=065&mcode=008&scode=&type=X&sort=manual&cur_code=065008&search=&GfDT=aGZ3UFQ%3D,"구김, 변형 걱정없는 치즈로 한여름까지 원턱주름의 4부 길이로 날씬한 레그라인(S~XL / 3color)",,9800,8900,10,69,"rgb(0, 0, 0);, rgb(25, 27, 31);, rgb(201, 193, 181);",MADFIT
[MADE] 쿨 분또 와이드 팬츠,https://www.joamom.co.kr/shop/shopdetail.html?branduid=60366&xcode=065&mcode=008&scode=&type=X&sort=manual&cur_code=065008&search=&GfDT=bGx3UFU%3D,"탄탄하고 시원한 쿨 분또 원단!
세련된 플레어 와이드핏으로 언제 어디서나~
(M,L / 2color)",,32500,9800,70,44,"rgb(245, 225, 234);, rgb(0, 0, 0);",MADFIT
[MADE] 베라 반밴딩 와이드 슬랙스 23SS,https://www.joamom.co.kr/shop/shopdetail.html?branduid=60087&xcode=065&mcode=008&scode=&type=X&sort=manual&cur_code=065008&search=&GfDT=Zm53U1w%3D,"구김없이 찰랑이면서 툭 떨어지는 원단!
딱 적당한 와이드핏이라 부담없이 스타일리쉬해요
(S~XL / 3color)",,45500,14800,67,36,"rgb(0, 0, 0);, rgb(189, 182, 164);, rgb(235, 235, 235);",MADFIT
[MADE] 라이트 썸머 데님 팬츠,https://www.joamom.co.kr/shop/shopdetail.html?branduid=58481&xcode=065&mcode=008&scode=&type=X&sort=manual&cur_code=065008&search=&GfDT=a2h3U10%3D,"입어보면 알게되면 프리미엄 데님원단~
얇고 가벼운데 고슬하게 청량감까지~!
(S~XXL / 3color/ 기본, 롱)",,45800,14800,68,328,"rgb(202, 214, 227);, rgb(109, 114, 143);, rgb(63, 72, 94);",MADFIT
[MADE] 더블 핀턱 와이드 슬랙스,https://www.joamom.co.kr/shop/shopdetail.html?branduid=58463&xcode=065&mcode=008&scode=&type=X&sort=manual&cur_code=065008&search=&GfDT=bmp3U14%3D,"찰랑찰랑 구김적은 시원한 원단에
세련된 핀턱으로 다리가 정말 길어보여요
(S~XXL / 3color)",,36500,14800,59,214,"rgb(176, 165, 147);, rgb(0, 0, 0);, rgb(180, 205, 199);",MADFIT
