상품명,상품URL,상품설명,이미지URL,정가,판매가,할인율,리뷰수,색상,판매수량,카테고리
넛트 스카시니트베스트,https://www.chicfox.co.kr/shop/shopdetail.html?branduid=502189&xcode=113&mcode=003&scode=&search=&GfDT=bml5W10%3D,,https://cdn4-aka.makeshop.co.kr/shopimages/chicfox/0010080000452.gif?1680828375,,29800,,408,"아이보리,크림, 브라운, 블랙",0,KNIT/CARDIGAN > 베스트
리프 스카시 니트 베스트,https://www.chicfox.co.kr/shop/shopdetail.html?branduid=512599&xcode=113&mcode=003&scode=&search=&GfDT=bm11W14%3D,,https://cdn4-aka.makeshop.co.kr/shopimages/chicfox/0010080002332.gif?1744878184,,24800,,0,"아이보리,크림, 브라운, 블랙",0,KNIT/CARDIGAN > 베스트
[made]고시케 펀칭 니트베스트,https://www.chicfox.co.kr/shop/shopdetail.html?branduid=510156&xcode=113&mcode=003&scode=&search=&GfDT=Z2d3Ug%3D%3D,,https://cdn4-aka.makeshop.co.kr/shopimages/chicfox/0010080000062.gif?1711358411,,29800,,36,"베이지, 핑크, 데님연청, 옐로우, 형광연두",0,KNIT/CARDIGAN > 베스트
플리온 니트베스트,https://www.chicfox.co.kr/shop/shopdetail.html?branduid=504169&xcode=113&mcode=003&scode=&search=&GfDT=bml6W1g%3D,,https://cdn4-aka.makeshop.co.kr/shopimages/chicfox/0010080001692.gif?1650623632,,29800,,453,"아이보리,크림, 민트, 베이지, 블랙",0,KNIT/CARDIGAN > 베스트
우드버튼 케이블 니트 베스트,https://www.chicfox.co.kr/shop/shopdetail.html?branduid=512507&xcode=113&mcode=003&scode=&search=&GfDT=bm94W1k%3D,,https://cdn4-aka.makeshop.co.kr/shopimages/chicfox/0010080002292.gif?1743480336,,28000,,3,"아이보리,크림, 그레이",0,KNIT/CARDIGAN > 베스트
[made]에버리 펀칭 뜨개 버튼 니트 나시,https://www.chicfox.co.kr/shop/shopdetail.html?branduid=510838&xcode=113&mcode=003&scode=&type=Y&sort=manual&cur_code=113003&search=&GfDT=bm58W1w%3D,,https://cdn4-aka.makeshop.co.kr/shopimages/chicfox/0010080000192.gif?1721098174,,19800,,328,"베이지, 블랙, 데님1, 그린, 화이트",0,KNIT/CARDIGAN > 베스트
오르디 배색니트베스트,https://www.chicfox.co.kr/shop/shopdetail.html?branduid=508070&xcode=113&mcode=003&scode=&type=Y&sort=manual&cur_code=113003&search=&GfDT=Z2Z3VA%3D%3D,,//cdn4-aka.makeshop.co.kr/shopimages/chicfox/0010080000992.gif?1693298378,,24800,,144,"베이지, 브라운, 블랙",0,KNIT/CARDIGAN > 베스트
모어링 골지 울 니트 베스트,https://www.chicfox.co.kr/shop/shopdetail.html?branduid=512384&xcode=113&mcode=003&scode=&type=Y&sort=manual&cur_code=113003&search=&GfDT=aml3Vw%3D%3D,,//cdn4-aka.makeshop.co.kr/shopimages/chicfox/0010080002242.jpg?1741906697,,19800,,5,"베이지, 챠콜, 그레이",0,KNIT/CARDIGAN > 베스트
어텀컬러 단추니트베스트,https://www.chicfox.co.kr/shop/shopdetail.html?branduid=505083&xcode=113&mcode=003&scode=&type=Y&sort=manual&cur_code=113003&search=&GfDT=Z213Vg%3D%3D,,//cdn4-aka.makeshop.co.kr/shopimages/chicfox/0010080000922.gif?1661420768,,14800,,559,"화이트, 블랙, 핑크, 그린",0,KNIT/CARDIGAN > 베스트
코빈 짜임 니트 베스트,https://www.chicfox.co.kr/shop/shopdetail.html?branduid=512399&xcode=113&mcode=003&scode=&type=Y&sort=manual&cur_code=113003&search=&GfDT=bmp9W1U%3D,,//cdn4-aka.makeshop.co.kr/shopimages/chicfox/0010080002262.jpg?1742289443,,29800,,3,"연베이지, 그린, 네이비",0,KNIT/CARDIGAN > 베스트
[1+1]어텀컬러 단추니트베스트,https://www.chicfox.co.kr/shop/shopdetail.html?branduid=510640&xcode=113&mcode=003&scode=&type=Y&sort=manual&cur_code=113003&search=&GfDT=bm55W11E,,//cdn4-aka.makeshop.co.kr/shopimages/chicfox/0010080002132.gif?1730362945,29600,26700,10,561,,0,KNIT/CARDIGAN > 베스트
피츠넛 배색니트베스트,https://www.chicfox.co.kr/shop/shopdetail.html?branduid=503573&xcode=113&mcode=003&scode=&type=Y&sort=manual&cur_code=113003&search=&GfDT=bmt7W11F,,//cdn4-aka.makeshop.co.kr/shopimages/chicfox/0010080001762.gif?1648793993,,33000,,397,"아이보리,크림, 네이비",0,KNIT/CARDIGAN > 베스트
하루에 울니트 베스트,https://www.chicfox.co.kr/shop/shopdetail.html?branduid=499344&xcode=113&mcode=003&scode=&type=Y&sort=manual&cur_code=113003&search=&GfDT=bm11W11G,램스울 소재로 정직한 스탠다드 V넥,//cdn4-aka.makeshop.co.kr/shopimages/chicfox/0010080000332.gif?1645145474,,19800,,682,"베이지, 그레이",0,KNIT/CARDIGAN > 베스트
델라인 꽈배기니트베스트,https://www.chicfox.co.kr/shop/shopdetail.html?branduid=496076&xcode=113&mcode=003&scode=&type=Y&sort=manual&cur_code=113003&search=&GfDT=am53UF8%3D,,//cdn4-aka.makeshop.co.kr/shopimages/chicfox/0010080000602.jpg?1607674031,,26800,,585,"아이보리,크림, 베이지, 그레이",0,KNIT/CARDIGAN > 베스트
