상품명,상품URL,상품설명,이미지URL,정가,판매가,할인율,리뷰수,색상,카테고리
레이 하프밴딩 린넨 슬랙스,https://www.joamom.co.kr/shop/shopdetail.html?branduid=62002&xcode=065&mcode=001&scode=&type=X&sort=manual&cur_code=065001&search=&GfDT=a2h3WA%3D%3D,"쾌적한 착용감을 주는 린넨 블렌딩 소재
쫀득한 신축성으로 착용감까지 완벽해요 !
(3color / S~L)",,39800,27800,30,20,"rgb(222, 216, 202);, rgb(99, 88, 84);, rgb(0, 0, 0);",일자핏
[MADE] 시그니처 썸머 면 밴딩팬츠,https://www.joamom.co.kr/shop/shopdetail.html?branduid=61994&xcode=065&mcode=001&scode=&type=X&sort=manual&cur_code=065001&search=&GfDT=amZ3UFw%3D,"여러번 입어도 뛰어난 스판 복원력 !
아랫배까지 완벽히 커버하는 효자 아이템 ♥
(4color / S~XXL / 기본,롱)",,36500,14800,59,2,"rgb(0, 0, 0);, rgb(255, 255, 255);, rgb(227, 224, 209);, rgb(230, 230, 230);",일자핏
르마스 바스락 점프수트,https://www.joamom.co.kr/shop/shopdetail.html?branduid=60661&xcode=065&mcode=001&scode=&type=X&sort=manual&cur_code=065001&search=&GfDT=Z2l3UF0%3D,"간편하면서도 스타일리쉬한 점프 수트!
허리라인은 잘록하게 레그라인은 길어 보여요
(2color)",,46000,32200,30,1,"rgb(227, 217, 204);, rgb(0, 0, 0);",일자핏
펠리드 9부 와이드 팬츠,https://www.joamom.co.kr/shop/shopdetail.html?branduid=60329&xcode=065&mcode=001&scode=&type=X&sort=manual&cur_code=065001&search=&GfDT=bmt7W11G,"경쾌하게 산뜻한 9부 와이드 핏!
폭 넓은 사이즈에 가벼운 코튼 소재로 데일리로 굿
(S~XXXL / 4color)",,29500,26600,10,52,"rgb(255, 255, 255);, rgb(217, 211, 193);, rgb(147, 172, 217);, rgb(0, 0, 0);",일자핏
모던 투핀턱 와이드 슬랙스,https://www.joamom.co.kr/shop/shopdetail.html?branduid=62312&xcode=065&mcode=001&scode=&type=X&sort=manual&cur_code=065001&search=&GfDT=aG13UF8%3D,"지금부터 가을까지- 내내 입기좋은
멋스러운 투핀턱 슬랙스 준비했어요
(3color / S~L)",,44000,30800,30,8,"rgb(199, 190, 161);, rgb(117, 96, 68);, rgb(0, 0, 0);",일자핏
어게인 일자 슬랙스,https://www.joamom.co.kr/shop/shopdetail.html?branduid=62324&xcode=065&mcode=001&scode=&type=X&sort=manual&cur_code=065001&search=&GfDT=bm17W11A,"탱글탱글한 소재감에 날씬하게 떨어지는 핏
길이수선 필요없는 2가지 길이 옵션선택
(4color / S~XL / 숏,롱)",,36000,25200,30,3,"rgb(0, 0, 0);, rgb(181, 178, 168);, rgb(150, 133, 107);, rgb(69, 69, 69);",일자핏
[MADE] 오디너리 보이핏 코튼 팬츠,https://www.joamom.co.kr/shop/shopdetail.html?branduid=62265&xcode=065&mcode=001&scode=&type=X&sort=manual&cur_code=065001&search=&GfDT=a213UFk%3D,"일상속에 꼭 필요한 새로운 매드핏 면팬츠♡
캐쥬얼부터 이지한 무드까지 활용도 만점~!
(3color / S~XXL / 기본, 롱)",,39800,19800,50,35,"rgb(242, 238, 230);, rgb(54, 66, 8);, rgb(0, 0, 0);",일자핏
[MADE] 치즈 시크릿 일자 슬랙스 JP06012,https://www.joamom.co.kr/shop/shopdetail.html?branduid=62247&xcode=065&mcode=001&scode=&type=X&sort=manual&cur_code=065001&search=&GfDT=bG53UFo%3D,"기본중의 기본이지만 치즈소재와 만나면?
구김없고 세탁관리에도 완벽한 Cheese~~
(3color / S~XXL)",,36500,19800,46,1,"rgb(247, 244, 235);, rgb(163, 146, 108);, rgb(0, 0, 0);",일자핏
데미지 반밴딩 코튼 팬츠,https://www.joamom.co.kr/shop/shopdetail.html?branduid=60937&xcode=065&mcode=001&scode=&type=X&sort=manual&cur_code=065001&search=&GfDT=bm95W11D,"활용도 넘 좋은 여유있는 일자 팬츠,
노말워싱으로 부드러운 터치감, 데미지 디테일로 포인트 업!
(S~XL / 2color)",,39800,27800,30,1,"rgb(235, 232, 225);, rgb(204, 173, 204);",일자핏
헤인즈 울 슬랙스,https://www.joamom.co.kr/shop/shopdetail.html?branduid=59036&xcode=065&mcode=001&scode=&type=X&sort=manual&cur_code=065001&search=&GfDT=bm16W11M,베이직하게 꼭! 필요한 기본 슬랙스 브랜드공장 제품으로 실물 퀄리티 굿!! (S~L / 3color),,55000,29800,46,5,"rgb(135, 129, 117);, rgb(80, 72, 61);, rgb(0, 0, 0);",일자핏
헤링본 트윌 기모 슬랙스,https://www.joamom.co.kr/shop/shopdetail.html?branduid=62671&xcode=065&mcode=001&scode=&type=X&sort=manual&cur_code=065001&search=&GfDT=bm1%2FW11N,"클래식한 헤링본 패턴에 울터치+속기모까지!
일자로 툭 떨어지는 와이드한 핏으로 멋스러워~
(3color / S~L)",,42000,37800,10,1,"rgb(237, 233, 230);, rgb(79, 77, 79);, rgb(0, 0, 0);",일자핏
어게인 일자 기모 슬랙스,https://www.joamom.co.kr/shop/shopdetail.html?branduid=62568&xcode=065&mcode=001&scode=&type=X&sort=manual&cur_code=065001&search=&GfDT=Zm93U1w%3D,"탱글쫀쫀한 소재감에 날씬하게 떨어지는 핏
길이수선 필요없는 2가지 길이 옵션선택
(4color / S~XL / 숏,롱)",,42000,25200,40,17,"rgb(227, 222, 216);, rgb(112, 95, 64);, rgb(48, 47, 48);, rgb(0, 0, 0);",일자핏
