상품명,상품URL,상품설명,이미지URL,정가,판매가,할인율,리뷰수,색상,판매수량,카테고리
로멘 볼륨 슬리브 브이넥 니트,https://www.chicfox.co.kr/shop/shopdetail.html?branduid=509388&xcode=001&mcode=001&scode=&type=X&sort=manual&cur_code=001001&search=&GfDT=bm1%2FW11B,,//cdn4-aka.makeshop.co.kr/shopimages/chicfox/0010010056832.gif?1702369566,36000,32400,10,4,"아이보리,크림, 카키, 그레이, 블랙",0,TOP > 니트
크로유 오픈카라 포켓 니트,https://www.chicfox.co.kr/shop/shopdetail.html?branduid=509356&xcode=001&mcode=001&scode=&type=X&sort=manual&cur_code=001001&search=&GfDT=bm58W11C,,//cdn4-aka.makeshop.co.kr/shopimages/chicfox/0010010065302.gif?1701418914,,39800,,3,"그린, 그레이, 네이비",0,TOP > 니트
헤일로 램스울 니트,https://www.chicfox.co.kr/shop/shopdetail.html?branduid=509354&xcode=001&mcode=001&scode=&type=X&sort=manual&cur_code=001001&search=&GfDT=Z253UFs%3D,,//cdn4-aka.makeshop.co.kr/shopimages/chicfox/0010010067302.gif?1701419488,,54000,,1,"그레이, 핑크, 데님연청, 브라운",0,TOP > 니트
트램 울 플라워 니트,https://www.chicfox.co.kr/shop/shopdetail.html?branduid=509235&xcode=001&mcode=001&scode=&type=X&sort=manual&cur_code=001001&search=&GfDT=bmp%2FW11M,,//cdn4-aka.makeshop.co.kr/shopimages/chicfox/0010010065742.gif?1700647031,68000,47600,30,1,"베이지, 인디핑크, 블랙",0,TOP > 니트
[made]뉴에트 오버핏 브이넥 단가라니트,https://www.chicfox.co.kr/shop/shopdetail.html?branduid=508808&xcode=001&mcode=001&scode=&type=X&sort=manual&cur_code=001001&search=&GfDT=amd3UFU%3D,,//cdn4-aka.makeshop.co.kr/shopimages/chicfox/0010010054072.gif?1703838799,38000,24800,35,12,"아이보리,크림, 그레이",0,TOP > 니트
키치트윈 브이넥니트,https://www.chicfox.co.kr/shop/shopdetail.html?branduid=508804&xcode=001&mcode=001&scode=&type=X&sort=manual&cur_code=001001&search=&GfDT=bmp7W15E,,//cdn4-aka.makeshop.co.kr/shopimages/chicfox/0010010065432.gif?1699518357,35000,21000,40,2,"아이보리,크림, 옐로우, 브라운, 그레이, 블랙",0,TOP > 니트
보송보송 모헤어 라운드 니트,https://www.chicfox.co.kr/shop/shopdetail.html?branduid=508732&xcode=001&mcode=001&scode=&type=X&sort=manual&cur_code=001001&search=&GfDT=bm5%2FW15F,,//cdn4-aka.makeshop.co.kr/shopimages/chicfox/0010010059912.gif?1699266582,,35800,,2,"아이보리,크림, 그레이",0,TOP > 니트
유앤미 배색반팔울니트,https://www.chicfox.co.kr/shop/shopdetail.html?branduid=508488&xcode=001&mcode=001&scode=&type=X&sort=manual&cur_code=001001&search=&GfDT=bm9%2BW15G,,//cdn4-aka.makeshop.co.kr/shopimages/chicfox/0010010063752.gif?1697586664,29800,19800,34,2,"아이보리,크림, 그레이",0,TOP > 니트
슈레드 셔츠레이어드니트,https://www.chicfox.co.kr/shop/shopdetail.html?branduid=508470&xcode=001&mcode=001&scode=&type=X&sort=manual&cur_code=001001&search=&GfDT=aGp3U18%3D,,//cdn4-aka.makeshop.co.kr/shopimages/chicfox/0010010061562.gif?1697440947,29800,14900,50,6,"네이비, 브라운",0,TOP > 니트
클랩 셔츠레이어드꽈배기니트,https://www.chicfox.co.kr/shop/shopdetail.html?branduid=508455&xcode=001&mcode=001&scode=&type=X&sort=manual&cur_code=001001&search=&GfDT=bmp6W15A,,//cdn4-aka.makeshop.co.kr/shopimages/chicfox/0010010065342.gif?1697184996,34000,14800,56,4,"아이보리,크림, 카키, 챠콜",0,TOP > 니트
