상품명,상품URL,상품설명,이미지URL,정가,판매가,할인율,리뷰수,색상,판매수량,카테고리
위드유 실키 텐셀 데님셔츠,https://www.chicfox.co.kr/shop/shopdetail.html?branduid=512536&xcode=001&mcode=006&scode=&type=X&sort=manual&cur_code=001006&search=&GfDT=aG13UFs%3D,,//cdn4-aka.makeshop.co.kr/shopimages/chicfox/0010060050902.gif?1744263369,,39800,,1,"데님3, 데님연청",0,TOP > 셔츠
로러블 오버핏 체크셔츠,https://www.chicfox.co.kr/shop/shopdetail.html?branduid=512132&xcode=001&mcode=006&scode=&type=X&sort=manual&cur_code=001006&search=&GfDT=bml9W11M,,//cdn4-aka.makeshop.co.kr/shopimages/chicfox/0010060050652.gif?1736218735,,24000,,10,"옐로우, 데님연청, 네이비, 블랙",0,TOP > 셔츠
[made]크로스로 텐셀 데님 셔츠,https://www.chicfox.co.kr/shop/shopdetail.html?branduid=510533&xcode=001&mcode=006&scode=&type=X&sort=manual&cur_code=001006&search=&GfDT=bm50W11N,,//cdn4-aka.makeshop.co.kr/shopimages/chicfox/0010060040082.gif?1714384162,,39800,,34,데님연청,0,TOP > 셔츠
코튼베이 세미크롭셔츠,https://www.chicfox.co.kr/shop/shopdetail.html?branduid=505030&xcode=001&mcode=006&scode=&type=X&sort=manual&cur_code=001006&search=&GfDT=bml3U1w%3D,,//cdn4-aka.makeshop.co.kr/shopimages/chicfox/0010060047422.gif?1692878529,,22000,,89,"아이보리,크림, 소라",0,TOP > 셔츠
에이린즈 백 슬릿 루즈핏 셔츠,https://www.chicfox.co.kr/shop/shopdetail.html?branduid=512469&xcode=001&mcode=006&scode=&type=X&sort=manual&cur_code=001006&search=&GfDT=bmx9W15F,,//cdn4-aka.makeshop.co.kr/shopimages/chicfox/0010060050872.gif?1743122395,,34800,,2,"아이보리,크림, 핑크, 소라, 연두",0,TOP > 셔츠
에쉴린 포켓 핀턱 벌룬 슬리브 셔츠,https://www.chicfox.co.kr/shop/shopdetail.html?branduid=512433&xcode=001&mcode=006&scode=&type=X&sort=manual&cur_code=001006&search=&GfDT=bmp7W15G,,//cdn4-aka.makeshop.co.kr/shopimages/chicfox/0010060050842.gif?1742554576,,39800,,0,"아이보리,크림, 옐로우, 소라",0,TOP > 셔츠
[1+1]레미츠 셔츠,https://www.chicfox.co.kr/shop/shopdetail.html?branduid=510885&xcode=001&mcode=006&scode=&type=X&sort=manual&cur_code=001006&search=&GfDT=bmt7W15H,,//cdn4-aka.makeshop.co.kr/shopimages/chicfox/0010060050582.gif?1730288666,39600,35700,10,496,"아이보리,크림, 진베이지",0,TOP > 셔츠
[made]링클프리 스텐다드핏 베이직셔츠,https://www.chicfox.co.kr/shop/shopdetail.html?branduid=507980&xcode=001&mcode=006&scode=&type=X&sort=manual&cur_code=001006&search=&GfDT=bmp3U1g%3D,,//cdn4-aka.makeshop.co.kr/shopimages/chicfox/0010060039872.gif?1692833318,,21800,,68,"아이보리,크림, 데님연청, 핑크, 베이지, 카키",0,TOP > 셔츠
[made]메디쿤 오버핏 옥스포드셔츠,https://www.chicfox.co.kr/shop/shopdetail.html?branduid=507947&xcode=001&mcode=006&scode=&type=X&sort=manual&cur_code=001006&search=&GfDT=bm95W15B,,//cdn4-aka.makeshop.co.kr/shopimages/chicfox/0010060039882.gif?1692833425,,27000,,30,"화이트, 핑크, 데님연청",0,TOP > 셔츠
셀리느 린넨반팔셔츠,https://www.chicfox.co.kr/shop/shopdetail.html?branduid=498633&xcode=001&mcode=006&scode=&type=X&sort=manual&cur_code=001006&search=&GfDT=bm90W15C,소매롤업으로 여리한 팔뚝라인~,//cdn4-aka.makeshop.co.kr/shopimages/chicfox/0010060044582.gif?1657845694,,26000,,75,"화이트, 민트, 핑크, 블랙",0,TOP > 셔츠
체솔티 배색 스트라이프 셔츠,https://www.chicfox.co.kr/shop/shopdetail.html?branduid=512420&xcode=001&mcode=006&scode=&type=X&sort=manual&cur_code=001006&search=&GfDT=bml8W15D,,//cdn4-aka.makeshop.co.kr/shopimages/chicfox/0010060050832.jpg?1742516463,,39800,,0,"연두, 핑크",0,TOP > 셔츠
몬디아 와이드 커프스 오버핏 셔츠,https://www.chicfox.co.kr/shop/shopdetail.html?branduid=512357&xcode=001&mcode=006&scode=&type=X&sort=manual&cur_code=001006&search=&GfDT=bm9%2BW15M,,//cdn4-aka.makeshop.co.kr/shopimages/chicfox/0010060050792.gif?1742359462,,68000,,2,"옐로우, 네이비",0,TOP > 셔츠
킨더 베이직 스탠다드 셔츠,https://www.chicfox.co.kr/shop/shopdetail.html?branduid=510041&xcode=001&mcode=006&scode=&type=X&sort=manual&cur_code=001006&search=&GfDT=aGx3U1U%3D,,//cdn4-aka.makeshop.co.kr/shopimages/chicfox/0010060047842.gif?1710292120,,29800,,9,"아이보리,크림, 스카이, 핑크",0,TOP > 셔츠
에이첼 핀턱 레이스 프릴 셔츠,https://www.chicfox.co.kr/shop/shopdetail.html?branduid=512319&xcode=001&mcode=006&scode=&type=X&sort=manual&cur_code=001006&search=&GfDT=bm57W19E,,//cdn4-aka.makeshop.co.kr/shopimages/chicfox/0010060050772.gif?1740726949,,39800,,5,"아이보리,크림",0,TOP > 셔츠
[1+1][made]스텐다드어텀 컬러셔츠,https://www.chicfox.co.kr/shop/shopdetail.html?branduid=511085&xcode=001&mcode=006&scode=&type=X&sort=manual&cur_code=001006&search=&GfDT=bm97W19F,,//cdn4-aka.makeshop.co.kr/shopimages/chicfox/0010060050572.gif?1730287021,39600,35700,10,412,,0,TOP > 셔츠
[made]드팡 비스코스 후드셔츠,https://www.chicfox.co.kr/shop/shopdetail.html?branduid=510679&xcode=001&mcode=006&scode=&type=X&sort=manual&cur_code=001006&search=&GfDT=bmp1W19G,,//cdn4-aka.makeshop.co.kr/shopimages/chicfox/0010060039822.gif?1716529161,,24800,,5,"아이보리,크림, 베이지, 옐로우",0,TOP > 셔츠
디어본 스카프 세트 7부 셔츠,https://www.chicfox.co.kr/shop/shopdetail.html?branduid=510158&xcode=001&mcode=006&scode=&type=X&sort=manual&cur_code=001006&search=&GfDT=bmt3Ul8%3D,,//cdn4-aka.makeshop.co.kr/shopimages/chicfox/0010060041132.gif?1711361406,,45000,,0,"아이보리,크림, 데님연청",0,TOP > 셔츠
[시그니처]가먼트 옥스포드셔츠,https://www.chicfox.co.kr/shop/shopdetail.html?branduid=503932&xcode=001&mcode=006&scode=&type=X&sort=manual&cur_code=001006&search=&GfDT=Zmh3Ulg%3D,"스탠다드핏,오버핏",//cdn4-aka.makeshop.co.kr/shopimages/chicfox/0010060040192.gif?1648712296,26800,19800,26,42,"핑크, 그레이",0,TOP > 셔츠
어텀베이직 셔츠,https://www.chicfox.co.kr/shop/shopdetail.html?branduid=496020&xcode=001&mcode=006&scode=&type=X&sort=manual&cur_code=001006&search=&GfDT=aWt3Ulk%3D,,//cdn4-aka.makeshop.co.kr/shopimages/chicfox/0010060045372.gif?1607473214,,14800,,755,"화이트, 옐로우, 와인, 네이비",0,TOP > 셔츠
옴브레 그리드 체크 셔츠,https://www.chicfox.co.kr/shop/shopdetail.html?branduid=512417&xcode=001&mcode=006&scode=&type=X&sort=manual&cur_code=001006&search=&GfDT=aWZ3Ulo%3D,,//cdn4-aka.makeshop.co.kr/shopimages/chicfox/0010060050822.gif?1742515712,,29800,,0,"블루, 레드",0,TOP > 셔츠
펀칭 아일렛 자수 셔츠,https://www.chicfox.co.kr/shop/shopdetail.html?branduid=512362&xcode=001&mcode=006&scode=&type=X&sort=manual&cur_code=001006&search=&GfDT=bWl3Uls%3D,,//cdn4-aka.makeshop.co.kr/shopimages/chicfox/0010060050802.gif?1741341114,,34800,,3,화이트,0,TOP > 셔츠
메린 언발 단추 랩셔츠,https://www.chicfox.co.kr/shop/shopdetail.html?branduid=512313&xcode=001&mcode=006&scode=&type=X&sort=manual&cur_code=001006&search=&GfDT=bmp9W19M,,//cdn4-aka.makeshop.co.kr/shopimages/chicfox/0010060050762.gif?1740643317,,39800,,1,"아이보리,크림, 베이지",0,TOP > 셔츠
스펙트 무지 스트라이프 오버핏 셔츠,https://www.chicfox.co.kr/shop/shopdetail.html?branduid=512312&xcode=001&mcode=006&scode=&type=X&sort=manual&cur_code=001006&search=&GfDT=bml%2BW19N,,//cdn4-aka.makeshop.co.kr/shopimages/chicfox/0010060050752.gif?1740628602,,39800,,1,"아이보리,크림, 데님연청",0,TOP > 셔츠
[SET15%]주크 썸머셔츠나시SET+엘레프 와이드데님팬츠,https://www.chicfox.co.kr/shop/shopdetail.html?branduid=512299&xcode=001&mcode=006&scode=&type=X&sort=manual&cur_code=001006&search=&GfDT=bWh3VVw%3D,,//cdn4-aka.makeshop.co.kr/shopimages/chicfox/0010060050892.gif?1744004092,69600,59200,15,0,,0,TOP > 셔츠
메이미 고밀도 루즈핏 코튼 셔츠,https://www.chicfox.co.kr/shop/shopdetail.html?branduid=512164&xcode=001&mcode=006&scode=&type=X&sort=manual&cur_code=001006&search=&GfDT=bWd3VV0%3D,,//cdn4-aka.makeshop.co.kr/shopimages/chicfox/0010060050662.gif?1736993865,,34800,,5,"아이보리,크림, 핑크, 데님연청, 연두",0,TOP > 셔츠
클래시크 무드 스트라이프 셔츠,https://www.chicfox.co.kr/shop/shopdetail.html?branduid=511969&xcode=001&mcode=006&scode=&type=X&sort=manual&cur_code=001006&search=&GfDT=bWd3VV4%3D,,//cdn4-aka.makeshop.co.kr/shopimages/chicfox/0010060050612.gif?1733467008,,52800,,0,"베이지, 네이비",0,TOP > 셔츠
벨디드 포켓스티치 레이온 셔츠,https://www.chicfox.co.kr/shop/shopdetail.html?branduid=511409&xcode=001&mcode=006&scode=&type=X&sort=manual&cur_code=001006&search=&GfDT=bW53VV8%3D,,//cdn4-aka.makeshop.co.kr/shopimages/chicfox/0010060050462.gif?1727077791,,34800,,7,"화이트, 브라운",0,TOP > 셔츠
폴드 오버핏 체크셔츠,https://www.chicfox.co.kr/shop/shopdetail.html?branduid=511309&xcode=001&mcode=006&scode=&type=X&sort=manual&cur_code=001006&search=&GfDT=bmt5W1hA,,//cdn4-aka.makeshop.co.kr/shopimages/chicfox/0010060050402.gif?1725265325,,41800,,3,"블랙, 브라운",0,TOP > 셔츠
힐트 레이온 포켓 셔츠,https://www.chicfox.co.kr/shop/shopdetail.html?branduid=511244&xcode=001&mcode=006&scode=&type=X&sort=manual&cur_code=001006&search=&GfDT=aW93VVk%3D,,//cdn4-aka.makeshop.co.kr/shopimages/chicfox/0010060050352.gif?1724408225,,39800,,13,"베이지, 챠콜",0,TOP > 셔츠
버핏 바스락 히든 포켓 셔츠,https://www.chicfox.co.kr/shop/shopdetail.html?branduid=511207&xcode=001&mcode=006&scode=&type=X&sort=manual&cur_code=001006&search=&GfDT=bmp%2FW1hC,,//cdn4-aka.makeshop.co.kr/shopimages/chicfox/0010060050292.gif?1724054283,,29800,,1,"옐로우, 베이지",0,TOP > 셔츠
[made]플래츠버 베어자수 코튼셔츠,https://www.chicfox.co.kr/shop/shopdetail.html?branduid=510351&xcode=001&mcode=006&scode=&type=X&sort=manual&cur_code=001006&search=&GfDT=bml%2BW1hD,,//cdn4-aka.makeshop.co.kr/shopimages/chicfox/0010060040122.gif?1713167426,,29800,,5,"화이트, 핑크, 옐로우",0,TOP > 셔츠
[made]리지 반팔셔츠&카고 스커트 투피스 세트,https://www.chicfox.co.kr/shop/shopdetail.html?branduid=510332&xcode=001&mcode=006&scode=&type=X&sort=manual&cur_code=001006&search=&GfDT=Z2p3VVQ%3D,,//cdn4-aka.makeshop.co.kr/shopimages/chicfox/0010060039862.gif?1712829757,,48000,,8,"화이트, 블랙",0,TOP > 셔츠
[made]네베르 베이직 자수 레이온 셔츠,https://www.chicfox.co.kr/shop/shopdetail.html?branduid=510195&xcode=001&mcode=006&scode=&type=X&sort=manual&cur_code=001006&search=&GfDT=bmx0W1hN,,//cdn4-aka.makeshop.co.kr/shopimages/chicfox/0010060039772.gif?1715676738,,29800,,14,"화이트, 핑크, 소라",0,TOP > 셔츠
실키 레이온 베이직 셔츠,https://www.chicfox.co.kr/shop/shopdetail.html?branduid=509929&xcode=001&mcode=006&scode=&type=X&sort=manual&cur_code=001006&search=&GfDT=aW53VFw%3D,,//cdn4-aka.makeshop.co.kr/shopimages/chicfox/0010060045062.gif?1708937559,,42800,,6,"화이트, 아이보리,크림, 민트, 블랙",0,TOP > 셔츠
더블포켓 오버핏 셔츠,https://www.chicfox.co.kr/shop/shopdetail.html?branduid=509895&xcode=001&mcode=006&scode=&type=X&sort=manual&cur_code=001006&search=&GfDT=bm98W1lF,,//cdn4-aka.makeshop.co.kr/shopimages/chicfox/0010060040762.gif?1739337036,,48000,,12,,0,TOP > 셔츠
피얼드 비스코스 진주 타이셔츠,https://www.chicfox.co.kr/shop/shopdetail.html?branduid=509828&xcode=001&mcode=006&scode=&type=X&sort=manual&cur_code=001006&search=&GfDT=Zml3VF4%3D,,//cdn4-aka.makeshop.co.kr/shopimages/chicfox/0010060049752.gif?1707889608,,29800,,5,"화이트, 스카이",0,TOP > 셔츠
셀즈 레이온 스트라이프 셔츠,https://www.chicfox.co.kr/shop/shopdetail.html?branduid=509796&xcode=001&mcode=006&scode=&type=X&sort=manual&cur_code=001006&search=&GfDT=bmh9W1lH,,//cdn4-aka.makeshop.co.kr/shopimages/chicfox/0010060044612.gif?1707809867,,29800,,8,"아이보리,크림, 진베이지",0,TOP > 셔츠
[made]브리튼 피치베이직셔츠,https://www.chicfox.co.kr/shop/shopdetail.html?branduid=508521&xcode=001&mcode=006&scode=&type=X&sort=manual&cur_code=001006&search=&GfDT=bWl3VFg%3D,,//cdn4-aka.makeshop.co.kr/shopimages/chicfox/0010060039902.gif?1703838428,19800,14800,25,18,"화이트, 데님연청, 카키, 블랙",0,TOP > 셔츠
데일리핏 세미크롭포켓셔츠,https://www.chicfox.co.kr/shop/shopdetail.html?branduid=508295&xcode=001&mcode=006&scode=&type=X&sort=manual&cur_code=001006&search=&GfDT=aWx3VFk%3D,,//cdn4-aka.makeshop.co.kr/shopimages/chicfox/0010060040902.gif?1695291220,18800,9800,48,14,"화이트, 데님연청",0,TOP > 셔츠
페이르 코튼롱셔츠,https://www.chicfox.co.kr/shop/shopdetail.html?branduid=508242&xcode=001&mcode=006&scode=&type=X&sort=manual&cur_code=001006&search=&GfDT=amx3VFo%3D,,//cdn4-aka.makeshop.co.kr/shopimages/chicfox/0010060048522.gif?1694763072,,32800,,0,"화이트, 데님연청, 블랙",0,TOP > 셔츠
로큰 스트링캡소매셔츠,https://www.chicfox.co.kr/shop/shopdetail.html?branduid=507368&xcode=001&mcode=006&scode=&type=X&sort=manual&cur_code=001006&search=&GfDT=bmx4W1lD,,//cdn4-aka.makeshop.co.kr/shopimages/chicfox/0010060042132.gif?1684142020,,19800,,11,"화이트, 진베이지, 그레이",0,TOP > 셔츠
엠보러브자수 스트라이프셔츠,https://www.chicfox.co.kr/shop/shopdetail.html?branduid=506571&xcode=001&mcode=006&scode=&type=X&sort=manual&cur_code=001006&search=&GfDT=am13VFQ%3D,,//cdn4-aka.makeshop.co.kr/shopimages/chicfox/0010060045702.gif?1736748495,,29800,,3,"핑크, 블루, 네이비, 민트, 베이지",0,TOP > 셔츠
[made]엘레이트 코튼패드셔츠,https://www.chicfox.co.kr/shop/shopdetail.html?branduid=505407&xcode=001&mcode=006&scode=&type=X&sort=manual&cur_code=001006&search=&GfDT=bmp7W1lN,,//cdn4-aka.makeshop.co.kr/shopimages/chicfox/0010060040002.gif?1665102822,,32800,,22,"화이트, 블루, 블랙",0,TOP > 셔츠
[made]스텐다드어텀 컬러셔츠,https://www.chicfox.co.kr/shop/shopdetail.html?branduid=505091&xcode=001&mcode=006&scode=&type=X&sort=manual&cur_code=001006&search=&GfDT=bmh3UQ%3D%3D,,https://cdn4-aka.makeshop.co.kr/shopimages/chicfox/0010060039922.gif?1663811965,,19800,,408,"아이보리,크림, 베이지, 소라, 핑크, 브라운, 네이비, 블랙",0,TOP > 셔츠
[made]고밀도코튼 투웨이오버핏랩셔츠,https://www.chicfox.co.kr/shop/shopdetail.html?branduid=503935&xcode=001&mcode=006&scode=&type=X&sort=manual&cur_code=001006&search=&GfDT=bmp%2BW10%3D,베이직 스타일/랩 스타일 2WAY로 연출하는 감각적인 오버핏 셔츠!,https://cdn4-aka.makeshop.co.kr/shopimages/chicfox/0010060039752.gif?1661241050,32000,24800,23,14,"화이트, 스카이",0,TOP > 셔츠
드올 베이직셔츠,https://www.chicfox.co.kr/shop/shopdetail.html?branduid=503529&xcode=001&mcode=006&scode=&type=X&sort=manual&cur_code=001006&search=&GfDT=Z2h3Uw%3D%3D,,https://cdn4-aka.makeshop.co.kr/shopimages/chicfox/0010060041072.gif?1643882519,,19800,,3,"아이보리,크림, 핑크, 카키",0,TOP > 셔츠
[made]르베넌 스트라이프크롭셔츠,https://www.chicfox.co.kr/shop/shopdetail.html?branduid=505231&xcode=001&mcode=006&scode=&type=X&sort=manual&cur_code=001006&search=&GfDT=bm5%2FW18%3D,,https://cdn4-aka.makeshop.co.kr/shopimages/chicfox/0010060039842.gif?1684919186,,,,17,"아이보리,크림, 네이비",0,TOP > 셔츠
로윌 스트라이프 오버핏셔츠,https://www.chicfox.co.kr/shop/shopdetail.html?branduid=512519&xcode=001&mcode=006&scode=&type=X&sort=manual&cur_code=001006&search=&GfDT=bGt3VQ%3D%3D,,//cdn4-aka.makeshop.co.kr/shopimages/chicfox/0010060050882.gif?1743669171,,,,0,"스카이, 연두",0,TOP > 셔츠
튜닉 핀턱 슬리브 오버핏 셔츠,https://www.chicfox.co.kr/shop/shopdetail.html?branduid=512453&xcode=001&mcode=006&scode=&type=X&sort=manual&cur_code=001006&search=&GfDT=bmt5W1k%3D,,//cdn4-aka.makeshop.co.kr/shopimages/chicfox/0010060050862.gif?1743036118,,,,0,"아이보리,크림",0,TOP > 셔츠
콘디 원포켓 크롭 데님셔츠,https://www.chicfox.co.kr/shop/shopdetail.html?branduid=512546&xcode=001&mcode=006&scode=&type=X&sort=manual&cur_code=001006&search=&GfDT=bm95W1o%3D,,//cdn4-aka.makeshop.co.kr/shopimages/chicfox/0010060050922.gif?1744192967,,,,0,블루,0,TOP > 셔츠
