상품명,상품URL,상품설명,이미지URL,정가,판매가,할인율,리뷰수,색상,카테고리
데븐 데님 원피스,https://www.joamom.co.kr/shop/shopdetail.html?branduid=54147&xcode=066&mcode=001&scode=&type=X&sort=manual&cur_code=066001&search=&GfDT=aGt3Ulw%3D,"후뚜루마뚜루 편안한 원피스
데일리로 예쁘게 즐겨주세요
(2color)",,,47500,,98,"rgb(173, 189, 214);, rgb(43, 54, 74);",원피스
끈 롱 원피스,https://www.joamom.co.kr/shop/shopdetail.html?branduid=52065&xcode=066&mcode=001&scode=&type=X&sort=manual&cur_code=066001&search=&GfDT=am53Ul0%3D,원피스안의 이너로 꼭~ 필요한! 이제는 비침걱정없이 멋스럽게~ (4color),,,19800,,76,"rgb(255, 255, 255);, rgb(219, 204, 183);, rgb(154, 154, 154);, rgb(0, 0, 0);",원피스
벤 더블버튼 베스트 원피스,https://www.joamom.co.kr/shop/shopdetail.html?branduid=62384&xcode=066&mcode=001&scode=&type=X&sort=manual&cur_code=066001&search=&GfDT=Z293Ul4%3D,"고급지면서도 유니크한 디자인이 돋보이는
원피스&베스트 2way로 활용가능한 원피스!
(2color)",,,89000,,0,"rgb(84, 84, 84);, rgb(0, 0, 0);",원피스
리카엘 나시 레이어드 원피스,https://www.joamom.co.kr/shop/shopdetail.html?branduid=61007&xcode=066&mcode=001&scode=&type=X&sort=manual&cur_code=066001&search=&GfDT=bmt6W19H,"아우터, 니트, 맨투맨 어디에나 레이어드 하기 좋은,
활용도 만점 만능 원피스!
(2color) *블랙 3/20(목) 입고예정*",,,32500,,29,"rgb(0, 0, 0);, rgb(242, 239, 228);",원피스
세일러 스트라이프 니트 원피스,https://www.joamom.co.kr/shop/shopdetail.html?branduid=59114&xcode=066&mcode=001&scode=&type=X&sort=manual&cur_code=066001&search=&GfDT=Z2x3Ulg%3D,"데일리한 스트라이프 패턴
세일러 카라넥으로 사랑스럽게 포인트!
(3color)",,,43500,,16,"rgb(176, 166, 148);, rgb(0, 0, 0);",원피스
키에라 카라 니트 원피스,https://www.joamom.co.kr/shop/shopdetail.html?branduid=59106&xcode=066&mcode=001&scode=&type=X&sort=manual&cur_code=066001&search=&GfDT=bWp3Ulk%3D,"깔끔하게 일자로 톡-떨어지는 고급진 무드
배색라인으로 세련되고 착용감도 좋아요
(2color)",,,42000,,7,"rgb(169, 154, 135);, rgb(0, 0, 0);",원피스
르세라 밴딩 원피스,https://www.joamom.co.kr/shop/shopdetail.html?branduid=59027&xcode=066&mcode=001&scode=&type=X&sort=manual&cur_code=066001&search=&GfDT=bml8W19C,원피스 단품만으로도 편하고 멋스럽게 허리라인 밴딩으로 날씬해 보이는 효과! (2color),,,47000,,18,"rgb(84, 84, 84);, rgb(0, 0, 0);",원피스
골지 하이넥 니트 원피스,https://www.joamom.co.kr/shop/shopdetail.html?branduid=62653&xcode=066&mcode=001&scode=&type=X&sort=manual&cur_code=066001&search=&GfDT=amV%2BVg%3D%3D,"롱~한 길이감으로 멋스런 무드로 활용!
비스코스+울혼방으로 맨살 자극없이 부드러워
(3color)",,,42000,,3,"rgb(235, 227, 218);, rgb(153, 153, 153);, rgb(0, 0, 0);",원피스
피엘 A라인 뷔스티에 원피스,https://www.joamom.co.kr/shop/shopdetail.html?branduid=62591&xcode=066&mcode=001&scode=&type=X&sort=manual&cur_code=066001&search=&GfDT=aG53UlQ%3D,"우아하고 고급스러운 라인감으로 우아해!
탄탄하고 힘있는 모직 원단에 도톰해 보온성까지
(2color / S, M)",,,59800,,6,"rgb(51, 38, 19);, rgb(54, 54, 54);",원피스
양두 반폴라 원피스,https://www.joamom.co.kr/shop/shopdetail.html?branduid=61550&xcode=066&mcode=001&scode=&type=X&sort=manual&cur_code=066001&search=&GfDT=bmx5W19N,"양두짜임으로 고급스러움은 물론
여유있는 핏에 군살 드러나지 않아서 강추!
(2color)",,36500,14600,60,4,"rgb(96, 115, 73);, rgb(219, 209, 184);",원피스
벌룬 패딩 원피스,https://www.joamom.co.kr/shop/shopdetail.html?branduid=61392&xcode=066&mcode=001&scode=&type=X&sort=manual&cur_code=066001&search=&GfDT=aW13UQ%3D%3D,"2온스 패딩으로 부해보임 없는!
아방한 벌룬 소매로 여성스럽고 따뜻하게 멋내기 좋아요
(2color)",,67000,46900,30,1,"rgb(0, 0, 0);, rgb(230, 227, 218);",원피스
기모 폴라 레이어드 원피스,https://www.joamom.co.kr/shop/shopdetail.html?branduid=61280&xcode=066&mcode=001&scode=&type=X&sort=manual&cur_code=066001&search=&GfDT=bmp%2BW10%3D,"만능 코디템! 포근한 폴라 디자인으로 겨울까지 쭉-
풍성한 스커트 라인으로 군살커버도 완벽!
(2color)",,,34500,,3,"rgb(242, 240, 233);, rgb(0, 0, 0);",원피스
울 플리츠 조끼 원피스,https://www.joamom.co.kr/shop/shopdetail.html?branduid=57652&xcode=066&mcode=001&scode=&type=X&sort=manual&cur_code=066001&search=&GfDT=aGl3Uw%3D%3D,"갖춰입은 듯 멋스러운 디자인이에요
탄탄한 울 혼방으로 핏감도 예뻐요!
(2color)",,74000,51800,30,12,"rgb(49, 34, 30);, rgb(49, 47, 47);",원피스
스트링 폴라 니트 원피스,https://www.joamom.co.kr/shop/shopdetail.html?branduid=57605&xcode=066&mcode=001&scode=&type=X&sort=manual&cur_code=066001&search=&GfDT=amt3Ug%3D%3D,"♥블프 라이브특가♥ 전품목 1만원대!
오직 인스타라이브에서만 소개해드려요 :)
(2color)",,36500,15900,56,18,,원피스
썸머 플라워 프릴 원피스,https://www.joamom.co.kr/shop/shopdetail.html?branduid=62027&xcode=066&mcode=001&scode=&type=X&sort=manual&cur_code=066001&search=&GfDT=bmx8W1g%3D,"화사한 컬러의 플라워 나염으로 포인트 !
페미닌한 무드를 주는 셔링 디테일 -
(2color)",,,,,8,"rgb(250, 249, 247);, rgb(124, 142, 214);",원피스
아델라인 퍼프소매 원피스,https://www.joamom.co.kr/shop/shopdetail.html?branduid=61875&xcode=066&mcode=001&scode=&type=X&sort=manual&cur_code=066001&search=&GfDT=bml4W1k%3D,"소매라인이 고급스럽고 우아한 텐션원피스
하객룩, 격식룩 완전종결!
(3color)",,,,,2,"rgb(255, 246, 227);, rgb(79, 68, 59);, rgb(0, 0, 0);",원피스
[MADE] 모나코 사파리 원피스,https://www.joamom.co.kr/shop/shopdetail.html?branduid=61918&xcode=066&mcode=001&scode=&type=X&sort=manual&cur_code=066001&search=&GfDT=bmp6W1o%3D,"비침 걱정 없이 시원하게 군살 커버!
일상에서 휴가까지 만능으로 멋스럽게
(2color)",,,,,41,"rgb(0, 0, 0);, rgb(207, 201, 174);",원피스
시어서커 스트라이프 셔츠 원피스,https://www.joamom.co.kr/shop/shopdetail.html?branduid=60639&xcode=066&mcode=001&scode=&type=X&sort=manual&cur_code=066001&search=&GfDT=Z2Z3Vg%3D%3D,"몸에 들러붙지 않는 시원한 시어서커 소재,
여유핏으로 군살 완벽 커버!
(2color)",,,,,37,"rgb(0, 0, 0);, rgb(116, 134, 148);",원피스
아엘 패딩 조끼 원피스,https://www.joamom.co.kr/shop/shopdetail.html?branduid=62472&xcode=066&mcode=001&scode=&type=X&sort=manual&cur_code=066001&search=&GfDT=aGd3WQ%3D%3D,"초경량 1온스 퀼팅으로 가볍고 따뜻하게
조끼 스타일로 레이어드 가능!
(2color)",,,,,2,"rgb(186, 171, 132);, rgb(82, 84, 83);",원피스
마가렛 스트링 원피스,https://www.joamom.co.kr/shop/shopdetail.html?branduid=61947&xcode=066&mcode=001&scode=&type=X&sort=manual&cur_code=066001&search=&GfDT=bWh3WA%3D%3D,"다가오는 여름! 잔잔한 플로럴 패턴으로
그날의 룩을 화사하게 밝혀드려요♡
(3color)",,,,,18,"rgb(202, 227, 204);, rgb(145, 179, 207);, rgb(0, 0, 0);",원피스
