상품명,상품URL,상품설명,이미지URL,정가,판매가,할인율,리뷰수,색상,판매수량,카테고리
월튼 플랩포켓 벨트set 셔츠 원피스,https://www.chicfox.co.kr/shop/shopdetail.html?branduid=510520&xcode=002&mcode=001&scode=&type=X&sort=manual&cur_code=002001&search=&GfDT=bm59W11C,,//cdn4-aka.makeshop.co.kr/shopimages/chicfox/0020010015892.gif?1714378173,,85000,,0,"진한크림, 블랙",0,DRESS&SKIRT > 원피스
샌드로 7부 스트링 롱 원피스,https://www.chicfox.co.kr/shop/shopdetail.html?branduid=510519&xcode=002&mcode=001&scode=&type=X&sort=manual&cur_code=002001&search=&GfDT=aWZ3UFs%3D,,//cdn4-aka.makeshop.co.kr/shopimages/chicfox/0020010015882.gif?1714377968,,69000,,2,"브라운, 진베이지",0,DRESS&SKIRT > 원피스
리노 뷔스티에 스모크 원피스,https://www.chicfox.co.kr/shop/shopdetail.html?branduid=510415&xcode=002&mcode=001&scode=&type=X&sort=manual&cur_code=002001&search=&GfDT=bm51W11M,,//cdn4-aka.makeshop.co.kr/shopimages/chicfox/0020010015802.gif?1713522534,,59000,,5,"화이트, 연베이지",0,DRESS&SKIRT > 원피스
퓨틸 뷔스티에 원피스,https://www.chicfox.co.kr/shop/shopdetail.html?branduid=510388&xcode=002&mcode=001&scode=&type=X&sort=manual&cur_code=002001&search=&GfDT=Zm13UFU%3D,,//cdn4-aka.makeshop.co.kr/shopimages/chicfox/0020010015762.gif?1713429800,,38000,,2,"베이지, 블랙",0,DRESS&SKIRT > 원피스
더블링 포켓 니트배색 롱 원피스,https://www.chicfox.co.kr/shop/shopdetail.html?branduid=510259&xcode=002&mcode=001&scode=&type=X&sort=manual&cur_code=002001&search=&GfDT=bG93U1w%3D,,//cdn4-aka.makeshop.co.kr/shopimages/chicfox/0020010015712.gif?1712133229,,45000,,1,"아이보리,크림, 진베이지, 블랙",0,DRESS&SKIRT > 원피스
올렌 브이넥 플라워 롱 원피스,https://www.chicfox.co.kr/shop/shopdetail.html?branduid=510184&xcode=002&mcode=001&scode=&type=X&sort=manual&cur_code=002001&search=&GfDT=Zmh3U10%3D,,//cdn4-aka.makeshop.co.kr/shopimages/chicfox/0020010015622.gif?1711523835,,54000,,0,"화이트, 블랙",0,DRESS&SKIRT > 원피스
베버리 메쉬 소매 벨트 원피스,https://www.chicfox.co.kr/shop/shopdetail.html?branduid=510167&xcode=002&mcode=001&scode=&type=X&sort=manual&cur_code=002001&search=&GfDT=Zmh3U14%3D,,//cdn4-aka.makeshop.co.kr/shopimages/chicfox/0020010015582.gif?1711449064,,68000,,0,"머스타드,골드, 블랙",0,DRESS&SKIRT > 원피스
르엘 스퀘어넥 7부 머메이드 원피스,https://www.chicfox.co.kr/shop/shopdetail.html?branduid=509901&xcode=002&mcode=001&scode=&type=X&sort=manual&cur_code=002001&search=&GfDT=aW13U18%3D,,//cdn4-aka.makeshop.co.kr/shopimages/chicfox/0020010015452.gif?1708667763,,86800,,0,블랙,0,DRESS&SKIRT > 원피스
플레어 슬리브리스 롱 원피스,https://www.chicfox.co.kr/shop/shopdetail.html?branduid=509893&xcode=002&mcode=001&scode=&type=X&sort=manual&cur_code=002001&search=&GfDT=bGh3U1g%3D,,//cdn4-aka.makeshop.co.kr/shopimages/chicfox/0020010015432.gif?1709171341,,64000,,3,"그레이, 블랙",0,DRESS&SKIRT > 원피스
골드버튼 카라 플레어 스트랩 원피스,https://www.chicfox.co.kr/shop/shopdetail.html?branduid=509864&xcode=002&mcode=001&scode=&type=X&sort=manual&cur_code=002001&search=&GfDT=bGx3U1k%3D,,//cdn4-aka.makeshop.co.kr/shopimages/chicfox/0020010015332.gif?1709121259,,49800,,2,"베이지, 블랙",0,DRESS&SKIRT > 원피스
로린 후드 니트 훌 원피스,https://www.chicfox.co.kr/shop/shopdetail.html?branduid=509510&xcode=002&mcode=001&scode=&type=X&sort=manual&cur_code=002001&search=&GfDT=bWh3U1o%3D,,//cdn4-aka.makeshop.co.kr/shopimages/chicfox/0020010015272.gif?1702888244,,54800,,0,"그레이, 블랙",0,DRESS&SKIRT > 원피스
루이드 터들 니트 롱 원피스,https://www.chicfox.co.kr/shop/shopdetail.html?branduid=508900&xcode=002&mcode=001&scode=&type=X&sort=manual&cur_code=002001&search=&GfDT=bml3U1s%3D,,//cdn4-aka.makeshop.co.kr/shopimages/chicfox/0020010015222.gif?1700112546,,72000,,0,"아이보리,크림, 코코아, 그레이",0,DRESS&SKIRT > 원피스
멜라미 스퀘어넥플레어니트원피스,https://www.chicfox.co.kr/shop/shopdetail.html?branduid=508193&xcode=002&mcode=001&scode=&type=X&sort=manual&cur_code=002001&search=&GfDT=bm58W15M,,//cdn4-aka.makeshop.co.kr/shopimages/chicfox/0020010015182.gif?1694508762,,34000,,1,"딥브라운, 블랙",0,DRESS&SKIRT > 원피스
바스락스트링 맨투맨원피스,https://www.chicfox.co.kr/shop/shopdetail.html?branduid=507817&xcode=002&mcode=001&scode=&type=X&sort=manual&cur_code=002001&search=&GfDT=Zmh3U1U%3D,,//cdn4-aka.makeshop.co.kr/shopimages/chicfox/0020010015132.gif?1688033340,,22000,,4,"카키, 블랙",0,DRESS&SKIRT > 원피스
소프네 루즈핏트임원피스,https://www.chicfox.co.kr/shop/shopdetail.html?branduid=503960&xcode=002&mcode=001&scode=&type=X&sort=manual&cur_code=002001&search=&GfDT=a2V%2BUQ%3D%3D,,//cdn4-aka.makeshop.co.kr/shopimages/chicfox/0020010013812.gif?1649117495,,39800,,1,"챠콜, 블랙",0,DRESS&SKIRT > 원피스
블랫 레이어드 나시 롱 원피스,https://www.chicfox.co.kr/shop/shopdetail.html?branduid=512488&xcode=002&mcode=001&scode=&type=X&sort=manual&cur_code=002001&search=&GfDT=bWh3Ul0%3D,,//cdn4-aka.makeshop.co.kr/shopimages/chicfox/0020010016342.gif?1743386686,,,,0,"화이트, 블랙",0,DRESS&SKIRT > 원피스
