상품명,상품URL,상품설명,이미지URL,정가,판매가,할인율,리뷰수,색상,판매수량,카테고리
[1+1]더슬립 세미와이드 트레이닝팬츠,https://www.chicfox.co.kr/shop/shopdetail.html?branduid=511168&xcode=049&mcode=007&scode=&type=Y&sort=manual&cur_code=049007&search=&GfDT=bmx4W11M,,//cdn4-aka.makeshop.co.kr/shopimages/chicfox/0030020011842.gif?1737357976,59600,53700,10,377,,0,PANTS > 와이드팬츠
[2종택1]히팅타임 발열스판레깅스,https://www.chicfox.co.kr/shop/shopdetail.html?branduid=508508&xcode=049&mcode=007&scode=&type=Y&sort=manual&cur_code=049007&search=&GfDT=bm53UFU%3D,,//cdn4-aka.makeshop.co.kr/shopimages/chicfox/0030030001682.gif?1697721784,,15000,,8,"진한크림, 베이지, 챠콜, 블랙",0,PANTS > 와이드팬츠
[2종택1]스큐드 단가라밴딩팬츠,https://www.chicfox.co.kr/shop/shopdetail.html?branduid=507048&xcode=049&mcode=007&scode=&type=Y&sort=manual&cur_code=049007&search=&GfDT=a2V%2FUQ%3D%3D,,//cdn4-aka.makeshop.co.kr/shopimages/chicfox/0030020011302.gif?1680175343,15000,10500,30,14,"아이보리,크림, 베이지, 블랙",0,PANTS > 와이드팬츠
페어링 피그먼트조거팬츠,https://www.chicfox.co.kr/shop/shopdetail.html?branduid=506485&xcode=049&mcode=007&scode=&type=Y&sort=manual&cur_code=049007&search=&GfDT=bGt3U10%3D,,//cdn4-aka.makeshop.co.kr/shopimages/chicfox/0030020011132.gif?1674031820,,52800,,1,"블루, 챠콜",0,PANTS > 와이드팬츠
히트웜 패딩조거팬츠,https://www.chicfox.co.kr/shop/shopdetail.html?branduid=503120&xcode=049&mcode=007&scode=&type=Y&sort=manual&cur_code=049007&search=&GfDT=amV%2FUw%3D%3D,,//cdn4-aka.makeshop.co.kr/shopimages/chicfox/0030020009852.gif?1700092911,,29800,,456,블랙,0,PANTS > 와이드팬츠
"뽀송이 수면팬츠차콜,소라 착용",https://www.chicfox.co.kr/shop/shopdetail.html?branduid=499719&xcode=049&mcode=007&scode=&type=Y&sort=manual&cur_code=049007&search=&GfDT=bm10W15H,,//cdn4-aka.makeshop.co.kr/shopimages/chicfox/0030020008872.gif?1637290589,,14800,,58,"아이보리,크림, 소라, 연핑크, 챠콜",0,PANTS > 와이드팬츠
[1+1] EVENT 플렉스 슬리브 + 하이게이지코트나 부츠컷팬츠(1탄),https://www.chicfox.co.kr/shop/shopdetail.html?branduid=498022&xcode=049&mcode=007&scode=&type=Y&sort=manual&cur_code=049007&search=&GfDT=bmt9W15A,,//cdn4-aka.makeshop.co.kr/shopimages/chicfox/0030030001122.gif?1607665507,58000,42000,28,8,"연베이지, 연핑크, 진베이지, 그레이, 블랙",0,PANTS > 와이드팬츠
셀라V업템포 7.5부레깅스[여우휘트니스레깅스6탄]LE,https://www.chicfox.co.kr/shop/shopdetail.html?branduid=497772&xcode=049&mcode=007&scode=&type=Y&sort=manual&cur_code=049007&search=&GfDT=bm94W15B,,//cdn4-aka.makeshop.co.kr/shopimages/chicfox/0030030000372.gif?1607669475,21000,4200,80,12,형광연두,0,PANTS > 와이드팬츠
셀라V업템포 9부레깅스[여우휘트니스레깅스5탄]CB,https://www.chicfox.co.kr/shop/shopdetail.html?branduid=497761&xcode=049&mcode=007&scode=&type=Y&sort=manual&cur_code=049007&search=&GfDT=bGx3U1o%3D,,//cdn4-aka.makeshop.co.kr/shopimages/chicfox/0030030000392.gif?1608017198,22000,4400,80,7,블루,0,PANTS > 와이드팬츠
셀라V업템포 7.5부레깅스[여우휘트니스레깅스6탄]IP,https://www.chicfox.co.kr/shop/shopdetail.html?branduid=497757&xcode=049&mcode=007&scode=&type=Y&sort=manual&cur_code=049007&search=&GfDT=bmx5W15D,,//cdn4-aka.makeshop.co.kr/shopimages/chicfox/0030030000362.gif?1607669408,21000,4200,80,5,핫핑크,0,PANTS > 와이드팬츠
셀라V업템포 7.5부레깅스[여우휘트니스레깅스6탄]DN,https://www.chicfox.co.kr/shop/shopdetail.html?branduid=497756&xcode=049&mcode=007&scode=&type=Y&sort=manual&cur_code=049007&search=&GfDT=bml6W15M,,//cdn4-aka.makeshop.co.kr/shopimages/chicfox/0030030000352.gif?1607934941,21000,4200,80,31,네이비,0,PANTS > 와이드팬츠
셀라V업템포 9부레깅스[여우휘트니스레깅스5탄]HP,https://www.chicfox.co.kr/shop/shopdetail.html?branduid=497751&xcode=049&mcode=007&scode=&type=Y&sort=manual&cur_code=049007&search=&GfDT=bm90W15N,,//cdn4-aka.makeshop.co.kr/shopimages/chicfox/0030030000402.gif?1608016915,22000,4400,80,10,핫핑크,0,PANTS > 와이드팬츠
로니 리벳 카펜더 트레이닝 팬츠,https://www.chicfox.co.kr/shop/shopdetail.html?branduid=512473&xcode=049&mcode=007&scode=&type=Y&sort=manual&cur_code=049007&search=&GfDT=Zm13Ulw%3D,,//cdn4-aka.makeshop.co.kr/shopimages/chicfox/0030020011992.jpg?1743065837,,,,0,"아이보리,크림, 챠콜",0,PANTS > 와이드팬츠
