상품명,상품URL,상품설명,이미지URL,정가,판매가,할인율,리뷰수,색상,판매수량,카테고리
플레닛 히든레터링셔츠,https://www.chicfox.co.kr/shop/shopdetail.html?branduid=504139&xcode=140&mcode=001&scode=&type=Y&sort=manual&cur_code=140001&search=&GfDT=bm98W11A,,//cdn4-aka.makeshop.co.kr/shopimages/chicfox/0010060049572.gif?1650443434,,19800,,64,"아이보리,크림, 네이비",0,SHIRT/BLOUSE > 셔츠
벨쥬 7부스트라이프셔츠,https://www.chicfox.co.kr/shop/shopdetail.html?branduid=498849&xcode=140&mcode=001&scode=&type=Y&sort=manual&cur_code=140001&search=&GfDT=bmp8W11B,,//cdn4-aka.makeshop.co.kr/shopimages/chicfox/0010060043822.gif?1692231001,,15800,,355,"핑크, 퍼플, 소라, 네이비",0,SHIRT/BLOUSE > 셔츠
레터링 자수 스트라이프 셔츠,https://www.chicfox.co.kr/shop/shopdetail.html?branduid=512395&xcode=140&mcode=001&scode=&type=Y&sort=manual&cur_code=140001&search=&GfDT=bmx%2BW11C,,//cdn4-aka.makeshop.co.kr/shopimages/chicfox/0010060050812.jpg?1742201965,,29800,,7,"아이보리,크림, 데님연청",0,SHIRT/BLOUSE > 셔츠
시티즈 세미크롭 코튼 셔츠,https://www.chicfox.co.kr/shop/shopdetail.html?branduid=509774&xcode=140&mcode=001&scode=&type=Y&sort=manual&cur_code=140001&search=&GfDT=Z2x3UFs%3D,,//cdn4-aka.makeshop.co.kr/shopimages/chicfox/0010060045032.gif?1706687966,,29800,,25,"화이트, 소라",0,SHIRT/BLOUSE > 셔츠
트리플샌드 셔츠,https://www.chicfox.co.kr/shop/shopdetail.html?branduid=496136&xcode=140&mcode=001&scode=&type=Y&sort=manual&cur_code=140001&search=&GfDT=bm13UFQ%3D,"무지,스트라이프 2가지 스타일!",//cdn4-aka.makeshop.co.kr/shopimages/chicfox/0010060048182.gif?1607646008,,18800,,571,"화이트, 네이비",0,SHIRT/BLOUSE > 셔츠
로일리 캡 롤업 셔츠,https://www.chicfox.co.kr/shop/shopdetail.html?branduid=512589&xcode=140&mcode=001&scode=&type=Y&sort=manual&cur_code=140001&search=&GfDT=bm5%2FW11N,,//cdn4-aka.makeshop.co.kr/shopimages/chicfox/0010060050952.gif?1744886734,,19800,,0,"아이보리,크림, 데님연청, 블랙",0,SHIRT/BLOUSE > 셔츠
위드유 실키 텐셀 데님셔츠,https://www.chicfox.co.kr/shop/shopdetail.html?branduid=512536&xcode=140&mcode=001&scode=&type=Y&sort=manual&cur_code=140001&search=&GfDT=bml0W15E,,//cdn4-aka.makeshop.co.kr/shopimages/chicfox/0010060050902.gif?1744263369,,39800,,1,"데님3, 데님연청",0,SHIRT/BLOUSE > 셔츠
로러블 오버핏 체크셔츠,https://www.chicfox.co.kr/shop/shopdetail.html?branduid=512132&xcode=140&mcode=001&scode=&type=Y&sort=manual&cur_code=140001&search=&GfDT=Zmt3U10%3D,,//cdn4-aka.makeshop.co.kr/shopimages/chicfox/0010060050652.gif?1736218735,,24000,,10,"옐로우, 데님연청, 네이비, 블랙",0,SHIRT/BLOUSE > 셔츠
[made]크로스로 텐셀 데님 셔츠,https://www.chicfox.co.kr/shop/shopdetail.html?branduid=510533&xcode=140&mcode=001&scode=&type=Y&sort=manual&cur_code=140001&search=&GfDT=Z2x3U14%3D,,//cdn4-aka.makeshop.co.kr/shopimages/chicfox/0010060040082.gif?1714384162,,39800,,34,데님연청,0,SHIRT/BLOUSE > 셔츠
코튼베이 세미크롭셔츠,https://www.chicfox.co.kr/shop/shopdetail.html?branduid=505030&xcode=140&mcode=001&scode=&type=Y&sort=manual&cur_code=140001&search=&GfDT=bm54W15H,,//cdn4-aka.makeshop.co.kr/shopimages/chicfox/0010060047422.gif?1692878529,,22000,,89,"아이보리,크림, 소라",0,SHIRT/BLOUSE > 셔츠
에이린즈 백 슬릿 루즈핏 셔츠,https://www.chicfox.co.kr/shop/shopdetail.html?branduid=512469&xcode=140&mcode=001&scode=&type=Y&sort=manual&cur_code=140001&search=&GfDT=bm1%2BW15A,,//cdn4-aka.makeshop.co.kr/shopimages/chicfox/0010060050872.gif?1743122395,,34800,,2,"아이보리,크림, 핑크, 소라, 연두",0,SHIRT/BLOUSE > 셔츠
에쉴린 포켓 핀턱 벌룬 슬리브 셔츠,https://www.chicfox.co.kr/shop/shopdetail.html?branduid=512433&xcode=140&mcode=001&scode=&type=Y&sort=manual&cur_code=140001&search=&GfDT=Z2Z3U1k%3D,,//cdn4-aka.makeshop.co.kr/shopimages/chicfox/0010060050842.gif?1742554576,,39800,,0,"아이보리,크림, 옐로우, 소라",0,SHIRT/BLOUSE > 셔츠
[1+1]레미츠 셔츠,https://www.chicfox.co.kr/shop/shopdetail.html?branduid=510885&xcode=140&mcode=001&scode=&type=Y&sort=manual&cur_code=140001&search=&GfDT=Zmh3U1o%3D,,//cdn4-aka.makeshop.co.kr/shopimages/chicfox/0010060050582.gif?1730288666,39600,35700,10,496,"아이보리,크림, 진베이지",0,SHIRT/BLOUSE > 셔츠
셀리느 린넨반팔셔츠,https://www.chicfox.co.kr/shop/shopdetail.html?branduid=498633&xcode=140&mcode=001&scode=&type=Y&sort=manual&cur_code=140001&search=&GfDT=bmt%2FW15D,소매롤업으로 여리한 팔뚝라인~,//cdn4-aka.makeshop.co.kr/shopimages/chicfox/0010060044582.gif?1657845694,,26000,,75,"화이트, 민트, 핑크, 블랙",0,SHIRT/BLOUSE > 셔츠
체솔티 배색 스트라이프 셔츠,https://www.chicfox.co.kr/shop/shopdetail.html?branduid=512420&xcode=140&mcode=001&scode=&type=Y&sort=manual&cur_code=140001&search=&GfDT=Z2V%2FWQ%3D%3D,,//cdn4-aka.makeshop.co.kr/shopimages/chicfox/0010060050832.jpg?1742516463,,39800,,0,"연두, 핑크",0,SHIRT/BLOUSE > 셔츠
몬디아 와이드 커프스 오버핏 셔츠,https://www.chicfox.co.kr/shop/shopdetail.html?branduid=512357&xcode=140&mcode=001&scode=&type=Y&sort=manual&cur_code=140001&search=&GfDT=a2t3U1U%3D,,//cdn4-aka.makeshop.co.kr/shopimages/chicfox/0010060050792.gif?1742359462,,68000,,2,"옐로우, 네이비",0,SHIRT/BLOUSE > 셔츠
킨더 베이직 스탠다드 셔츠,https://www.chicfox.co.kr/shop/shopdetail.html?branduid=510041&xcode=140&mcode=001&scode=&type=Y&sort=manual&cur_code=140001&search=&GfDT=Z2x3Ulw%3D,,//cdn4-aka.makeshop.co.kr/shopimages/chicfox/0010060047842.gif?1710292120,,29800,,9,"아이보리,크림, 스카이, 핑크",0,SHIRT/BLOUSE > 셔츠
