상품명,상품URL,상품설명,이미지URL,정가,판매가,할인율,리뷰수,색상,판매수량,카테고리
프리스 숏바람막이점퍼,https://www.chicfox.co.kr/shop/shopdetail.html?branduid=502272&xcode=010&mcode=002&scode=&type=X&sort=manual&cur_code=010002&search=&GfDT=bml9W11C,,//cdn4-aka.makeshop.co.kr/shopimages/chicfox/0100020021412.gif?1629709499,,24800,,22,"화이트, 블랙",0,OUTER > 점퍼/집업
[SET15%]코스에그 자수 투웨이 니트집업 가디건+벤니 캣브러쉬 부츠컷 데님팬츠,https://www.chicfox.co.kr/shop/shopdetail.html?branduid=511877&xcode=010&mcode=002&scode=&type=X&sort=manual&cur_code=010002&search=&GfDT=bm57W11D,,//cdn4-aka.makeshop.co.kr/shopimages/chicfox/0100020026812.gif?1732247883,84600,72000,15,16,,0,OUTER > 점퍼/집업
에어쉴드 하이넥 후드 야상점퍼,https://www.chicfox.co.kr/shop/shopdetail.html?branduid=511335&xcode=010&mcode=002&scode=&type=X&sort=manual&cur_code=010002&search=&GfDT=aW53UFQ%3D,,//cdn4-aka.makeshop.co.kr/shopimages/chicfox/0100020026172.gif?1727163537,,59800,,23,"베이지, 브라운, 블랙",0,OUTER > 점퍼/집업
[SET10%]브래킹 후드 바람막이 점퍼+브래킹 파라슈트 나일론 팬츠,https://www.chicfox.co.kr/shop/shopdetail.html?branduid=510266&xcode=010&mcode=002&scode=&type=X&sort=manual&cur_code=010002&search=&GfDT=amh3UFU%3D,,//cdn4-aka.makeshop.co.kr/shopimages/chicfox/0100020027262.gif?1744343976,39600,35600,10,0,블랙,0,OUTER > 점퍼/집업
소도르 포켓 후드집업 베스트,https://www.chicfox.co.kr/shop/shopdetail.html?branduid=510018&xcode=010&mcode=002&scode=&type=X&sort=manual&cur_code=010002&search=&GfDT=bm9%2BW15E,,//cdn4-aka.makeshop.co.kr/shopimages/chicfox/0100020024932.gif?1709799899,,34800,,23,"카키, 블랙",0,OUTER > 점퍼/집업
어센틱 후드 바람막이 점퍼,https://www.chicfox.co.kr/shop/shopdetail.html?branduid=509858&xcode=010&mcode=002&scode=&type=X&sort=manual&cur_code=010002&search=&GfDT=a2x3U10%3D,,//cdn4-aka.makeshop.co.kr/shopimages/chicfox/0100020024732.gif?1737426896,,59800,,75,"아이보리,크림, 핑크, 블랙",0,OUTER > 점퍼/집업
[made]베이데이 후드집업니트베스트,https://www.chicfox.co.kr/shop/shopdetail.html?branduid=508083&xcode=010&mcode=002&scode=&type=X&sort=manual&cur_code=010002&search=&GfDT=bmp5W15G,,//cdn4-aka.makeshop.co.kr/shopimages/chicfox/0100020025112.gif?1703810242,,29800,,129,"옐로우, 베이지, 그레이, 블랙",0,OUTER > 점퍼/집업
루퍼지 야상자켓,https://www.chicfox.co.kr/shop/shopdetail.html?branduid=500557&xcode=010&mcode=002&scode=&type=X&sort=manual&cur_code=010002&search=&GfDT=bml4W15H,,//cdn4-aka.makeshop.co.kr/shopimages/chicfox/0100020021062.gif?1648797816,,63800,,43,카키,0,OUTER > 점퍼/집업
레이건 미니자수 후드집업,https://www.chicfox.co.kr/shop/shopdetail.html?branduid=512407&xcode=010&mcode=002&scode=&type=X&sort=manual&cur_code=010002&search=&GfDT=bmx7W15A,,//cdn4-aka.makeshop.co.kr/shopimages/chicfox/0100020027212.gif?1742285093,,39800,,0,"아이보리,크림, 진한크림, 그레이",0,OUTER > 점퍼/집업
니트슬리브 후드 패딩점퍼,https://www.chicfox.co.kr/shop/shopdetail.html?branduid=511653&xcode=010&mcode=002&scode=&type=X&sort=manual&cur_code=010002&search=&GfDT=bml6W15B,,//cdn4-aka.makeshop.co.kr/shopimages/chicfox/0100020026412.gif?1730106004,,69800,,10,"진베이지, 블랙",0,OUTER > 점퍼/집업
[made]브람 플랩포켓 스트링 점퍼,https://www.chicfox.co.kr/shop/shopdetail.html?branduid=510591&xcode=010&mcode=002&scode=&type=X&sort=manual&cur_code=010002&search=&GfDT=bm17W15C,,//cdn4-aka.makeshop.co.kr/shopimages/chicfox/0100020025022.gif?1715160034,,29980,,18,"아이보리,크림, 블랙",0,OUTER > 점퍼/집업
브래튼 라이더 시보리 점퍼,https://www.chicfox.co.kr/shop/shopdetail.html?branduid=510061&xcode=010&mcode=002&scode=&type=X&sort=manual&cur_code=010002&search=&GfDT=bWp3U1s%3D,,//cdn4-aka.makeshop.co.kr/shopimages/chicfox/0100020024832.gif?1710319189,,65000,,8,"카키, 블랙",0,OUTER > 점퍼/집업
더블 사선지퍼 하이넥 바람막이점퍼,https://www.chicfox.co.kr/shop/shopdetail.html?branduid=509927&xcode=010&mcode=002&scode=&type=X&sort=manual&cur_code=010002&search=&GfDT=bmp4W15M,,//cdn4-aka.makeshop.co.kr/shopimages/chicfox/0100020024742.gif?1744680027,,45000,,24,"아이보리,크림, 핑크, 블랙",0,OUTER > 점퍼/집업
[made]인피니엄 하이넥바람막이점퍼,https://www.chicfox.co.kr/shop/shopdetail.html?branduid=508308&xcode=010&mcode=002&scode=&type=X&sort=manual&cur_code=010002&search=&GfDT=bm56W15N,,//cdn4-aka.makeshop.co.kr/shopimages/chicfox/0100020023692.gif?1736141187,,69000,,102,"아이보리,크림, 블랙",0,OUTER > 점퍼/집업
[made]써로우 하이넥롱야상점퍼,https://www.chicfox.co.kr/shop/shopdetail.html?branduid=508038&xcode=010&mcode=002&scode=&type=X&sort=manual&cur_code=010002&search=&GfDT=bm11W19E,,//cdn4-aka.makeshop.co.kr/shopimages/chicfox/0100020023632.gif?1693526942,98000,39200,60,2,"카키, 네이비",0,OUTER > 점퍼/집업
[셋트15%] 위니크 반집업 배색 바람막이 점퍼 스커트 세트,https://www.chicfox.co.kr/shop/shopdetail.html?branduid=512620&xcode=010&mcode=002&scode=&type=X&sort=manual&cur_code=010002&search=&GfDT=a2V%2BUA%3D%3D,,//cdn4-aka.makeshop.co.kr/shopimages/chicfox/0100020027292.gif?1744971935,,29600,15,0,"베이지, 블루",0,OUTER > 점퍼/집업
세즈아 윈드 바람막이 점퍼,https://www.chicfox.co.kr/shop/shopdetail.html?branduid=512484&xcode=010&mcode=002&scode=&type=X&sort=manual&cur_code=010002&search=&GfDT=a2x3Ul4%3D,,//cdn4-aka.makeshop.co.kr/shopimages/chicfox/0100020027232.gif?1743379820,,89000,,0,"화이트, 블루, 블랙",0,OUTER > 점퍼/집업
하이쿤 후드 바람막이점퍼 세트,https://www.chicfox.co.kr/shop/shopdetail.html?branduid=512251&xcode=010&mcode=002&scode=&type=X&sort=manual&cur_code=010002&search=&GfDT=bm5%2BW19H,[앵콜세일15%]04.27(일)까지,//cdn4-aka.makeshop.co.kr/shopimages/chicfox/0100020027162.gif?1740709552,49800,42400,15,0,"아이보리,크림, 연카키, 블랙",0,OUTER > 점퍼/집업
코쿤 하이넥 스트링 점퍼,https://www.chicfox.co.kr/shop/shopdetail.html?branduid=512174&xcode=010&mcode=002&scode=&type=X&sort=manual&cur_code=010002&search=&GfDT=bGZ3Ulg%3D,,//cdn4-aka.makeshop.co.kr/shopimages/chicfox/0100020027132.gif?1737532222,,69800,,0,"아이보리,크림, 연카키, 블랙",0,OUTER > 점퍼/집업
파우더리 베이직 덕다운 패딩,https://www.chicfox.co.kr/shop/shopdetail.html?branduid=512091&xcode=010&mcode=002&scode=&type=X&sort=manual&cur_code=010002&search=&GfDT=bGd3Ulk%3D,,//cdn4-aka.makeshop.co.kr/shopimages/chicfox/0100020027042.gif?1735281664,,136000,,0,"베이지, 옐로우, 브라운, 블랙",0,OUTER > 점퍼/집업
카이우 퀼팅 후드 패딩점퍼,https://www.chicfox.co.kr/shop/shopdetail.html?branduid=511871&xcode=010&mcode=002&scode=&type=X&sort=manual&cur_code=010002&search=&GfDT=aW13Ulo%3D,,//cdn4-aka.makeshop.co.kr/shopimages/chicfox/0100020026802.gif?1732171114,,66000,,0,"카키, 블랙",0,OUTER > 점퍼/집업
미엘라 하이넥 니트집업&팬츠 세트,https://www.chicfox.co.kr/shop/shopdetail.html?branduid=511781&xcode=010&mcode=002&scode=&type=X&sort=manual&cur_code=010002&search=&GfDT=bmh9W19D,,//cdn4-aka.makeshop.co.kr/shopimages/chicfox/0100020026632.gif?1730963835,,74800,,0,"아이보리,크림, 베이지, 블랙",0,OUTER > 점퍼/집업
케미지 카라 부클 점퍼,https://www.chicfox.co.kr/shop/shopdetail.html?branduid=511741&xcode=010&mcode=002&scode=&type=X&sort=manual&cur_code=010002&search=&GfDT=bmp6W19M,,//cdn4-aka.makeshop.co.kr/shopimages/chicfox/0100020026542.gif?1730370226,,99000,,0,"베이지, 아이보리,크림",0,OUTER > 점퍼/집업
레글런 하이넥 골지니트 집업 가디건,https://www.chicfox.co.kr/shop/shopdetail.html?branduid=511731&xcode=010&mcode=002&scode=&type=X&sort=manual&cur_code=010002&search=&GfDT=bmx8W19N,,//cdn4-aka.makeshop.co.kr/shopimages/chicfox/0100020026512.gif?1730358832,,69800,,7,"베이지, 블랙",0,OUTER > 점퍼/집업
[made]어웨이 오버핏 후드 항공 패딩점퍼,https://www.chicfox.co.kr/shop/shopdetail.html?branduid=511726&xcode=010&mcode=002&scode=&type=X&sort=manual&cur_code=010002&search=&GfDT=bGd3VVw%3D,,//cdn4-aka.makeshop.co.kr/shopimages/chicfox/0100020026492.gif?1730697089,,68000,,20,"카키, 블랙",0,OUTER > 점퍼/집업
[Set 20%할인] 테일즈 스트링 숏 야상점퍼+라운드 퀼팅자켓,https://www.chicfox.co.kr/shop/shopdetail.html?branduid=511553&xcode=010&mcode=002&scode=&type=X&sort=manual&cur_code=010002&search=&GfDT=Z2Z3VV0%3D,,//cdn4-aka.makeshop.co.kr/shopimages/chicfox/0100020026332.gif?1729132968,119600,95700,20,8,"카키, 블랙",0,OUTER > 점퍼/집업
[made]테일즈 스트링 숏 야상점퍼,https://www.chicfox.co.kr/shop/shopdetail.html?branduid=511545&xcode=010&mcode=002&scode=&type=X&sort=manual&cur_code=010002&search=&GfDT=bml5W1hG,,//cdn4-aka.makeshop.co.kr/shopimages/chicfox/0100020026322.gif?1729075419,,69800,,5,"카키, 블랙",0,OUTER > 점퍼/집업
[made]블랙라벨 배색 후드 바람막이점퍼,https://www.chicfox.co.kr/shop/shopdetail.html?branduid=511394&xcode=010&mcode=002&scode=&type=X&sort=manual&cur_code=010002&search=&GfDT=bm1%2BW1hH,,//cdn4-aka.makeshop.co.kr/shopimages/chicfox/0100020026242.gif?1726803140,,45000,,22,"브라운, 블랙",0,OUTER > 점퍼/집업
유틸리틴 스텐카라 블루종 점퍼,https://www.chicfox.co.kr/shop/shopdetail.html?branduid=511382&xcode=010&mcode=002&scode=&type=X&sort=manual&cur_code=010002&search=&GfDT=bml6W1hA,,//cdn4-aka.makeshop.co.kr/shopimages/chicfox/0100020026222.gif?1726734050,,59800,,0,"진베이지, 블랙",0,OUTER > 점퍼/집업
릴랙스 탄탄코튼 오버핏 후드집업,https://www.chicfox.co.kr/shop/shopdetail.html?branduid=511279&xcode=010&mcode=002&scode=&type=X&sort=manual&cur_code=010002&search=&GfDT=bWx3VVk%3D,,//cdn4-aka.makeshop.co.kr/shopimages/chicfox/0100020026082.gif?1736218535,,54000,,39,"블랙, 아이보리,크림",0,OUTER > 점퍼/집업
카인다 스냅버튼 나일론점퍼,https://www.chicfox.co.kr/shop/shopdetail.html?branduid=511253&xcode=010&mcode=002&scode=&type=X&sort=manual&cur_code=010002&search=&GfDT=bG93VVo%3D,,//cdn4-aka.makeshop.co.kr/shopimages/chicfox/0100020026052.gif?1724663195,,63000,,11,"베이지, 블랙",0,OUTER > 점퍼/집업
[made]나르바이 루즈핏 코튼 집업,https://www.chicfox.co.kr/shop/shopdetail.html?branduid=510588&xcode=010&mcode=002&scode=&type=X&sort=manual&cur_code=010002&search=&GfDT=bm97W1hD,,//cdn4-aka.makeshop.co.kr/shopimages/chicfox/0100020025012.gif?1715077189,,46000,,4,"화이트, 그레이, 블랙",0,OUTER > 점퍼/집업
[made]리뷰트 가오리핏 스판 후드집업,https://www.chicfox.co.kr/shop/shopdetail.html?branduid=510478&xcode=010&mcode=002&scode=&type=X&sort=manual&cur_code=010002&search=&GfDT=bmx0W1hM,,//cdn4-aka.makeshop.co.kr/shopimages/chicfox/0100020025002.gif?1713950156,,65000,,1,"화이트, 와인, 블랙",0,OUTER > 점퍼/집업
[made]레더 패치 후드 바람막이점퍼,https://www.chicfox.co.kr/shop/shopdetail.html?branduid=510317&xcode=010&mcode=002&scode=&type=X&sort=manual&cur_code=010002&search=&GfDT=Zm53VVU%3D,,//cdn4-aka.makeshop.co.kr/shopimages/chicfox/0100020024942.gif?1719974843,,39800,,8,"베이지, 블랙",0,OUTER > 점퍼/집업
[made]마테오 넥스트링 바람막이 집업,https://www.chicfox.co.kr/shop/shopdetail.html?branduid=510228&xcode=010&mcode=002&scode=&type=X&sort=manual&cur_code=010002&search=&GfDT=bm57W1lE,,//cdn4-aka.makeshop.co.kr/shopimages/chicfox/0100020024892.gif?1711961574,,39800,,0,"화이트, 블랙",0,OUTER > 점퍼/집업
[made]알루샨 베이직 코튼 후드집업,https://www.chicfox.co.kr/shop/shopdetail.html?branduid=510116&xcode=010&mcode=002&scode=&type=X&sort=manual&cur_code=010002&search=&GfDT=bW53VF0%3D,,//cdn4-aka.makeshop.co.kr/shopimages/chicfox/0100020024852.gif?1711960051,,38000,,16,"옐로우, 그레이, 그린, 블랙",0,OUTER > 점퍼/집업
슬릭코튼 후드야상점퍼,https://www.chicfox.co.kr/shop/shopdetail.html?branduid=509953&xcode=010&mcode=002&scode=&type=X&sort=manual&cur_code=010002&search=&GfDT=Z2l3VF4%3D,,//cdn4-aka.makeshop.co.kr/shopimages/chicfox/0100020024782.gif?1709195193,,58000,,19,"진베이지, 블랙",0,OUTER > 점퍼/집업
코튼 리벳 차이나 집업,https://www.chicfox.co.kr/shop/shopdetail.html?branduid=509942&xcode=010&mcode=002&scode=&type=X&sort=manual&cur_code=010002&search=&GfDT=Zmh3VF8%3D,,//cdn4-aka.makeshop.co.kr/shopimages/chicfox/0100020024772.gif?1709021368,,48000,,4,"연베이지, 그레이, 네이비",0,OUTER > 점퍼/집업
케이브 코튼 후드야상점퍼,https://www.chicfox.co.kr/shop/shopdetail.html?branduid=509826&xcode=010&mcode=002&scode=&type=X&sort=manual&cur_code=010002&search=&GfDT=bmx0W1lA,,//cdn4-aka.makeshop.co.kr/shopimages/chicfox/0100020024712.gif?1727408165,,65000,,20,"연베이지, 진베이지",0,OUTER > 점퍼/집업
[made]윈터라이 볼륨후드패딩베스트,https://www.chicfox.co.kr/shop/shopdetail.html?branduid=508499&xcode=010&mcode=002&scode=&type=X&sort=manual&cur_code=010002&search=&GfDT=bWV4VA%3D%3D,,//cdn4-aka.makeshop.co.kr/shopimages/chicfox/0100020023762.gif?1706573966,,39800,,35,"카키, 브라운, 블랙",0,OUTER > 점퍼/집업
포운 레터링 니트집업,https://www.chicfox.co.kr/shop/shopdetail.html?branduid=508395&xcode=010&mcode=002&scode=&type=X&sort=manual&cur_code=010002&search=&GfDT=Zm53VFo%3D,,//cdn4-aka.makeshop.co.kr/shopimages/chicfox/0100020025902.gif?1696922811,38000,19000,50,6,"아이보리,크림, 그레이",0,OUTER > 점퍼/집업
리틀미 반하이넥골지니트집업,https://www.chicfox.co.kr/shop/shopdetail.html?branduid=508318&xcode=010&mcode=002&scode=&type=X&sort=manual&cur_code=010002&search=&GfDT=Zm13VFs%3D,,//cdn4-aka.makeshop.co.kr/shopimages/chicfox/0100020025382.gif?1697414339,,29800,,106,"아이보리,크림, 그레이, 블랙",0,OUTER > 점퍼/집업
코멧코튼 후드롱야상점퍼,https://www.chicfox.co.kr/shop/shopdetail.html?branduid=508281&xcode=010&mcode=002&scode=&type=X&sort=manual&cur_code=010002&search=&GfDT=bWh3VFQ%3D,,//cdn4-aka.makeshop.co.kr/shopimages/chicfox/0100020023912.gif?1695198784,42000,19800,53,5,"진베이지, 카키",0,OUTER > 점퍼/집업
마르틴 스트링후드점퍼,https://www.chicfox.co.kr/shop/shopdetail.html?branduid=506965&xcode=010&mcode=002&scode=&type=X&sort=manual&cur_code=010002&search=&GfDT=bWp3VFU%3D,,//cdn4-aka.makeshop.co.kr/shopimages/chicfox/0100020023402.gif?1679475115,,30800,,3,"베이지, 블랙",0,OUTER > 점퍼/집업
마이노 소매배색바람막이,https://www.chicfox.co.kr/shop/shopdetail.html?branduid=506678&xcode=010&mcode=002&scode=&type=X&sort=manual&cur_code=010002&search=&GfDT=aGx3UQ%3D%3D,,https://cdn4-aka.makeshop.co.kr/shopimages/chicfox/0100020023322.gif?1676361655,,83800,,0,"카키, 블랙",0,OUTER > 점퍼/집업
온타리오 롱야상점퍼,https://www.chicfox.co.kr/shop/shopdetail.html?branduid=506527&xcode=010&mcode=002&scode=&type=X&sort=manual&cur_code=010002&search=&GfDT=bmt%2FW10%3D,,https://cdn4-aka.makeshop.co.kr/shopimages/chicfox/0100020023282.gif?1674807644,98000,68600,30,0,"베이지, 카키, 블랙",0,OUTER > 점퍼/집업
하르코 투웨이자수니트집업,https://www.chicfox.co.kr/shop/shopdetail.html?branduid=506491&xcode=010&mcode=002&scode=&type=X&sort=manual&cur_code=010002&search=&GfDT=bW13Uw%3D%3D,,https://cdn4-aka.makeshop.co.kr/shopimages/chicfox/0100020025962.gif?1674115775,,41800,,15,"아이보리,크림, 연그레이, 블랙",0,OUTER > 점퍼/집업
[made]하노에 퀼팅누빔점퍼,https://www.chicfox.co.kr/shop/shopdetail.html?branduid=505710&xcode=010&mcode=002&scode=&type=X&sort=manual&cur_code=010002&search=&GfDT=bmp5W18%3D,,https://cdn4-aka.makeshop.co.kr/shopimages/chicfox/0100020022762.gif?1667957554,98000,68600,30,3,"아이보리,크림",0,OUTER > 점퍼/집업
버리문 바이오워싱후드야상,https://www.chicfox.co.kr/shop/shopdetail.html?branduid=505505&xcode=010&mcode=002&scode=&type=X&sort=manual&cur_code=010002&search=&GfDT=a2p3VQ%3D%3D,,//cdn4-aka.makeshop.co.kr/shopimages/chicfox/0100020022552.gif?1665650158,,82800,,0,"베이지, 블랙",0,OUTER > 점퍼/집업
데이본 오버핏후드집업,https://www.chicfox.co.kr/shop/shopdetail.html?branduid=505124&xcode=010&mcode=002&scode=&type=X&sort=manual&cur_code=010002&search=&GfDT=bmx1W1k%3D,,//cdn4-aka.makeshop.co.kr/shopimages/chicfox/0100020022402.gif?1661399704,19800,9800,51,8,"퍼플, 블랙",0,OUTER > 점퍼/집업
타브스 집업니트가디건,https://www.chicfox.co.kr/shop/shopdetail.html?branduid=500674&xcode=010&mcode=002&scode=&type=X&sort=manual&cur_code=010002&search=&GfDT=a2V7,,//cdn4-aka.makeshop.co.kr/shopimages/chicfox/0100020025772.gif?1614761414,,39800,,415,"아이보리,크림, 그레이, 네이비",0,OUTER > 점퍼/집업
오딘 단가라 덕다운 니트집업 패딩,https://www.chicfox.co.kr/shop/shopdetail.html?branduid=512019&xcode=010&mcode=002&scode=&type=X&sort=manual&cur_code=010002&search=&GfDT=Zmx3Vg%3D%3D,,//cdn4-aka.makeshop.co.kr/shopimages/chicfox/0100020026962.gif?1734081676,,,,0,"아이보리,크림, 블랙",0,OUTER > 점퍼/집업
테일런트 스트링베스트,https://www.chicfox.co.kr/shop/shopdetail.html?branduid=507192&xcode=010&mcode=002&scode=&type=X&sort=manual&cur_code=010002&search=&GfDT=bmx%2BW1Q%3D,,//cdn4-aka.makeshop.co.kr/shopimages/chicfox/0100020023442.gif?1682061526,,,,6,"진베이지, 카키",0,OUTER > 점퍼/집업
마르텔 세미크롭 후드집업,https://www.chicfox.co.kr/shop/shopdetail.html?branduid=512431&xcode=010&mcode=002&scode=&type=X&sort=manual&cur_code=010002&search=&GfDT=bm90W1U%3D,,//cdn4-aka.makeshop.co.kr/shopimages/chicfox/0100020027222.gif?1742554846,,,,0,"아이보리,크림, 그레이",0,OUTER > 점퍼/집업
