상품명,상품URL,상품설명,이미지URL,정가,판매가,할인율,리뷰수,색상,카테고리
루나 카라 배색 7부 니트,https://www.joamom.co.kr/shop/shopdetail.html?branduid=62939&xcode=049&mcode=001&scode=&type=Y&sort=manual&cur_code=049005&search=&GfDT=a253UQ%3D%3D,,https://cdn3-aka.makeshop.co.kr/shopimages/yamiyami/0620050028633.gif?1742741135,,27000,,13,"rgb(255, 255, 255);, rgb(194, 194, 194);, rgb(29, 36, 54);",팬츠
스프링 V넥 니트,https://www.joamom.co.kr/shop/shopdetail.html?branduid=62853&xcode=049&mcode=001&scode=&type=Y&sort=manual&cur_code=049005&search=&GfDT=bmx6W10%3D,,https://cdn3-aka.makeshop.co.kr/shopimages/yamiyami/0620050028523.gif?1740719524,19800,17800,10,15,"rgb(247, 245, 230);, rgb(207, 199, 186);, rgb(39, 207, 140);, rgb(235, 185, 235);, rgb(30, 39, 84);, rgb(130, 130, 130);, rgb(0, 0, 0);",팬츠
시즌 7부 니트 (2Types 라운드넥/브이넥),https://www.joamom.co.kr/shop/shopdetail.html?branduid=61660&xcode=049&mcode=001&scode=&type=Y&sort=manual&cur_code=049005&search=&GfDT=bm99W14%3D,,https://cdn3-aka.makeshop.co.kr/shopimages/yamiyami/0620050027603.gif?1711432607,,22800,,57,"rgb(255, 255, 255);, rgb(179, 80, 115);, rgb(212, 204, 197);, rgb(122, 107, 104);, rgb(255, 241, 171);, rgb(27, 34, 64);, rgb(0, 0, 0);",팬츠
[MADE] 라붐 후드 니트 (홀가먼트),https://www.joamom.co.kr/shop/shopdetail.html?branduid=61736&xcode=049&mcode=001&scode=&type=Y&sort=manual&cur_code=049005&search=&GfDT=bmd3Ug%3D%3D,,https://cdn3-aka.makeshop.co.kr/shopimages/yamiyami/0620050027683.gif?1745281284,53000,46700,12,27,"rgb(245, 245, 242);, rgb(247, 173, 199);, rgb(80, 172, 212);",팬츠
세라카라 크로쉐 니트 가디건,https://www.joamom.co.kr/shop/shopdetail.html?branduid=61984&xcode=049&mcode=002&scode=&type=Y&sort=manual&cur_code=049005&search=&GfDT=aG53VQ%3D%3D,,https://cdn3-aka.makeshop.co.kr/shopimages/yamiyami/0670050010203.gif?1715106013,,32500,,35,"rgb(208, 199, 192);, rgb(155, 196, 166);, rgb(0, 0, 0);",팬츠
코지 하이넥 니트 세트,https://www.joamom.co.kr/shop/shopdetail.html?branduid=61520&xcode=049&mcode=005&scode=&type=Y&sort=manual&cur_code=049005&search=&GfDT=bmp%2BW1w%3D,"탄탄한 짜임의 고급진 집업과
여유핏의 팬츠가 셋트로 이가격~!
(3color)",https://cdn3-aka.makeshop.co.kr/shopimages/yamiyami/0620040004353.gif?1704268939,,64000,,7,"rgb(245, 243, 240);, rgb(212, 209, 190);, rgb(0, 0, 0);",팬츠
에드 조거 니트 팬츠,https://www.joamom.co.kr/shop/shopdetail.html?branduid=57913&xcode=049&mcode=005&scode=&type=Y&sort=manual&cur_code=049005&search=&GfDT=bWx3UA%3D%3D,꾸민 듯 안꾸민 듯 내추럴 스타일링 다리 따뜻하게 감싸줄 밍크안감 (4color),https://cdn3-aka.makeshop.co.kr/shopimages/yamiyami/0650030003453.gif?1670804235,31000,27900,10,13,"rgb(226, 216, 207);, rgb(207, 145, 147);, rgb(127, 127, 129);, rgb(0, 0, 0);",팬츠
마론 루즈핏 3피스 니트 세트,https://www.joamom.co.kr/shop/shopdetail.html?branduid=61094&xcode=049&mcode=005&scode=&type=Y&sort=manual&cur_code=049005&search=&GfDT=bWp3Uw%3D%3D,"이지한 니트 셋업 + 머플러까지! 실용성은 물론
보온성까지 확실히 챙긴 꾸안꾸 템!
(4color)",https://cdn3-aka.makeshop.co.kr/shopimages/yamiyami/0620050026603.gif?1696921973,,,,34,"rgb(69, 69, 69);, rgb(64, 56, 44);, rgb(0, 0, 0);",팬츠
