상품명,상품URL,상품설명,이미지URL,정가,판매가,할인율,리뷰수,색상,카테고리
[MADE] 슬라이스 치즈 핀턱 슬랙스,https://www.joamom.co.kr/shop/shopdetail.html?branduid=62721&xcode=065&mcode=002&scode=&type=X&sort=manual&cur_code=065002&search=&GfDT=aGl3UFw%3D,"맥시한 길이감에 트렌디한 와이드 실루엣으로
군살 커버에 탁월한 쫄깃/탱글 치즈팬츠
(S~XXL)",,48000,43200,10,21,"rgb(0, 0, 0);",와이드핏
[MADE] 앤드이지 와이드 팬츠,https://www.joamom.co.kr/shop/shopdetail.html?branduid=62839&xcode=065&mcode=002&scode=&type=X&sort=manual&cur_code=065002&search=&GfDT=bWx3UF0%3D,"봉봉뜨지 않고 쵸로록~ 흐르는 와이드핏이라
몸매부각 없이 자연스럽게 보정되는 세련된 이지룩:)
(3color)",,39500,35600,10,31,"rgb(252, 202, 237);, rgb(209, 215, 222);, rgb(0, 0, 0);",와이드핏
클래시 투핀턱 데님슬랙스,https://www.joamom.co.kr/shop/shopdetail.html?branduid=61818&xcode=065&mcode=002&scode=&type=X&sort=manual&cur_code=065002&search=&GfDT=amp3UF4%3D,"데님인듯 슬랙스인듯 드레시하게 쫙뻗은
실루엣이 매력적인 데님 슬랙스!
(S~L / 2color)",,41800,37700,10,13,"rgb(147, 176, 199);, rgb(74, 101, 161);",와이드핏
워싱 컬러 와이드 팬츠,https://www.joamom.co.kr/shop/shopdetail.html?branduid=59974&xcode=065&mcode=002&scode=&type=X&sort=manual&cur_code=065002&search=&GfDT=bmx3UFg%3D,"쨍한 컬러감이 센스있게 너무 예쁜
쫀득쫀득 워싱가공된 코튼소재로 편안해요
(5color)",,39800,35900,10,47,"rgb(209, 107, 107);, rgb(245, 243, 237);, rgb(95, 114, 163);, rgb(98, 52, 120);, rgb(0, 0, 0);",와이드핏
[MADE] 머지 카치온 와이드 팬츠,https://www.joamom.co.kr/shop/shopdetail.html?branduid=61729&xcode=065&mcode=002&scode=&type=X&sort=manual&cur_code=065002&search=&GfDT=bmt1W11C,"일자 와이드 핏으로 군살은 가려주고
카치온 워싱이 매력적인 팬츠♡
(4color/S~XL)",,42000,37800,10,92,"rgb(245, 244, 240);, rgb(184, 214, 200);, rgb(237, 197, 210);, rgb(219, 213, 200);",와이드핏
스프링 세미와이드 코튼 팬츠,https://www.joamom.co.kr/shop/shopdetail.html?branduid=62860&xcode=065&mcode=002&scode=&type=X&sort=manual&cur_code=065002&search=&GfDT=bmt3UFs%3D,"편안하고 쫀-득한 코튼X스판 소재!
데일리로 잘입어지는 크롭길이로 봄시즌 내내강추★
(4color / S~L) *베이지,L 4/30(목) 입고예정*",,42000,37800,10,1,"rgb(255, 255, 255);, rgb(214, 202, 171);, rgb(247, 205, 224);, rgb(0, 0, 0);",와이드핏
모찌 세미 와이드 슬랙스,https://www.joamom.co.kr/shop/shopdetail.html?branduid=61604&xcode=065&mcode=002&scode=&type=X&sort=manual&cur_code=065002&search=&GfDT=bm15W11M,"복부라인 잡아주는 통밴드의 세미와이드핏!
세탁&건조기사용에도 변형없는 소재로 강추~
(S~L/2color)",,33000,29700,10,33,"rgb(0, 0, 0);, rgb(217, 214, 210);",와이드핏
슬릿 와이드 밴딩 팬츠,https://www.joamom.co.kr/shop/shopdetail.html?branduid=60026&xcode=065&mcode=002&scode=&type=X&sort=manual&cur_code=065002&search=&GfDT=bmp9W11N,"휘뚜루마뚜루 데일리 템, 가성비 굿
밑단 슬릿으로 포인트!
(F,L / 2color / 숏,기본,롱)",,17800,16100,10,57,"rgb(196, 196, 196);, rgb(0, 0, 0);",와이드핏
잭슨 큐빅 팬츠,https://www.joamom.co.kr/shop/shopdetail.html?branduid=61762&xcode=065&mcode=002&scode=&type=X&sort=manual&cur_code=065002&search=&GfDT=bm9%2BW15E,"앞면 큐빅 포인트로 블링블링한 유니크한
매력이 가득한 와이드 팬츠에요♡
(3color)",,24000,21600,10,15,"rgb(0, 0, 0);, rgb(209, 209, 209);, rgb(255, 252, 245);",와이드핏
포미 뒷밴딩 와이드 슬랙스,https://www.joamom.co.kr/shop/shopdetail.html?branduid=61664&xcode=065&mcode=002&scode=&type=X&sort=manual&cur_code=065002&search=&GfDT=aWh3U10%3D,"구김없이 탱글~한 소재감으로
제대로 세련된 와이드핏으로 적극추천
(2color / S~L)",,34500,31100,10,33,"rgb(0, 0, 0);, rgb(217, 212, 210);",와이드핏
베니 세미 와이드 팬츠,https://www.joamom.co.kr/shop/shopdetail.html?branduid=62799&xcode=065&mcode=002&scode=&type=X&sort=manual&cur_code=065002&search=&GfDT=bm10W15G,"설레이는 화사한 컬러감과 베이직 컬러로 구성된 면팬츠
다리라인 드러남 없는 세미와이드핏에 쫀득한 신축성 자랑!
(4color / S~XL)",,42000,37800,10,10,"rgb(237, 236, 232);, rgb(219, 215, 202);, rgb(240, 206, 220);, rgb(0, 0, 0);",와이드핏
링클프리 차르르 슬랙스,https://www.joamom.co.kr/shop/shopdetail.html?branduid=62868&xcode=065&mcode=002&scode=&type=X&sort=manual&cur_code=065002&search=&GfDT=bmp0W15H,"차르르 떨어지는 핏! 밀도감있는 링클프리 원단!
세미와이드핏으로 군살 커버해주면서 날씬해보이는 슬랙스
(2color / S,M)",,53500,48200,10,1,"rgb(240, 233, 216);, rgb(0, 0, 0);",와이드핏
르메이 핀턱 와이드 슬랙스,https://www.joamom.co.kr/shop/shopdetail.html?branduid=62412&xcode=065&mcode=002&scode=&type=X&sort=manual&cur_code=065002&search=&GfDT=a2Z3U1g%3D,"적당히 톡톡한 소재감으로 멋스럽게 툭-
떨어지는 핏이 과하지않으면서 세련됐어요
(3color / S~L)",,42000,25800,39,9,"rgb(135, 121, 100);, rgb(87, 87, 87);, rgb(0, 0, 0);",와이드핏
베일 와이드 데님 팬츠,https://www.joamom.co.kr/shop/shopdetail.html?branduid=61821&xcode=065&mcode=002&scode=&type=X&sort=manual&cur_code=065002&search=&GfDT=bWh3U1k%3D,"워싱 포인트로 멋스러움 UP !
탄탄한 코튼 소재로 오래 즐기기 좋아
(S~L)",,44000,30800,30,2,"rgb(132, 161, 186);",와이드핏
[MADE] 도파밍 카치온 코튼 팬츠,https://www.joamom.co.kr/shop/shopdetail.html?branduid=61728&xcode=065&mcode=002&scode=&type=X&sort=manual&cur_code=065002&search=&GfDT=bm5%2BW15C,"화사한 컬러감, 산뜻한 피그먼트 워싱이
매력적인 와이드핏 코튼팬츠!
(3color / S~XXL / 기본,롱)",,34500,31100,10,40,"rgb(246, 247, 195);, rgb(245, 201, 224);, rgb(217, 212, 184);",와이드핏
리모드 울 큐롯 팬츠,https://www.joamom.co.kr/shop/shopdetail.html?branduid=61451&xcode=065&mcode=002&scode=&type=X&sort=manual&cur_code=065002&search=&GfDT=bGp3U1s%3D,"와이드하게 톡-떨어지는 핏감으로 세련된 큐롯 팬츠!
도톰한 모직소재로 따뜻하게 입어주기 좋아요
(S~L / 3color)",,41000,36900,10,54,"rgb(0, 0, 0);, rgb(62, 64, 66);, rgb(232, 228, 223);",와이드핏
포븐 투버튼 기모 슬랙스,https://www.joamom.co.kr/shop/shopdetail.html?branduid=61242&xcode=065&mcode=002&scode=&type=X&sort=manual&cur_code=065002&search=&GfDT=bm18W15M,"도톰한 울터치에 기모 안감으로 한겨울까지 쭉-
미운 똥배 쏙! 가려주는 투버튼 디자인
(S~L / 3color)",,42000,29400,30,7,"rgb(214, 206, 195);, rgb(84, 83, 82);, rgb(0, 0, 0);",와이드핏
에크루 크롭와이드 코튼 팬츠,https://www.joamom.co.kr/shop/shopdetail.html?branduid=62874&xcode=065&mcode=002&scode=&type=X&sort=manual&cur_code=065002&search=&GfDT=Z2Z3U1U%3D,"경쾌한 크롭한 기장감과 멋스러운 와이드핏★
살짝 크게나와서 더욱 여유롭게~하비언니 강추",,45800,41300,10,3,"rgb(255, 253, 247);",와이드핏
사선포켓 핀턱 슬랙스,https://www.joamom.co.kr/shop/shopdetail.html?branduid=62192&xcode=065&mcode=002&scode=&type=X&sort=manual&cur_code=065002&search=&GfDT=Zm93Ulw%3D,"세련된 무드를 주는 사선 포켓과 핀턱
여름내내 입기 좋은 넘 시원한 슬랙스
(2color / F, L)",,39800,27800,30,3,"rgb(44, 41, 89);, rgb(0, 0, 0);",와이드핏
앤디 A라인 큐롯 팬츠,https://www.joamom.co.kr/shop/shopdetail.html?branduid=62196&xcode=065&mcode=002&scode=&type=X&sort=manual&cur_code=065002&search=&GfDT=bWx3Ul0%3D,"편안함과 스타일 모두 갖춘 바스락 치마바지,
유연한 허리밴딩으로 통통 77까지 OK♡
(4color)",,47500,42800,10,2,"rgb(54, 54, 54);, rgb(196, 191, 169);, rgb(61, 47, 28);, rgb(106, 127, 148);",와이드핏
쿨치즈 절개 와이드 팬츠,https://www.joamom.co.kr/shop/shopdetail.html?branduid=62173&xcode=065&mcode=002&scode=&type=X&sort=manual&cur_code=065002&search=&GfDT=bm19W19G,"쫀~득한 신축성으로 편안한 착용감 !
시원한 촉감으로 더위 걱정없는 팬츠
(4color / S~L)",,47500,42800,10,5,"rgb(0, 0, 0);, rgb(242, 241, 240);, rgb(168, 153, 125);, rgb(73, 77, 73);",와이드핏
썸머시크 셔링 점프수트,https://www.joamom.co.kr/shop/shopdetail.html?branduid=62086&xcode=065&mcode=002&scode=&type=X&sort=manual&cur_code=065002&search=&GfDT=bmx6W19H,"코디 걱정없이 외출 준비 끝 !
원마일 룩으로 활용하기 좋은 점프수트 :)
(2color)",,34500,24100,30,0,"rgb(177, 178, 164);, rgb(0, 0, 0);",와이드핏
[MADE] 에떼 큐롯 팬츠,https://www.joamom.co.kr/shop/shopdetail.html?branduid=62016&xcode=065&mcode=002&scode=&type=X&sort=manual&cur_code=065002&search=&GfDT=bmt8W19A,"스커트처럼 풍성한 A라인 치마바지!
비침 없이 얇고 시원한 국내원단 진짜 좋아요
(5color)",,43500,39200,10,36,"rgb(245, 220, 245);, rgb(178, 205, 212);, rgb(0, 0, 0);, rgb(173, 186, 147);, rgb(176, 147, 123);",와이드핏
[MADE] 힐링 린넨 와이드 팬츠,https://www.joamom.co.kr/shop/shopdetail.html?branduid=62021&xcode=065&mcode=002&scode=&type=X&sort=manual&cur_code=065002&search=&GfDT=bmt6W19B,"편안한 신축성의 린넨 데일리 팬츠!
힙과 허벅지 군살 드러남 없이 싹-커버
(6color / S~XL)",,,32500,,299,"rgb(238, 236, 244);, rgb(216, 181, 198);, rgb(160, 172, 198);, rgb(194, 174, 144);, rgb(99, 88, 76);, rgb(0, 0, 0);",와이드핏
[MADE] 쿨 분또 와이드 팬츠,https://www.joamom.co.kr/shop/shopdetail.html?branduid=61990&xcode=065&mcode=002&scode=&type=X&sort=manual&cur_code=065002&search=&GfDT=aGd3Ulo%3D,"경쾌한 무드를 연출해주는 8부 기장 !
편안한 착용감까지 갖춘 완벽한 데일리 팬츠
(3color / M,L)",,33000,29700,10,61,"rgb(189, 179, 172);, rgb(232, 200, 217);, rgb(0, 0, 0);",와이드핏
무아르 더블 핀턱 슬랙스,https://www.joamom.co.kr/shop/shopdetail.html?branduid=61981&xcode=065&mcode=002&scode=&type=X&sort=manual&cur_code=065002&search=&GfDT=bmx3Uls%3D,"군더더기 없이 깔끔한 디자인의 슬랙스
다양하게 매치하기 좋아 매일 입고 싶어요!
(4color / S~L)",,38000,26600,30,19,"rgb(223, 218, 223);, rgb(131, 123, 118);, rgb(53, 53, 55);, rgb(0, 0, 0);",와이드핏
샌디 더블핀턱 쿨 슬랙스,https://www.joamom.co.kr/shop/shopdetail.html?branduid=61944&xcode=065&mcode=002&scode=&type=X&sort=manual&cur_code=065002&search=&GfDT=bmx5W19M,"레이온 혼방으로 쿨링감이 느껴지는 소재로
지금부터 한여름까지입는 썸머 슬랙스~
(4color / S~L)",,42000,29400,30,18,"rgb(102, 87, 75);, rgb(55, 64, 66);, rgb(204, 199, 184);, rgb(0, 0, 0);",와이드핏
퍼프라인 블랙 점프수트,https://www.joamom.co.kr/shop/shopdetail.html?branduid=61955&xcode=065&mcode=002&scode=&type=X&sort=manual&cur_code=065002&search=&GfDT=b2V%2BWA%3D%3D,"깔끔한 라운드 넥 or 오프 숄더로 연출 !
멋스럽게 연출해주는 와이드 핏 디자인",,28500,19900,30,6,"rgb(0, 0, 0);",와이드핏
차르르 쿨 핀턱 와이드 팬츠,https://www.joamom.co.kr/shop/shopdetail.html?branduid=61961&xcode=065&mcode=002&scode=&type=X&sort=manual&cur_code=065002&search=&GfDT=aW53UQ%3D%3D,"몸에 달라붙지 않는 매끄러운 텍스처 -
휘뚜루 마뚜루 활용하기 좋아 추천 꾹 !
(4color)",,22800,13700,40,16,"rgb(132, 135, 140);, rgb(245, 243, 233);, rgb(148, 216, 235);, rgb(156, 153, 120);",와이드핏
코스 투웨이 팬츠 세트,https://www.joamom.co.kr/shop/shopdetail.html?branduid=61962&xcode=065&mcode=002&scode=&type=X&sort=manual&cur_code=065002&search=&GfDT=Z2Z3UA%3D%3D,"매끄럽게 차르르 떨어지는 소재 -
세트 또는 따로 코디하여 활용하기 좋아요!
(3color)",,38000,14800,61,7,"rgb(176, 169, 134);, rgb(105, 97, 97);, rgb(0, 0, 0);",와이드핏
[MADE] 미드나잇 새틴 카고 팬츠,https://www.joamom.co.kr/shop/shopdetail.html?branduid=61933&xcode=065&mcode=002&scode=&type=X&sort=manual&cur_code=065002&search=&GfDT=Z2l3Uw%3D%3D,"가볍고 은은한광택- 고급스러운 여름팬츠 !
흔하지않은 카고디자인
(2color / M, L)",,,48000,,10,"rgb(99, 98, 77);, rgb(68, 68, 82);",와이드핏
비노 더블핀턱 쿨링 슬랙스,https://www.joamom.co.kr/shop/shopdetail.html?branduid=61912&xcode=065&mcode=002&scode=&type=X&sort=manual&cur_code=065002&search=&GfDT=Z213Ug%3D%3D,"더위 걱정없이 착용하기 좋은 쿨링 소재 !
매끄럽게 촤르르 - 떨어져 몸에 달라붙지 않아요
(2color / S~L)",,49500,34600,30,2,"rgb(255, 255, 255);, rgb(0, 0, 0);",와이드핏
[MADE] 슬로우 엠보 밴딩 팬츠,https://www.joamom.co.kr/shop/shopdetail.html?branduid=61913&xcode=065&mcode=002&scode=&type=X&sort=manual&cur_code=065002&search=&GfDT=bmx6W1g%3D,"체형커버는 기본♡트렌디한 와이드핏과
독특한 볼륨 텍스처로 꾸안꾸 완성!
(3color/M,L)",,35000,31500,10,15,"rgb(237, 236, 225);, rgb(186, 179, 104);, rgb(0, 0, 0);",와이드핏
히든포켓 일자와이드 코튼 팬츠,https://www.joamom.co.kr/shop/shopdetail.html?branduid=61870&xcode=065&mcode=002&scode=&type=X&sort=manual&cur_code=065002&search=&GfDT=bmx1W1k%3D,"봄을 가득담은 화사한 컬러★
쫀~득한 신축성으로 편안한 착용감!
(3color / S~L)",,38000,26600,30,11,"rgb(138, 142, 191);, rgb(231, 250, 225);, rgb(247, 247, 240);",와이드핏
[MADE] 베라 반밴딩 와이드 슬랙스,https://www.joamom.co.kr/shop/shopdetail.html?branduid=61838&xcode=065&mcode=002&scode=&type=X&sort=manual&cur_code=065002&search=&GfDT=bmh3Vw%3D%3D,"구김없이 찰랑이면서 툭 떨어지는 원단!
적당한 와이드핏이라 부담없이 스타일리쉬해요
(3color/S~XL)",,46000,19800,57,81,"rgb(247, 247, 245);, rgb(227, 220, 211);, rgb(0, 0, 0);",와이드핏
루빈 버튼 와이드 치마바지,https://www.joamom.co.kr/shop/shopdetail.html?branduid=58884&xcode=065&mcode=002&scode=&type=X&sort=manual&cur_code=065002&search=&GfDT=bml1W1s%3D,"편안한 착용감에 페미닌한 무드
군살도 쏙! 가려주는 치마바지
(3color)",,25000,22500,10,70,"rgb(110, 125, 106);, rgb(190, 175, 144);, rgb(0, 0, 0);",와이드핏
웨이 린넨 와이드 롱 슬랙스,https://www.joamom.co.kr/shop/shopdetail.html?branduid=58806&xcode=065&mcode=002&scode=&type=X&sort=manual&cur_code=065002&search=&GfDT=bml%2FW1Q%3D,"어디에나 세련된 무드로
탱글탱글~시원하고 찰찰한 원단
(S~L / 3color)",,42000,29400,30,27,"rgb(222, 215, 205);, rgb(18, 18, 18);",와이드핏
앤드 와이드 코튼 팬츠,https://www.joamom.co.kr/shop/shopdetail.html?branduid=62415&xcode=065&mcode=002&scode=&type=X&sort=manual&cur_code=065002&search=&GfDT=aWl3WA%3D%3D,"과하지 않게 톡- 떨어지는 와이드핏
스판 좋은 코튼소재로 데일리템♥
(4color / S~L)",,42000,29400,30,12,"rgb(252, 250, 252);, rgb(212, 184, 195);, rgb(212, 202, 188);, rgb(0, 0, 0);",와이드핏
블랑드 포멀 코튼팬츠,https://www.joamom.co.kr/shop/shopdetail.html?branduid=62329&xcode=065&mcode=002&scode=&type=X&sort=manual&cur_code=065002&search=&GfDT=bmt7W11E,"멋스러움을 주는 일자와이드 팬츠!
깔끔한 아웃핏과 편안함을 주는 히든밴딩
(4color / S~XL)",,42000,24800,41,9,"rgb(0, 0, 0);, rgb(250, 250, 250);, rgb(230, 228, 218);, rgb(224, 168, 188);",와이드핏
[MADE] 컴포트 스트링 밴딩 슬랙스,https://www.joamom.co.kr/shop/shopdetail.html?branduid=62301&xcode=065&mcode=002&scode=&type=X&sort=manual&cur_code=065002&search=&GfDT=aG53UF0%3D,"하체 컴플렉스 있는 언니들 모두 드루와~
탱~글한 소재에 구김없고 세탁에도 강해요!
(2color / M,L)",,45000,29800,34,32,"rgb(74, 73, 74);, rgb(171, 159, 135);",와이드핏
[MADE] 하이 텐셀데님 슬랙스,https://www.joamom.co.kr/shop/shopdetail.html?branduid=62302&xcode=065&mcode=002&scode=&type=X&sort=manual&cur_code=065002&search=&GfDT=bGl3UF4%3D,"챠르르 중량감있게 툭-떨어지는 탱글한 원단!
구김 1도 없어 관리하기 너무좋아요
(2color / S~XXL)",,48000,24800,48,26,"rgb(37, 45, 64);, rgb(0, 0, 0);",와이드핏
[MADE] 치즈 와이드 팬츠 JP06013,https://www.joamom.co.kr/shop/shopdetail.html?branduid=62248&xcode=065&mcode=002&scode=&type=X&sort=manual&cur_code=065002&search=&GfDT=bmp0W11H,"누적판매 16만장이상! 어떤 체형에도 완벽한
이번시즌 더욱 업그레이드된 세미와이드핏!
(3color / S~XXL)",,33000,19800,40,2,"rgb(252, 250, 252);, rgb(0, 0, 0);, rgb(173, 161, 134);",와이드핏
라이크데님 포멀 슬랙스,https://www.joamom.co.kr/shop/shopdetail.html?branduid=62234&xcode=065&mcode=002&scode=&type=X&sort=manual&cur_code=065002&search=&GfDT=bGx3UFg%3D,"탱글탱글~ 구김 전혀없는 소재감에
무게감 있게 툭- 떨어지는 세련된 핏
(2color / S~L)",,44000,30800,30,0,"rgb(2, 12, 54);, rgb(0, 0, 0);",와이드핏
마일드 원핀턱 슬랙스,https://www.joamom.co.kr/shop/shopdetail.html?branduid=62237&xcode=065&mcode=002&scode=&type=X&sort=manual&cur_code=065002&search=&GfDT=bWp3UFk%3D,"깔끔한 원핀턱 + 레직기 디테일!
활용도 높은 아이템이라 사심을 담아 추천-
(4color / S~L)",,36000,25200,30,1,"rgb(138, 126, 110);, rgb(64, 56, 52);, rgb(66, 66, 66);, rgb(0, 0, 0);",와이드핏
엔토니 핀턱 9부 슬랙스,https://www.joamom.co.kr/shop/shopdetail.html?branduid=62213&xcode=065&mcode=002&scode=&type=X&sort=manual&cur_code=065002&search=&GfDT=bmt8W11C,"벨트고리가 더해져 손쉽게 벨트 착용!
레직기 디테일로 곧게 뻗은 레그 라인-
(3color / S~L)",,31000,21700,30,3,"rgb(189, 187, 170);, rgb(88, 95, 107);, rgb(0, 0, 0);",와이드핏
리엔 A라인 밴딩팬츠,https://www.joamom.co.kr/shop/shopdetail.html?branduid=62206&xcode=065&mcode=002&scode=&type=X&sort=manual&cur_code=065002&search=&GfDT=aGl3UFs%3D,"마치 스커트를 입은 듯 우아한 실루엣-
여유로운 핏으로 통통77까지 추천드려요!
(3color)",,31000,27900,10,3,"rgb(240, 235, 225);, rgb(66, 66, 77);, rgb(0, 0, 0);",와이드핏
[MADE] 포토샵 이지 히든밴드 슬랙스,https://www.joamom.co.kr/shop/shopdetail.html?branduid=61707&xcode=065&mcode=002&scode=&type=X&sort=manual&cur_code=065002&search=&GfDT=am53UFQ%3D,"보정한 듯 날씬하게 완성시켜주는 핏♥
흐르듯 떨어지는 실루엣이 매력적인 슬랙스
(2color/S~XXL/기본,롱)",,36500,19800,46,97,"rgb(92, 92, 92);, rgb(0, 0, 0);",와이드핏
