상품명,상품URL,상품설명,이미지URL,정가,판매가,할인율,리뷰수,색상,판매수량,카테고리
몰튼 캐시미어 무지 양말,https://www.chicfox.co.kr/shop/shopdetail.html?branduid=511737&xcode=005&mcode=008&scode=&type=X&sort=manual&cur_code=005008&search=&GfDT=bWZ3UFo%3D,,//cdn4-aka.makeshop.co.kr/shopimages/chicfox/0050080003812.gif?1730355981,,11800,,2,"아이보리,크림, 베이지, 진베이지, 그레이, 블랙",0,ACC > 기타
컬러 스플래쉬 골지양말,https://www.chicfox.co.kr/shop/shopdetail.html?branduid=510579&xcode=005&mcode=008&scode=&type=X&sort=manual&cur_code=005008&search=&GfDT=bmt9W11D,,//cdn4-aka.makeshop.co.kr/shopimages/chicfox/0050080003782.gif?1715067077,,3500,,4,"아이보리,크림, 핑크, 오렌지, 연카키, 그린, 블루, 블랙",0,ACC > 기타
[당일발송] 밸런스 보습 양말,https://www.chicfox.co.kr/shop/shopdetail.html?branduid=509328&xcode=005&mcode=008&scode=&type=X&sort=manual&cur_code=005008&search=&GfDT=aWl3UFQ%3D,,//cdn4-aka.makeshop.co.kr/shopimages/chicfox/0050080003712.gif?1701311824,18000,4900,73,27,"화이트, 블랙",0,ACC > 기타
스마일자수 울골지삭스,https://www.chicfox.co.kr/shop/shopdetail.html?branduid=508588&xcode=005&mcode=008&scode=&type=X&sort=manual&cur_code=005008&search=&GfDT=bWp3UFU%3D,,//cdn4-aka.makeshop.co.kr/shopimages/chicfox/0050080003662.gif?1698236937,,4500,,28,"아이보리,크림, 베이지, 브라운, 소라, 그린, 블랙",0,ACC > 기타
자수패치 터치니트장갑,https://www.chicfox.co.kr/shop/shopdetail.html?branduid=508535&xcode=005&mcode=008&scode=&type=X&sort=manual&cur_code=005008&search=&GfDT=bmt0W15E,,//cdn4-aka.makeshop.co.kr/shopimages/chicfox/0050080003652.gif?1701295914,,10800,,2,"진한크림, 핑크, 레드, 블랙",0,ACC > 기타
스트릿골지 니트삭스,https://www.chicfox.co.kr/shop/shopdetail.html?branduid=508355&xcode=005&mcode=008&scode=&type=X&sort=manual&cur_code=005008&search=&GfDT=aG93U10%3D,,//cdn4-aka.makeshop.co.kr/shopimages/chicfox/0050080003642.gif?1697016812,,5500,,2,"화이트, 연베이지, 오렌지, 브라운, 블랙",0,ACC > 기타
심플투심플 레이온양말,https://www.chicfox.co.kr/shop/shopdetail.html?branduid=507270&xcode=005&mcode=008&scode=&type=X&sort=manual&cur_code=005008&search=&GfDT=bmp0W15G,,//cdn4-aka.makeshop.co.kr/shopimages/chicfox/0050080003542.gif?1683012740,,5000,,6,"아이보리,크림, 옐로우, 피치, 핑크, 연두, 퍼플, 챠콜, 블랙",0,ACC > 기타
슈즈팁 편리하끈,https://www.chicfox.co.kr/shop/shopdetail.html?branduid=506675&xcode=005&mcode=008&scode=&type=X&sort=manual&cur_code=005008&search=&GfDT=bm16W15H,2개세트 구매시 3개세트를 드려요!!!,//cdn4-aka.makeshop.co.kr/shopimages/chicfox/0050080003602.gif?1676365339,,4900,,1,"화이트, 그레이, 블랙",0,ACC > 기타
[1+1]요가유발삭스+요가무발삭스,https://www.chicfox.co.kr/shop/shopdetail.html?branduid=506463&xcode=005&mcode=008&scode=&type=X&sort=manual&cur_code=005008&search=&GfDT=bm10W15A,,//cdn4-aka.makeshop.co.kr/shopimages/chicfox/0050080003512.gif?1673933563,15000,10500,30,5,"베이지, 인디핑크, 블랙, 그레이, 네이비",0,ACC > 기타
김준호X김지민의 밸런스 압박스타킹 양말형 (1세트),https://www.chicfox.co.kr/shop/shopdetail.html?branduid=505985&xcode=005&mcode=008&scode=&type=X&sort=manual&cur_code=005008&search=&GfDT=aWh3U1k%3D,,//cdn4-aka.makeshop.co.kr/shopimages/chicfox/0050080003402.gif?1669778246,48000,36800,23,16,"연베이지, 블랙",0,ACC > 기타
김준호X김지민의 밸런스 압박스타킹 종아리케어형 (1세트),https://www.chicfox.co.kr/shop/shopdetail.html?branduid=505984&xcode=005&mcode=008&scode=&type=X&sort=manual&cur_code=005008&search=&GfDT=bWh3U1o%3D,,//cdn4-aka.makeshop.co.kr/shopimages/chicfox/0050080003392.gif?1669778116,38000,29800,22,16,"화이트, 연베이지, 핑크, 연퍼플, 블랙",0,ACC > 기타
김준호X김지민의 밸런스 압박스타킹 허벅지형 (1세트),https://www.chicfox.co.kr/shop/shopdetail.html?branduid=505983&xcode=005&mcode=008&scode=&type=X&sort=manual&cur_code=005008&search=&GfDT=aW93U1s%3D,,//cdn4-aka.makeshop.co.kr/shopimages/chicfox/0050080003382.gif?1669777931,46000,36800,20,16,"연베이지, 블랙",0,ACC > 기타
밸런스 마사지 롤러,https://www.chicfox.co.kr/shop/shopdetail.html?branduid=505982&xcode=005&mcode=008&scode=&type=X&sort=manual&cur_code=005008&search=&GfDT=a253U1Q%3D,,//cdn4-aka.makeshop.co.kr/shopimages/chicfox/0050080003372.gif?1669776916,28800,19800,31,0,"핑크, 블루",0,ACC > 기타
츠키셔링 머리띠,https://www.chicfox.co.kr/shop/shopdetail.html?branduid=504588&xcode=005&mcode=008&scode=&type=X&sort=manual&cur_code=005008&search=&GfDT=ZmZ3U1U%3D,,//cdn4-aka.makeshop.co.kr/shopimages/chicfox/0050080003172.gif?1655109050,,12800,,2,"블랙, 베이지",0,ACC > 기타
요가무발삭스[여우휘트니스4탄],https://www.chicfox.co.kr/shop/shopdetail.html?branduid=498027&xcode=005&mcode=008&scode=&type=X&sort=manual&cur_code=005008&search=&GfDT=aGh3Ulw%3D,,//cdn4-aka.makeshop.co.kr/shopimages/chicfox/0050080002632.jpg?1610421062,7500,1500,80,43,"그레이, 네이비",0,ACC > 기타
로나코 실리콘풋패드,https://www.chicfox.co.kr/shop/shopdetail.html?branduid=497568&xcode=005&mcode=008&scode=&type=X&sort=manual&cur_code=005008&search=&GfDT=bmt0W19F,신발안쪽에 필수템!,//cdn4-aka.makeshop.co.kr/shopimages/chicfox/0050080002432.jpg?1607474756,,3900,,13,,0,ACC > 기타
젠틸라 젤프론트패드,https://www.chicfox.co.kr/shop/shopdetail.html?branduid=497567&xcode=005&mcode=008&scode=&type=X&sort=manual&cur_code=005008&search=&GfDT=bmx4W19G,말랑말랑한 발 보호패드!,//cdn4-aka.makeshop.co.kr/shopimages/chicfox/0050080002422.jpg?1608020211,,3900,,30,,0,ACC > 기타
마베트 소프트깔창,https://www.chicfox.co.kr/shop/shopdetail.html?branduid=497566&xcode=005&mcode=008&scode=&type=X&sort=manual&cur_code=005008&search=&GfDT=bGx3Ul8%3D,본인 사이즈에 맞게 셀프컷팅!,//cdn4-aka.makeshop.co.kr/shopimages/chicfox/0050080002412.jpg?1608014454,,4900,,30,블랙,0,ACC > 기타
키링,https://www.chicfox.co.kr/shop/shopdetail.html?branduid=496554&xcode=005&mcode=008&scode=&type=X&sort=manual&cur_code=005008&search=&GfDT=bmt1W19A,,//cdn4-aka.makeshop.co.kr/shopimages/chicfox/0050080002332.jpg?1571823739,3000,2100,30,8,,0,ACC > 기타
