상품명,상품URL,상품설명,이미지URL,정가,판매가,할인율,리뷰수,색상,판매수량,카테고리
우스트 펀칭 라운드 니트가디건,https://www.chicfox.co.kr/shop/shopdetail.html?branduid=512343&xcode=010&mcode=003&scode=&type=X&sort=manual&cur_code=010003&search=&GfDT=b2V8,,https://cdn4-aka.makeshop.co.kr/shopimages/chicfox/0100030012512.gif?1741147685,,39800,,9,"그레이, 네이비",0,OUTER > 가디건
코트니 스냅버튼 워싱 코튼 가디건,https://www.chicfox.co.kr/shop/shopdetail.html?branduid=512576&xcode=010&mcode=003&scode=&type=X&sort=manual&cur_code=010003&search=&GfDT=aW13Uw%3D%3D,,https://cdn4-aka.makeshop.co.kr/shopimages/chicfox/0100030012632.gif?1744680908,,39800,,0,"아이보리,크림, 블루, 그레이",0,OUTER > 가디건
(후드ver.)코스에그 자수 투웨이 니트집업 후드가디건,https://www.chicfox.co.kr/shop/shopdetail.html?branduid=511621&xcode=010&mcode=003&scode=&type=X&sort=manual&cur_code=010003&search=&GfDT=Z253Ug%3D%3D,,https://cdn4-aka.makeshop.co.kr/shopimages/chicfox/0100030012062.gif?1740360144,,39800,,39,"레드, 연베이지, 데님진청, 블랙, 그레이",0,OUTER > 가디건
프란츠 울 니트 가디건,https://www.chicfox.co.kr/shop/shopdetail.html?branduid=512366&xcode=010&mcode=003&scode=&type=X&sort=manual&cur_code=010003&search=&GfDT=bmp7W1g%3D,,https://cdn4-aka.makeshop.co.kr/shopimages/chicfox/0100030012542.gif?1742456436,,29800,,18,"핑크, 퍼플, 아이보리,크림, 네이비, 그린",0,OUTER > 가디건
[1+1]코스에그 자수 투웨이 니트집업 가디건,https://www.chicfox.co.kr/shop/shopdetail.html?branduid=511435&xcode=010&mcode=003&scode=&type=X&sort=manual&cur_code=010003&search=&GfDT=aGt3VA%3D%3D,,https://cdn4-aka.makeshop.co.kr/shopimages/chicfox/0100030012172.gif?1727420715,59600,50700,15,1,"아이보리,크림, 그레이, 레드, 네이비",0,OUTER > 가디건
코스에그 자수 투웨이 니트집업 가디건,https://www.chicfox.co.kr/shop/shopdetail.html?branduid=511277&xcode=010&mcode=003&scode=&type=X&sort=manual&cur_code=010003&search=&GfDT=bG13UQ%3D%3D,,https://cdn4-aka.makeshop.co.kr/shopimages/chicfox/0100030011822.gif?1741849223,45000,29800,34,1,"아이보리,크림, 그레이, 레드, 네이비",0,OUTER > 가디건
아르텔 케이블 크롭 니트 가디건,https://www.chicfox.co.kr/shop/shopdetail.html?branduid=512461&xcode=010&mcode=003&scode=&type=X&sort=manual&cur_code=010003&search=&GfDT=bm14W1g%3D,,//cdn4-aka.makeshop.co.kr/shopimages/chicfox/0100030012562.gif?1742889663,,24900,,3,"아이보리,크림, 핑크, 블랙",0,OUTER > 가디건
체트 캐시라운드가디건,https://www.chicfox.co.kr/shop/shopdetail.html?branduid=508046&xcode=010&mcode=003&scode=&type=X&sort=manual&cur_code=010003&search=&GfDT=ZmZ3VA%3D%3D,,//cdn4-aka.makeshop.co.kr/shopimages/chicfox/0100030010182.gif?1692879798,,24900,,44,"아이보리,크림, 베이지, 브라운, 레드, 그린, 블랙",0,OUTER > 가디건
에딜린 캐시브이넥가디건,https://www.chicfox.co.kr/shop/shopdetail.html?branduid=503718&xcode=010&mcode=003&scode=&type=X&sort=manual&cur_code=010003&search=&GfDT=bmx3Vw%3D%3D,,//cdn4-aka.makeshop.co.kr/shopimages/chicfox/0100030009352.gif?1692953480,,20800,,149,"아이보리,크림, 베이지, 옐로우, 레드, 그레이, 블랙, 브라운",0,OUTER > 가디건
[1+1할인] 쿨링가디건,https://www.chicfox.co.kr/shop/shopdetail.html?branduid=501775&xcode=010&mcode=003&scode=&type=X&sort=manual&cur_code=010003&search=&GfDT=Z2t3Vg%3D%3D,"[하나 더 구매시2000원 할인]
긴팔기본,7부,긴팔롱3TYPE",//cdn4-aka.makeshop.co.kr/shopimages/chicfox/0100030005092.gif?1680838880,,17800,,279,"아이보리,크림, 연베이지, 민트, 핑크, 브라운, 블랙",0,OUTER > 가디건
