상품명,상품URL,상품설명,이미지URL,정가,판매가,할인율,리뷰수,색상,판매수량,카테고리
아우스 라인 슬리브리스 니트,https://www.chicfox.co.kr/shop/shopdetail.html?branduid=512625&xcode=001&mcode=002&scode=&type=X&sort=manual&cur_code=001002&search=&GfDT=bml4W11C,,//cdn4-aka.makeshop.co.kr/shopimages/chicfox/0010020021082.gif?1745224926,45800,24000,48,1,"그레이, 블랙",0,TOP > 나시
페이션 레이어드 나시,https://www.chicfox.co.kr/shop/shopdetail.html?branduid=510723&xcode=001&mcode=002&scode=&type=X&sort=manual&cur_code=001002&search=&GfDT=Zmt3UFs%3D,,//cdn4-aka.makeshop.co.kr/shopimages/chicfox/0010020020632.gif?1716451773,,22000,,9,"카키, 브라운, 블랙",0,TOP > 나시
[made]서머 브리즈 코튼 블렌드 나시,https://www.chicfox.co.kr/shop/shopdetail.html?branduid=510531&xcode=001&mcode=002&scode=&type=X&sort=manual&cur_code=001002&search=&GfDT=bmt4W11M,,//cdn4-aka.makeshop.co.kr/shopimages/chicfox/0010020020562.gif?1716452901,16000,8000,50,17,"화이트, 데님연청2, 연두, 옐로우, 다홍, 브라운, 블랙",0,TOP > 나시
[made]볼륨리프팅 캡내장 모달스판 나시탑,https://www.chicfox.co.kr/shop/shopdetail.html?branduid=510512&xcode=001&mcode=002&scode=&type=X&sort=manual&cur_code=001002&search=&GfDT=bm91W11N,,//cdn4-aka.makeshop.co.kr/shopimages/chicfox/0010020020542.gif?1715334926,,14800,,43,"화이트, 연카키, 그레이, 블랙",0,TOP > 나시
[1+1]쫀득쫀쫀 (캡내장)골지나시,https://www.chicfox.co.kr/shop/shopdetail.html?branduid=511183&xcode=001&mcode=002&scode=&type=X&sort=manual&cur_code=001002&search=&GfDT=a2l3U1w%3D,,//cdn4-aka.makeshop.co.kr/shopimages/chicfox/0010020020942.gif?1730363281,29600,26700,10,167,,0,TOP > 나시
[made]빈틈제로 3D입체 심리스 브라탑,https://www.chicfox.co.kr/shop/shopdetail.html?branduid=510629&xcode=001&mcode=002&scode=&type=X&sort=manual&cur_code=001002&search=&GfDT=bm98W15F,,//cdn4-aka.makeshop.co.kr/shopimages/chicfox/0010020020602.gif?1715336798,,14800,,11,"아이보리,크림, 연베이지, 브라운, 블랙",0,TOP > 나시
타시즈 캡소매뜨개나시,https://www.chicfox.co.kr/shop/shopdetail.html?branduid=507433&xcode=001&mcode=002&scode=&type=X&sort=manual&cur_code=001002&search=&GfDT=amh3U14%3D,,//cdn4-aka.makeshop.co.kr/shopimages/chicfox/0010020019972.gif?1719917818,,19800,,133,"화이트, 블랙",0,TOP > 나시
데일리스판 레이온골지나시,https://www.chicfox.co.kr/shop/shopdetail.html?branduid=507166&xcode=001&mcode=002&scode=&type=X&sort=manual&cur_code=001002&search=&GfDT=Zm13U18%3D,,//cdn4-aka.makeshop.co.kr/shopimages/chicfox/0010020019772.gif?1681721185,,11800,,10,"화이트, 그린, 블루, 블랙",0,TOP > 나시
[made]아벨라 크로쉐 뜨개 니트나시,https://www.chicfox.co.kr/shop/shopdetail.html?branduid=510935&xcode=001&mcode=002&scode=&type=X&sort=manual&cur_code=001002&search=&GfDT=bm94W15A,,//cdn4-aka.makeshop.co.kr/shopimages/chicfox/0010020020762.gif?1719226149,,18000,,29,"아이보리,크림, 그린, 브라운, 블랙",0,TOP > 나시
[2종택1][made]아이리스 비스코스 스판 골지나시,https://www.chicfox.co.kr/shop/shopdetail.html?branduid=510857&xcode=001&mcode=002&scode=&type=X&sort=manual&cur_code=001002&search=&GfDT=Zmd3U1k%3D,,//cdn4-aka.makeshop.co.kr/shopimages/chicfox/0010020020722.gif?1718878695,,14800,,23,"아이보리,크림, 연카키, 블랙",0,TOP > 나시
[2종택1]세인트아 레이온 스판나시,https://www.chicfox.co.kr/shop/shopdetail.html?branduid=510508&xcode=001&mcode=002&scode=&type=X&sort=manual&cur_code=001002&search=&GfDT=bW53U1o%3D,,//cdn4-aka.makeshop.co.kr/shopimages/chicfox/0010020020532.gif?1714095900,12800,6400,50,30,"화이트, 블랙, 그레이, 오렌지, 그린, 브라운",0,TOP > 나시
파커 레터링 린넨나시,https://www.chicfox.co.kr/shop/shopdetail.html?branduid=507830&xcode=001&mcode=002&scode=&type=X&sort=manual&cur_code=001002&search=&GfDT=bmp%2BW15D,,//cdn4-aka.makeshop.co.kr/shopimages/chicfox/0010020020292.gif?1720687640,,16800,,8,"화이트, 그레이, 챠콜, 카멜",0,TOP > 나시
이지네추럴 코튼나시,https://www.chicfox.co.kr/shop/shopdetail.html?branduid=507177&xcode=001&mcode=002&scode=&type=X&sort=manual&cur_code=001002&search=&GfDT=am13U1Q%3D,,//cdn4-aka.makeshop.co.kr/shopimages/chicfox/0010020019782.gif?1710894830,,10800,,123,"화이트, 그레이, 코코아, 블랙",0,TOP > 나시
에어쿨링 스포츠탑[여우휘트니스2탄]HC,https://www.chicfox.co.kr/shop/shopdetail.html?branduid=497759&xcode=001&mcode=002&scode=&type=X&sort=manual&cur_code=001002&search=&GfDT=Zmp3U1U%3D,,//cdn4-aka.makeshop.co.kr/shopimages/chicfox/0010020018222.gif?1608017099,28000,5600,80,18,,0,TOP > 나시
에어쿨링 스포츠탑[여우휘트니스2탄]BK,https://www.chicfox.co.kr/shop/shopdetail.html?branduid=497752&xcode=001&mcode=002&scode=&type=X&sort=manual&cur_code=001002&search=&GfDT=bW53Ulw%3D,,//cdn4-aka.makeshop.co.kr/shopimages/chicfox/0010020018212.gif?1607995770,28000,5600,80,19,블랙,0,TOP > 나시
포코 크롭 비스코스 니트 나시,https://www.chicfox.co.kr/shop/shopdetail.html?branduid=512390&xcode=001&mcode=002&scode=&type=X&sort=manual&cur_code=001002&search=&GfDT=bml5W19F,,//cdn4-aka.makeshop.co.kr/shopimages/chicfox/0010020021022.gif?1742361013,,10800,,0,"아이보리,크림, 핑크, 연두, 블랙",0,TOP > 나시
[made]루미너스 2Type 모달 소프트 텐션 이너 나시,https://www.chicfox.co.kr/shop/shopdetail.html?branduid=510845&xcode=001&mcode=002&scode=&type=X&sort=manual&cur_code=001002&search=&GfDT=bm97W19G,,//cdn4-aka.makeshop.co.kr/shopimages/chicfox/0010020020702.gif?1719314917,,14800,,21,"아이보리,크림, 블랙, 베이지, 브라운",0,TOP > 나시
[made]라뷰 암홀커버 캡소매 이중나시,https://www.chicfox.co.kr/shop/shopdetail.html?branduid=510829&xcode=001&mcode=002&scode=&type=X&sort=manual&cur_code=001002&search=&GfDT=Z2V%2BUg%3D%3D,,//cdn4-aka.makeshop.co.kr/shopimages/chicfox/0010020020692.gif?1718791997,,24800,,10,"화이트, 그레이",0,TOP > 나시
[made]피노드 배색라인 비스코스 니트나시,https://www.chicfox.co.kr/shop/shopdetail.html?branduid=510501&xcode=001&mcode=002&scode=&type=X&sort=manual&cur_code=001002&search=&GfDT=aG93Ulg%3D,,//cdn4-aka.makeshop.co.kr/shopimages/chicfox/0010020020512.gif?1714045003,,19800,,9,"아이보리,크림, 베이지, 그린",0,TOP > 나시
[SET15%][made]윌셔 비스코스 브이넥 니트나시+몽네 파우더워싱 세미와이드 데님팬츠,https://www.chicfox.co.kr/shop/shopdetail.html?branduid=510249&xcode=001&mcode=002&scode=&type=X&sort=manual&cur_code=001002&search=&GfDT=aGt3Ulk%3D,,//cdn4-aka.makeshop.co.kr/shopimages/chicfox/0010020021052.gif?1744080952,68700,58400,15,0,,0,TOP > 나시
필테 골지스판 셔링 탑,https://www.chicfox.co.kr/shop/shopdetail.html?branduid=510230&xcode=001&mcode=002&scode=&type=X&sort=manual&cur_code=001002&search=&GfDT=bmt%2BW19C,,//cdn4-aka.makeshop.co.kr/shopimages/chicfox/0010020020402.gif?1711962438,,11000,,1,"그레이, 블랙",0,TOP > 나시
에어심리스 크롭브라탑,https://www.chicfox.co.kr/shop/shopdetail.html?branduid=507841&xcode=001&mcode=002&scode=&type=X&sort=manual&cur_code=001002&search=&GfDT=bm51W19D,,//cdn4-aka.makeshop.co.kr/shopimages/chicfox/0010020020302.gif?1688374803,,18000,,12,"베이지, 옐로우, 딥오렌지, 데님3, 블랙",0,TOP > 나시
[2종택1]세미트 하트넥스판티셔츠,https://www.chicfox.co.kr/shop/shopdetail.html?branduid=507049&xcode=001&mcode=002&scode=&type=X&sort=manual&cur_code=001002&search=&GfDT=bmt6W19M,,//cdn4-aka.makeshop.co.kr/shopimages/chicfox/0010020019752.gif?1680499239,,15000,,41,"아이보리,크림, 핑크, 소라, 블랙",0,TOP > 나시
지오앤 캡내장탱크탑,https://www.chicfox.co.kr/shop/shopdetail.html?branduid=504710&xcode=001&mcode=002&scode=&type=X&sort=manual&cur_code=001002&search=&GfDT=bm50W19N,,//cdn4-aka.makeshop.co.kr/shopimages/chicfox/0010020019482.gif?1689813351,11800,10700,10,14,"화이트, 그레이, 블랙",0,TOP > 나시
쿨뮤즈 브이넥골지나시,https://www.chicfox.co.kr/shop/shopdetail.html?branduid=504295&xcode=001&mcode=002&scode=&type=X&sort=manual&cur_code=001002&search=&GfDT=bmt7W1hE,,//cdn4-aka.makeshop.co.kr/shopimages/chicfox/0010020019172.gif?1652230676,,14800,,12,"아이보리,크림, 블랙",0,TOP > 나시
에어쿨링 스포츠탑[여우휘트니스2탄]WE,https://www.chicfox.co.kr/shop/shopdetail.html?branduid=497773&xcode=001&mcode=002&scode=&type=X&sort=manual&cur_code=001002&search=&GfDT=bmh3VV0%3D,,//cdn4-aka.makeshop.co.kr/shopimages/chicfox/0010020018232.gif?1607669051,28000,5600,80,10,화이트,0,TOP > 나시
라이트핏 스판골지나시,https://www.chicfox.co.kr/shop/shopdetail.html?branduid=507309&xcode=001&mcode=002&scode=&type=X&sort=manual&cur_code=001002&search=&GfDT=amZ3VV4%3D,,//cdn4-aka.makeshop.co.kr/shopimages/chicfox/0010020019842.gif?1689813172,,,,24,"아이보리,크림, 소라, 연두, 그레이, 블랙",0,TOP > 나시
스트라이트 비스코스 골지 니트 나시,https://www.chicfox.co.kr/shop/shopdetail.html?branduid=512552&xcode=001&mcode=002&scode=&type=X&sort=manual&cur_code=001002&search=&GfDT=aWh3VV8%3D,,//cdn4-aka.makeshop.co.kr/shopimages/chicfox/0010020021062.jpg?1744267154,,,,0,"아이보리,크림, 블루, 블랙",0,TOP > 나시
스머즈 단가라 스판 나시,https://www.chicfox.co.kr/shop/shopdetail.html?branduid=512504&xcode=001&mcode=002&scode=&type=X&sort=manual&cur_code=001002&search=&GfDT=bmh3VVg%3D,,//cdn4-aka.makeshop.co.kr/shopimages/chicfox/0010020021042.gif?1743413444,,,,0,"아이보리,크림, 네이비, 블랙",0,TOP > 나시
