상품명,상품URL,상품설명,이미지URL,정가,판매가,할인율,리뷰수,색상,카테고리
[MADE] 앤드이지 후드집업,https://www.joamom.co.kr/shop/shopdetail.html?branduid=62836&xcode=067&mcode=001&scode=&type=X&sort=manual&cur_code=067001&search=&GfDT=bWh3UFw%3D,"입는 순간 여리핏으로 완성되는 사카리바니트지 집업
넉넉한 후드에 투웨이 지퍼,77까지 착용 가능한 여유핏~
(3color)",,,56000,,27,"rgb(255, 207, 226);, rgb(201, 205, 212);, rgb(0, 0, 0);",점퍼
데님 배색 후드 사파리 점퍼,https://www.joamom.co.kr/shop/shopdetail.html?branduid=62823&xcode=067&mcode=001&scode=&type=X&sort=manual&cur_code=067001&search=&GfDT=bm19W11F,"아우터 하나만으로 세련미 넘치는 포인트룩 완성
스트링 조절로 체형 구애없이 착용 가능!
(2color)",,,39800,,22,"rgb(250, 248, 242);, rgb(35, 41, 82);",점퍼
클레르 야상 점퍼,https://www.joamom.co.kr/shop/shopdetail.html?branduid=61743&xcode=067&mcode=001&scode=&type=X&sort=manual&cur_code=067001&search=&GfDT=aGZ3UF4%3D,"가벼우면서도 탄탄한 텍스처의 퀄리티 좋은 원단.
간절기 부담 없이 다양한 스타일에 잘 어울러질
올 봄 강추 아이템입니다 :)
(3color)",,,84000,,3,"rgb(209, 206, 197);, rgb(104, 102, 82);, rgb(49, 50, 45);",점퍼
누브 벌룬 집업 점퍼,https://www.joamom.co.kr/shop/shopdetail.html?branduid=62849&xcode=067&mcode=001&scode=&type=X&sort=manual&cur_code=067001&search=&GfDT=aGp3UF8%3D,"지금부터 간절기 내내 활용하기 좋은 1온스 집업 점퍼
허리라인을 잡아 준 실루엣으로 무조건 날씬해 보이는 핏!
(2color)",,,69800,,0,"rgb(191, 179, 151);, rgb(0, 0, 0);",점퍼
켈딘 롱 집업 점퍼,https://www.joamom.co.kr/shop/shopdetail.html?branduid=62847&xcode=067&mcode=001&scode=&type=X&sort=manual&cur_code=067001&search=&GfDT=bmp1W11A,"3만원대 봄 아우터,휘뚜루마뚜루 활용좋은 롱 점퍼!
면합포 안감에 구김강한 겉감, 관리하기 수월해요~",,,35000,,1,"rgb(0, 0, 0);",점퍼
퀼팅 매트 레더 점퍼,https://www.joamom.co.kr/shop/shopdetail.html?branduid=62810&xcode=067&mcode=001&scode=&type=X&sort=manual&cur_code=067001&search=&GfDT=bm17W11B,"매트한 질감으로 가벼우면서 보온성 유지에 굿!
변덕스런 간절기 날씨에 꺼내 입기 좋아요 :)
(2color)",,,53500,,2,"rgb(232, 228, 216);, rgb(0, 0, 0);",점퍼
콤마 하이넥 사파리 점퍼,https://www.joamom.co.kr/shop/shopdetail.html?branduid=61713&xcode=067&mcode=001&scode=&type=X&sort=manual&cur_code=067001&search=&GfDT=bmx9W11C,"탄탄하고 윤기가 도는 퀄리티 좋은 원단,
체형에 맞게 핏 조절할 수 있는 멋스러운 점퍼♥
(2color)",,,99800,,13,"rgb(214, 205, 186);, rgb(0, 0, 0);",점퍼
시나몬 누빔 패딩,https://www.joamom.co.kr/shop/shopdetail.html?branduid=61568&xcode=067&mcode=001&scode=&type=X&sort=manual&cur_code=067001&search=&GfDT=bmp9W11D,"박시한 핏이 아주 멋스러운 간절기패딩
야상느낌으로 어디든 툭툭 멋스럽게~!
(2color)",,,59000,,2,"rgb(209, 220, 188);, rgb(0, 0, 0);",점퍼
뮤다 퀼팅 패딩 점퍼,https://www.joamom.co.kr/shop/shopdetail.html?branduid=59196&xcode=067&mcode=001&scode=&type=X&sort=manual&cur_code=067001&search=&GfDT=bWl3UFQ%3D,"남들 다 가지고있는 기본패딩은 이제그만
휘뚤마뚤 잘 입어지는데 유니크한 요런패딩 어때요?
(2color)",,,93000,,5,"rgb(0, 0, 0);, rgb(58, 71, 49);",점퍼
러디안 덕다운 패딩 점퍼,https://www.joamom.co.kr/shop/shopdetail.html?branduid=59174&xcode=067&mcode=001&scode=&type=X&sort=manual&cur_code=067001&search=&GfDT=bm54W11N,"감각적인 퀼팅패턴이 멋스러운 덕다운패딩 센스있게 레이어드하기 좋은 후드 디자인 (F,L / 2color)",,44000,26400,40,28,"rgb(212, 204, 192);, rgb(0, 0, 0);",점퍼
