상품명,상품URL,이미지URL,가격,색상,품절여부,좋아요수,카테고리_대분류,카테고리_소분류,카테고리_전체
[무료배송] 텍스 오버핏 배색 야상 점퍼 2color,https://closhoew.com/product/%EB%AC%B4%EB%A3%8C%EB%B0%B0%EC%86%A1-%ED%85%8D%EC%8A%A4-%EC%98%A4%EB%B2%84%ED%95%8F-%EB%B0%B0%EC%83%89-%EC%95%BC%EC%83%81-%EC%A0%90%ED%8D%BC-2color/4355/category/48/display/1/,https://closhoew.com/web/product/medium/202502/b29d5335e314f257f50d2017e42eed37.webp,42900,"rgb(215, 177, 112), rgb(0, 0, 130)",True,0,OUTER,자켓,OUTER > 자켓
,,,,,False,0,OUTER,자켓,OUTER > 자켓
[무료배송] 바이런 루즈핏 하프 트렌치 코트 2color,https://closhoew.com/product/%EB%AC%B4%EB%A3%8C%EB%B0%B0%EC%86%A1-%EB%B0%94%EC%9D%B4%EB%9F%B0-%EB%A3%A8%EC%A6%88%ED%95%8F-%ED%95%98%ED%94%84-%ED%8A%B8%EB%A0%8C%EC%B9%98-%EC%BD%94%ED%8A%B8-2color/4352/category/48/display/1/,https://closhoew.com/web/product/medium/202502/03165dc26cbc540a4b97208ac7159aa0.webp,57900,"rgb(254, 255, 239), rgb(253, 255, 109)",True,0,OUTER,자켓,OUTER > 자켓
,,,,,False,0,OUTER,자켓,OUTER > 자켓
[무료배송] 드로우 원버튼 루즈핏 싱글 자켓 3color,https://closhoew.com/product/%EB%AC%B4%EB%A3%8C%EB%B0%B0%EC%86%A1-%EB%93%9C%EB%A1%9C%EC%9A%B0-%EC%9B%90%EB%B2%84%ED%8A%BC-%EB%A3%A8%EC%A6%88%ED%95%8F-%EC%8B%B1%EA%B8%80-%EC%9E%90%EC%BC%93-3color/4346/category/48/display/1/,https://closhoew.com/web/product/medium/202502/5b441abdb257d246737f9447dcdd6bc6.webp,52900,"rgb(215, 177, 112), rgb(71, 71, 71), rgb(0, 0, 0)",True,0,OUTER,자켓,OUTER > 자켓
,,,,,False,0,OUTER,자켓,OUTER > 자켓
[무료배송] 가보로 루즈핏 트렌치 숏 코트 2color,https://closhoew.com/product/%EB%AC%B4%EB%A3%8C%EB%B0%B0%EC%86%A1-%EA%B0%80%EB%B3%B4%EB%A1%9C-%EB%A3%A8%EC%A6%88%ED%95%8F-%ED%8A%B8%EB%A0%8C%EC%B9%98-%EC%88%8F-%EC%BD%94%ED%8A%B8-2color/4334/category/48/display/1/,https://closhoew.com/web/product/medium/202502/832c6636f8fc9a6ed0e4de6994376426.webp,32900,"rgb(215, 177, 112), rgb(0, 0, 0)",True,0,OUTER,자켓,OUTER > 자켓
,,,,,False,0,OUTER,자켓,OUTER > 자켓
[무료배송] 브로 루즈핏 봄 더블 싱글 자켓 4color,https://closhoew.com/product/%EB%AC%B4%EB%A3%8C%EB%B0%B0%EC%86%A1-%EB%B8%8C%EB%A1%9C-%EB%A3%A8%EC%A6%88%ED%95%8F-%EB%B4%84-%EB%8D%94%EB%B8%94-%EC%8B%B1%EA%B8%80-%EC%9E%90%EC%BC%93-4color/4301/category/48/display/1/,https://closhoew.com/web/product/medium/202502/2eec0b0f9a64ee5764fc2312508b600c.webp,57900,"rgb(215, 177, 112), rgb(80, 23, 4), rgb(0, 0, 0), rgb(254, 255, 239)",True,0,OUTER,자켓,OUTER > 자켓
,,,,,False,0,OUTER,자켓,OUTER > 자켓
[무료배송] 메르 봄 투버튼 루즈핏 자켓 4color,https://closhoew.com/product/%EB%AC%B4%EB%A3%8C%EB%B0%B0%EC%86%A1-%EB%A9%94%EB%A5%B4-%EB%B4%84-%ED%88%AC%EB%B2%84%ED%8A%BC-%EB%A3%A8%EC%A6%88%ED%95%8F-%EC%9E%90%EC%BC%93-4color/4288/category/48/display/1/,https://closhoew.com/web/product/medium/202501/4d5cf6dc772134a58e97b0564d468de4.webp,49900,"rgb(252, 246, 194), rgb(215, 177, 112), rgb(71, 71, 71), rgb(0, 0, 0)",True,0,OUTER,자켓,OUTER > 자켓
,,,,,False,0,OUTER,자켓,OUTER > 자켓
[무료배송] 휴스턴 금장단추 포켓 수술 트위드 자켓 2color,https://closhoew.com/product/%EB%AC%B4%EB%A3%8C%EB%B0%B0%EC%86%A1-%ED%9C%B4%EC%8A%A4%ED%84%B4-%EA%B8%88%EC%9E%A5%EB%8B%A8%EC%B6%94-%ED%8F%AC%EC%BC%93-%EC%88%98%EC%88%A0-%ED%8A%B8%EC%9C%84%EB%93%9C-%EC%9E%90%EC%BC%93-2color/4283/category/48/display/1/,https://closhoew.com/web/product/medium/202501/38087f56081894723fe34b6819f74a29.webp,37900,"rgb(254, 255, 239), rgb(0, 0, 0)",True,0,OUTER,자켓,OUTER > 자켓
,,,,,False,0,OUTER,자켓,OUTER > 자켓
[무료배송] 웨인 봄 쓰리버튼 루즈핏 자켓 2color,https://closhoew.com/product/%EB%AC%B4%EB%A3%8C%EB%B0%B0%EC%86%A1-%EC%9B%A8%EC%9D%B8-%EB%B4%84-%EC%93%B0%EB%A6%AC%EB%B2%84%ED%8A%BC-%EB%A3%A8%EC%A6%88%ED%95%8F-%EC%9E%90%EC%BC%93-2color/4280/category/48/display/1/,https://closhoew.com/web/product/medium/202501/081f49ff349f89486c011b0d844f2829.webp,59900,"rgb(215, 177, 112), rgb(169, 169, 169)",True,0,OUTER,자켓,OUTER > 자켓
,,,,,False,0,OUTER,자켓,OUTER > 자켓
[무료배송] 로건 빈티지 오버핏 청자켓 2color,https://closhoew.com/product/%EB%AC%B4%EB%A3%8C%EB%B0%B0%EC%86%A1-%EB%A1%9C%EA%B1%B4-%EB%B9%88%ED%8B%B0%EC%A7%80-%EC%98%A4%EB%B2%84%ED%95%8F-%EC%B2%AD%EC%9E%90%EC%BC%93-2color/4268/category/48/display/1/,https://closhoew.com/web/product/medium/202501/670337a270031d65fe27937c2c51a88e.webp,30900,"rgb(18, 92, 193), rgb(0, 0, 0)",True,0,OUTER,자켓,OUTER > 자켓
,,,,,False,0,OUTER,자켓,OUTER > 자켓
[무료배송] 파나마 테일러드 루즈핏 싱글 자켓 5color,https://closhoew.com/product/%EB%AC%B4%EB%A3%8C%EB%B0%B0%EC%86%A1-%ED%8C%8C%EB%82%98%EB%A7%88-%ED%85%8C%EC%9D%BC%EB%9F%AC%EB%93%9C-%EB%A3%A8%EC%A6%88%ED%95%8F-%EC%8B%B1%EA%B8%80-%EC%9E%90%EC%BC%93-5color/4266/category/48/display/1/,https://closhoew.com/web/product/medium/202501/2ff1a314bcc1c2d8166c6702e7378c7b.webp,52900,"rgb(129, 251, 130), rgb(215, 177, 112), rgb(80, 23, 4), rgb(0, 0, 0), rgb(71, 71, 71)",True,0,OUTER,자켓,OUTER > 자켓
,,,,,False,0,OUTER,자켓,OUTER > 자켓
[무료배송] 조지 노카라 크롭 트위드 자켓 2color,https://closhoew.com/product/%EB%AC%B4%EB%A3%8C%EB%B0%B0%EC%86%A1-%EC%A1%B0%EC%A7%80-%EB%85%B8%EC%B9%B4%EB%9D%BC-%ED%81%AC%EB%A1%AD-%ED%8A%B8%EC%9C%84%EB%93%9C-%EC%9E%90%EC%BC%93-2color/4261/category/48/display/1/,https://closhoew.com/web/product/medium/202501/a0ac8e5a1271b59b825e9672b9d57e70.webp,28900,"rgb(254, 255, 239), rgb(0, 0, 0)",True,0,OUTER,자켓,OUTER > 자켓
,,,,,False,0,OUTER,자켓,OUTER > 자켓
