상품명,상품URL,상품설명,이미지URL,정가,판매가,할인율,리뷰수,색상,판매수량,카테고리_대분류,카테고리_소분류,카테고리_전체
[1+1]심플슬라브 티셔츠,https://www.chicfox.co.kr/shop/shopdetail.html?branduid=495558&xcode=001&mcode=007&scode=&type=X&sort=manual&cur_code=001007&search=&GfDT=Z2l3Vg%3D%3D,"유넥, 라운드넥,브이넥 3가지스타일 8가지 컬러로 다양하게",//cdn4-aka.makeshop.co.kr/shopimages/chicfox/0010070026242.gif?1743079738,,14900,,4,"아이보리,크림, 핑크, 민트, 연카키, 와인, 네이비, 그레이, 블랙",0,TOP,무지티,TOP > 무지티
이베이 U넥반팔티셔츠,https://www.chicfox.co.kr/shop/shopdetail.html?branduid=503588&xcode=001&mcode=007&scode=&type=X&sort=manual&cur_code=001007&search=&GfDT=bmx7W1Q%3D,,//cdn4-aka.makeshop.co.kr/shopimages/chicfox/0010070033272.gif?1677576524,,9800,,936,"아이보리,크림, 그레이, 진베이지, 민트, 블랙",0,TOP,무지티,TOP > 무지티
[made]마티스링 자수 코튼 티셔츠,https://www.chicfox.co.kr/shop/shopdetail.html?branduid=510089&xcode=001&mcode=007&scode=&type=X&sort=manual&cur_code=001007&search=&GfDT=bmp0W1U%3D,[앵콜세일15%]04.27(일)까지,//cdn4-aka.makeshop.co.kr/shopimages/chicfox/0010070036232.gif?1716797823,14800,12600,15,21,"화이트, 연핑크, 연두, 블랙",0,TOP,무지티,TOP > 무지티
코튼에그 자수 피치 반팔 티셔츠,https://www.chicfox.co.kr/shop/shopdetail.html?branduid=511786&xcode=001&mcode=007&scode=&type=X&sort=manual&cur_code=001007&search=&GfDT=a213UFw%3D,,//cdn4-aka.makeshop.co.kr/shopimages/chicfox/0010070037572.gif?1730972649,,19800,,28,"화이트, 블랙",0,TOP,무지티,TOP > 무지티
[made]피스테 나일론배색스트링티셔츠,https://www.chicfox.co.kr/shop/shopdetail.html?branduid=507795&xcode=001&mcode=007&scode=&type=X&sort=manual&cur_code=001007&search=&GfDT=aWZ3UF0%3D,[앵콜세일15%]04.24(목)까지,//cdn4-aka.makeshop.co.kr/shopimages/chicfox/0010070035382.gif?1714016623,29800,25400,15,212,"화이트, 블랙",0,TOP,무지티,TOP > 무지티
[made]네추럴스판 5부티셔츠,https://www.chicfox.co.kr/shop/shopdetail.html?branduid=508040&xcode=001&mcode=007&scode=&type=X&sort=manual&cur_code=001007&search=&GfDT=bWV8Uw%3D%3D,,//cdn4-aka.makeshop.co.kr/shopimages/chicfox/0010070035502.gif?1744718201,,14800,,112,"화이트, 베이지, 브라운, 그레이, 블랙, 와인, 네이비",0,TOP,무지티,TOP > 무지티
[1+1]이베이 U넥반팔티셔츠,https://www.chicfox.co.kr/shop/shopdetail.html?branduid=507035&xcode=001&mcode=007&scode=&type=X&sort=manual&cur_code=001007&search=&GfDT=bm98W11H,,//cdn4-aka.makeshop.co.kr/shopimages/chicfox/0010070034832.gif?1730292791,19600,17700,10,979,"아이보리,크림, 그레이, 진베이지, 민트, 블랙",0,TOP,무지티,TOP > 무지티
모달스판 유브이넥 티셔츠,https://www.chicfox.co.kr/shop/shopdetail.html?branduid=510178&xcode=001&mcode=007&scode=&type=X&sort=manual&cur_code=001007&search=&GfDT=bmh9W11A,,//cdn4-aka.makeshop.co.kr/shopimages/chicfox/0010070036312.gif?1742991038,,19800,,9,"화이트, 카키, 브라운, 블랙",0,TOP,무지티,TOP > 무지티
모어슬림 피치반팔티셔츠,https://www.chicfox.co.kr/shop/shopdetail.html?branduid=505188&xcode=001&mcode=007&scode=&type=X&sort=manual&cur_code=001007&search=&GfDT=bmp3UFk%3D,,//cdn4-aka.makeshop.co.kr/shopimages/chicfox/0010070034082.gif?1692001213,,14800,,156,"아이보리,크림, 옐로우, 브라운, 블랙",0,TOP,무지티,TOP > 무지티
츄트 유넥 반팔 티셔츠,https://www.chicfox.co.kr/shop/shopdetail.html?branduid=512476&xcode=001&mcode=007&scode=&type=X&sort=manual&cur_code=001007&search=&GfDT=a2d3UFo%3D,,//cdn4-aka.makeshop.co.kr/shopimages/chicfox/0010070037872.gif?1743066939,,18000,,6,"화이트, 베이지, 블랙",0,TOP,무지티,TOP > 무지티
[made]사르트르 강연 U넥 티셔츠,https://www.chicfox.co.kr/shop/shopdetail.html?branduid=510374&xcode=001&mcode=007&scode=&type=X&sort=manual&cur_code=001007&search=&GfDT=bGV8Vg%3D%3D,,//cdn4-aka.makeshop.co.kr/shopimages/chicfox/0010070036432.gif?1713351433,,26000,,58,"화이트, 베이지, 블랙",0,TOP,무지티,TOP > 무지티
미주아 베이직 스판 티셔츠,https://www.chicfox.co.kr/shop/shopdetail.html?branduid=512266&xcode=001&mcode=007&scode=&type=X&sort=manual&cur_code=001007&search=&GfDT=ZmZ3UFQ%3D,,//cdn4-aka.makeshop.co.kr/shopimages/chicfox/0010070037722.gif?1739430324,,18000,,6,,0,TOP,무지티,TOP > 무지티
[1+1]파니파니 딥라운드슬림티셔츠,https://www.chicfox.co.kr/shop/shopdetail.html?branduid=510570&xcode=001&mcode=007&scode=&type=X&sort=manual&cur_code=001007&search=&GfDT=Zml3UFU%3D,,//cdn4-aka.makeshop.co.kr/shopimages/chicfox/0010070037442.gif?1730294570,25600,23100,10,32,,0,TOP,무지티,TOP > 무지티
[made]비스코스코튼 립포켓라운드티셔츠,https://www.chicfox.co.kr/shop/shopdetail.html?branduid=508082&xcode=001&mcode=007&scode=&type=X&sort=manual&cur_code=001007&search=&GfDT=bml9W15E,,//cdn4-aka.makeshop.co.kr/shopimages/chicfox/0010070035572.gif?1694042908,,29800,,65,"아이보리,크림, 챠콜",0,TOP,무지티,TOP > 무지티
[made]네추럴스판 U넥 긴팔 티셔츠,https://www.chicfox.co.kr/shop/shopdetail.html?branduid=511501&xcode=001&mcode=007&scode=&type=X&sort=manual&cur_code=001007&search=&GfDT=bmh9W15F,,//cdn4-aka.makeshop.co.kr/shopimages/chicfox/0010070037082.gif?1728554367,,19800,,13,"화이트, 베이지, 오렌지, 브라운, 챠콜, 그린, 블랙",0,TOP,무지티,TOP > 무지티
[made][2종택1]촉촉탱글 비스코스 스판티셔츠,https://www.chicfox.co.kr/shop/shopdetail.html?branduid=509980&xcode=001&mcode=007&scode=&type=X&sort=manual&cur_code=001007&search=&GfDT=Zmh3U14%3D,[앵콜세일15%]05.01(목)까지,//cdn4-aka.makeshop.co.kr/shopimages/chicfox/0010070036182.gif?1715164249,19800,16900,15,158,"아이보리,크림, 베이지, 블랙",0,TOP,무지티,TOP > 무지티
크로와제 퍼프소매배색티셔츠,https://www.chicfox.co.kr/shop/shopdetail.html?branduid=507090&xcode=001&mcode=007&scode=&type=X&sort=manual&cur_code=001007&search=&GfDT=amt3U18%3D,,//cdn4-aka.makeshop.co.kr/shopimages/chicfox/0010070034862.gif?1680685036,,17800,,16,"블랙, 화이트",0,TOP,무지티,TOP > 무지티
[1+1]코튼찰랑이 레이온티셔츠,https://www.chicfox.co.kr/shop/shopdetail.html?branduid=503619&xcode=001&mcode=007&scode=&type=X&sort=manual&cur_code=001007&search=&GfDT=bml9W15A,"라운드,브이넥 2type",//cdn4-aka.makeshop.co.kr/shopimages/chicfox/0010070033302.gif?1689641372,,19800,,79,"아이보리,크림, 핑크, 민트, 그레이, 블랙",0,TOP,무지티,TOP > 무지티
스노우 플레이크 에어 프레쉬 코튼 티셔츠,https://www.chicfox.co.kr/shop/shopdetail.html?branduid=512376&xcode=001&mcode=007&scode=&type=X&sort=manual&cur_code=001007&search=&GfDT=bm13U1k%3D,,//cdn4-aka.makeshop.co.kr/shopimages/chicfox/0010070037792.gif?1741910572,,29800,,7,"화이트, 챠콜, 블랙",0,TOP,무지티,TOP > 무지티
