상품명,상품URL,상품설명,이미지URL,정가,판매가,할인율,리뷰수,색상,판매수량,카테고리_대분류,카테고리_소분류,카테고리_전체
켈론 울캐시 나그랑 니트,https://www.chicfox.co.kr/shop/shopdetail.html?branduid=511815&xcode=001&mcode=001&scode=&type=X&sort=manual&cur_code=001001&search=&GfDT=bm11W1hN,,//cdn4-aka.makeshop.co.kr/shopimages/chicfox/0010010068132.gif?1731462366,,34800,,32,"옐로우, 진한크림, 그레이",0,TOP,니트,TOP > 니트
밴시 보카시 꽈배기 라운드 니트,https://www.chicfox.co.kr/shop/shopdetail.html?branduid=511795&xcode=001&mcode=001&scode=&type=X&sort=manual&cur_code=001001&search=&GfDT=bmx3VFw%3D,,//cdn4-aka.makeshop.co.kr/shopimages/chicfox/0010010068112.gif?1731895055,,34000,,7,"진한크림, 레드",0,TOP,니트,TOP > 니트
엘먼 울 단가라 브이넥 니트,https://www.chicfox.co.kr/shop/shopdetail.html?branduid=511768&xcode=001&mcode=001&scode=&type=X&sort=manual&cur_code=001001&search=&GfDT=aWZ3VF0%3D,,//cdn4-aka.makeshop.co.kr/shopimages/chicfox/0010010068092.gif?1730875314,,59000,,0,"아이보리,크림, 그레이",0,TOP,니트,TOP > 니트
[2종택1] 홀가먼트 리얼 캐시미어울 니트,https://www.chicfox.co.kr/shop/shopdetail.html?branduid=511740&xcode=001&mcode=001&scode=&type=X&sort=manual&cur_code=001001&search=&GfDT=a2V4Uw%3D%3D,,//cdn4-aka.makeshop.co.kr/shopimages/chicfox/0010010068062.gif?1737010647,,29800,,17,"그린, 그레이, 블랙, 레드, 아이보리,크림, 브라운",0,TOP,니트,TOP > 니트
이베린 배색 나그랑 울 니트,https://www.chicfox.co.kr/shop/shopdetail.html?branduid=511725&xcode=001&mcode=001&scode=&type=X&sort=manual&cur_code=001001&search=&GfDT=bmp%2FW1lH,,//cdn4-aka.makeshop.co.kr/shopimages/chicfox/0010010068042.gif?1730275416,,39800,,19,"와인, 베이지, 브라운, 그레이",0,TOP,니트,TOP > 니트
코틀리 풀오버 폴라 니트,https://www.chicfox.co.kr/shop/shopdetail.html?branduid=511670&xcode=001&mcode=001&scode=&type=X&sort=manual&cur_code=001001&search=&GfDT=aGd3VFg%3D,,//cdn4-aka.makeshop.co.kr/shopimages/chicfox/0010010068002.gif?1730195379,,29800,,30,"그레이, 카키",0,TOP,니트,TOP > 니트
세이버 골지 라운드 니트,https://www.chicfox.co.kr/shop/shopdetail.html?branduid=511636&xcode=001&mcode=001&scode=&type=X&sort=manual&cur_code=001001&search=&GfDT=aWh3VFk%3D,,//cdn4-aka.makeshop.co.kr/shopimages/chicfox/0010010067942.gif?1729830324,,26000,,0,"아이보리,크림, 베이지, 연카키, 블랙",0,TOP,니트,TOP > 니트
(3 piece)로리즈 니트 스커트 타이,https://www.chicfox.co.kr/shop/shopdetail.html?branduid=511607&xcode=001&mcode=001&scode=&type=X&sort=manual&cur_code=001001&search=&GfDT=bmt%2FW1lC,,//cdn4-aka.makeshop.co.kr/shopimages/chicfox/0010010067922.gif?1729675253,,59800,,2,"브라운, 챠콜",0,TOP,니트,TOP > 니트
보브 보카시 레터링 울 니트,https://www.chicfox.co.kr/shop/shopdetail.html?branduid=511565&xcode=001&mcode=001&scode=&type=X&sort=manual&cur_code=001001&search=&GfDT=bmp%2FW1lD,,//cdn4-aka.makeshop.co.kr/shopimages/chicfox/0010010067892.gif?1729243744,,49800,,3,"챠콜, 아이보리,크림",0,TOP,니트,TOP > 니트
체터 사선단추 단가라 니트,https://www.chicfox.co.kr/shop/shopdetail.html?branduid=511540&xcode=001&mcode=001&scode=&type=X&sort=manual&cur_code=001001&search=&GfDT=Zmp3VFQ%3D,,//cdn4-aka.makeshop.co.kr/shopimages/chicfox/0010010067852.gif?1729074306,,39800,,8,,0,TOP,니트,TOP > 니트
러프 골지 와이드 슬리브 울 니트,https://www.chicfox.co.kr/shop/shopdetail.html?branduid=511538&xcode=001&mcode=001&scode=&type=X&sort=manual&cur_code=001001&search=&GfDT=bmh9W1lN,,//cdn4-aka.makeshop.co.kr/shopimages/chicfox/0010010067832.gif?1729073036,,29800,,6,"아이보리,크림, 베이지, 그레이",0,TOP,니트,TOP > 니트
,https://www.chicfox.co.kr/shop/shopdetail.html?branduid=508212&xcode=001&mcode=001&scode=&type=X&sort=manual&cur_code=001001&search=&GfDT=bmZ3Ug%3D%3D,,https://cdn4-aka.makeshop.co.kr/shopimages/chicfox/0010010054212.gif?1709025998,,,,0,"베이지, 브라운, 그린, 다홍, 블랙",0,TOP,니트,TOP > 니트
,https://www.chicfox.co.kr/shop/shopdetail.html?branduid=510471&xcode=001&mcode=001&scode=&type=X&sort=manual&cur_code=001001&search=&GfDT=a2l3VQ%3D%3D,,https://cdn4-aka.makeshop.co.kr/shopimages/chicfox/0010010054402.gif?1716539625,,,,0,"오렌지, 머스타드,골드, 브라운, 블랙",0,TOP,니트,TOP > 니트
,https://www.chicfox.co.kr/shop/shopdetail.html?branduid=512614&xcode=001&mcode=001&scode=&type=X&sort=manual&cur_code=001001&search=&GfDT=aW13VA%3D%3D,,https://cdn4-aka.makeshop.co.kr/shopimages/chicfox/0010010068872.gif?1744983409,,,,0,"아이보리,크림, 연카키, 브라운, 블랙",0,TOP,니트,TOP > 니트
,https://www.chicfox.co.kr/shop/shopdetail.html?branduid=512612&xcode=001&mcode=001&scode=&type=X&sort=manual&cur_code=001001&search=&GfDT=bGh3Vw%3D%3D,,https://cdn4-aka.makeshop.co.kr/shopimages/chicfox/0010010068862.gif?1744971197,,,,0,"아이보리,크림, 옐로우, 블랙",0,TOP,니트,TOP > 니트
,https://www.chicfox.co.kr/shop/shopdetail.html?branduid=512594&xcode=001&mcode=001&scode=&type=X&sort=manual&cur_code=001001&search=&GfDT=bm57W1s%3D,,https://cdn4-aka.makeshop.co.kr/shopimages/chicfox/0010010068852.gif?1744933347,,,,0,"아이보리,크림, 블랙",0,TOP,니트,TOP > 니트
,https://www.chicfox.co.kr/shop/shopdetail.html?branduid=512550&xcode=001&mcode=001&scode=&type=X&sort=manual&cur_code=001001&search=&GfDT=aWh3UQ%3D%3D,,https://cdn4-aka.makeshop.co.kr/shopimages/chicfox/0010010068812.gif?1744194987,,,,0,"아이보리,크림, 코코아, 블랙",0,TOP,니트,TOP > 니트
클리엔 브이 퍼프 니트,https://www.chicfox.co.kr/shop/shopdetail.html?branduid=512276&xcode=001&mcode=001&scode=&type=X&sort=manual&cur_code=001001&search=&GfDT=aml3UA%3D%3D,,https://cdn4-aka.makeshop.co.kr/shopimages/chicfox/0010010068632.gif?1739514280,,29800,,47,"아이보리,크림, 핑크, 소라, 블랙",0,TOP,니트,TOP > 니트
프랑트 스카시 보트넥 니트,https://www.chicfox.co.kr/shop/shopdetail.html?branduid=512468&xcode=001&mcode=001&scode=&type=X&sort=manual&cur_code=001001&search=&GfDT=ZmV%2F,,https://cdn4-aka.makeshop.co.kr/shopimages/chicfox/0010010068752.gif?1742988613,,29800,,7,"아이보리,크림, 베이지, 블랙",0,TOP,니트,TOP > 니트
메리즈빌 알파카 캐시울 박스 니트,https://www.chicfox.co.kr/shop/shopdetail.html?branduid=511518&xcode=001&mcode=001&scode=&type=X&sort=manual&cur_code=001001&search=&GfDT=aWt3UQ%3D%3D,,https://cdn4-aka.makeshop.co.kr/shopimages/chicfox/0010010067802.gif?1728891171,,30800,,55,"아이보리,크림, 라임, 그레이, 코코아, 로즈골드",0,TOP,니트,TOP > 니트
프랜 보카시 울 라운드 니트,https://www.chicfox.co.kr/shop/shopdetail.html?branduid=511485&xcode=001&mcode=001&scode=&type=X&sort=manual&cur_code=001001&search=&GfDT=bmp0W10%3D,,https://cdn4-aka.makeshop.co.kr/shopimages/chicfox/0010010067752.gif?1728900579,,38000,,4,"베이지, 라임, 옐로우",0,TOP,니트,TOP > 니트
리즈널 배색라인 루즈핏 라운드 니트,https://www.chicfox.co.kr/shop/shopdetail.html?branduid=511469&xcode=001&mcode=001&scode=&type=X&sort=manual&cur_code=001001&search=&GfDT=aWh3Uw%3D%3D,,https://cdn4-aka.makeshop.co.kr/shopimages/chicfox/0010010067742.jpg?1734397627,62000,49600,20,4,"챠콜, 아이보리,크림",0,TOP,니트,TOP > 니트
[2종택1]레블렌 베이직 니트,https://www.chicfox.co.kr/shop/shopdetail.html?branduid=511381&xcode=001&mcode=001&scode=&type=X&sort=manual&cur_code=001001&search=&GfDT=Z2p3Ug%3D%3D,,https://cdn4-aka.makeshop.co.kr/shopimages/chicfox/0010010067662.gif?1726732076,,22800,,1,"아이보리,크림, 진베이지, 카키, 그레이, 레드, 네이비, 브라운, 블랙",0,TOP,니트,TOP > 니트
홀가먼트 양두 반팔니트,https://www.chicfox.co.kr/shop/shopdetail.html?branduid=511354&xcode=001&mcode=001&scode=&type=X&sort=manual&cur_code=001001&search=&GfDT=Z293VQ%3D%3D,,//cdn4-aka.makeshop.co.kr/shopimages/chicfox/0010010067652.gif?1726048534,,49800,,0,"그린, 그레이, 블랙",0,TOP,니트,TOP > 니트
오늘도픽 베이직골지니트,https://www.chicfox.co.kr/shop/shopdetail.html?branduid=511229&xcode=001&mcode=001&scode=&type=X&sort=manual&cur_code=001001&search=&GfDT=bmh3VA%3D%3D,,//cdn4-aka.makeshop.co.kr/shopimages/chicfox/0010010067562.gif?1724302537,,39600,,9,"아이보리,크림, 베이지, 브라운, 그레이, 블랙, 오렌지",0,TOP,니트,TOP > 니트
위키드 캡소매 버튼 텐셀 니트,https://www.chicfox.co.kr/shop/shopdetail.html?branduid=510920&xcode=001&mcode=001&scode=&type=X&sort=manual&cur_code=001001&search=&GfDT=bml0W1o%3D,,//cdn4-aka.makeshop.co.kr/shopimages/chicfox/0010010063612.gif?1718968017,,29800,,5,"베이지, 챠콜",0,TOP,니트,TOP > 니트
[2종택1]로클리 텐셀 린넨니트,https://www.chicfox.co.kr/shop/shopdetail.html?branduid=510589&xcode=001&mcode=001&scode=&type=X&sort=manual&cur_code=001001&search=&GfDT=bmx0W1s%3D,,//cdn4-aka.makeshop.co.kr/shopimages/chicfox/0010010053952.gif?1715077607,,29800,,18,"아이보리,크림, 연두, 머스타드,골드, 블랙",0,TOP,니트,TOP > 니트
[made]라스턴 뷔스티에 크롭 니트,https://www.chicfox.co.kr/shop/shopdetail.html?branduid=510289&xcode=001&mcode=001&scode=&type=X&sort=manual&cur_code=001001&search=&GfDT=bm50W1Q%3D,,//cdn4-aka.makeshop.co.kr/shopimages/chicfox/0010010054122.gif?1712314121,,18000,,3,"연두, 핑크, 그레이",0,TOP,니트,TOP > 니트
[2종택1][made]산디에고 비스코스 7부 니트,https://www.chicfox.co.kr/shop/shopdetail.html?branduid=510265&xcode=001&mcode=001&scode=&type=X&sort=manual&cur_code=001001&search=&GfDT=bmt1W1U%3D,,//cdn4-aka.makeshop.co.kr/shopimages/chicfox/0010010053932.gif?1712196047,,19800,,29,"아이보리,크림, 베이지, 핑크, 소라, 블랙",0,TOP,니트,TOP > 니트
[made]마르코스 배색라인 단추 니트,https://www.chicfox.co.kr/shop/shopdetail.html?branduid=510239&xcode=001&mcode=001&scode=&type=X&sort=manual&cur_code=001001&search=&GfDT=aGl3UFw%3D,,//cdn4-aka.makeshop.co.kr/shopimages/chicfox/0010010054182.gif?1712046764,,29800,,6,"화이트, 베이지, 블랙",0,TOP,니트,TOP > 니트
[made]르바바라 자수 반팔 니트,https://www.chicfox.co.kr/shop/shopdetail.html?branduid=510209&xcode=001&mcode=001&scode=&type=X&sort=manual&cur_code=001001&search=&GfDT=bmx3UF0%3D,,//cdn4-aka.makeshop.co.kr/shopimages/chicfox/0010010054162.gif?1711628593,24900,19800,20,0,"베이지, 그레이, 네이비",0,TOP,니트,TOP > 니트
[SET15%]세터 버튼 뷔스티에 SET 니트+코모스 커브드 와이드 데님팬츠,https://www.chicfox.co.kr/shop/shopdetail.html?branduid=509950&xcode=001&mcode=001&scode=&type=X&sort=manual&cur_code=001001&search=&GfDT=bmx8W11G,,//cdn4-aka.makeshop.co.kr/shopimages/chicfox/0010010068802.gif?1744012958,74800,63600,15,0,,0,TOP,니트,TOP > 니트
[2종택1]너드 케이블 자수 꽈배기 니트,https://www.chicfox.co.kr/shop/shopdetail.html?branduid=509830&xcode=001&mcode=001&scode=&type=X&sort=manual&cur_code=001001&search=&GfDT=bm99W11H,,//cdn4-aka.makeshop.co.kr/shopimages/chicfox/0010010053942.gif?1710385613,,29800,,56,"화이트, 연그레이, 베이지, 블루, 네이비, 블랙",0,TOP,니트,TOP > 니트
샨트 비스코스 하프넥 니트,https://www.chicfox.co.kr/shop/shopdetail.html?branduid=509821&xcode=001&mcode=001&scode=&type=X&sort=manual&cur_code=001001&search=&GfDT=bml3UFg%3D,,//cdn4-aka.makeshop.co.kr/shopimages/chicfox/0010010060602.gif?1707875345,,39000,,1,"아이보리,크림, 카키, 블랙",0,TOP,니트,TOP > 니트
로멘 볼륨 슬리브 브이넥 니트,https://www.chicfox.co.kr/shop/shopdetail.html?branduid=509388&xcode=001&mcode=001&scode=&type=X&sort=manual&cur_code=001001&search=&GfDT=a2h3UFk%3D,,//cdn4-aka.makeshop.co.kr/shopimages/chicfox/0010010056832.gif?1702369566,36000,32400,10,4,"아이보리,크림, 카키, 그레이, 블랙",0,TOP,니트,TOP > 니트
크로유 오픈카라 포켓 니트,https://www.chicfox.co.kr/shop/shopdetail.html?branduid=509356&xcode=001&mcode=001&scode=&type=X&sort=manual&cur_code=001001&search=&GfDT=bm16W11C,,//cdn4-aka.makeshop.co.kr/shopimages/chicfox/0010010065302.gif?1701418914,,39800,,3,"그린, 그레이, 네이비",0,TOP,니트,TOP > 니트
헤일로 램스울 니트,https://www.chicfox.co.kr/shop/shopdetail.html?branduid=509354&xcode=001&mcode=001&scode=&type=X&sort=manual&cur_code=001001&search=&GfDT=bml0W11D,,//cdn4-aka.makeshop.co.kr/shopimages/chicfox/0010010067302.gif?1701419488,,54000,,1,"그레이, 핑크, 데님연청, 브라운",0,TOP,니트,TOP > 니트
트램 울 플라워 니트,https://www.chicfox.co.kr/shop/shopdetail.html?branduid=509235&xcode=001&mcode=001&scode=&type=X&sort=manual&cur_code=001001&search=&GfDT=amp3UFQ%3D,,//cdn4-aka.makeshop.co.kr/shopimages/chicfox/0010010065742.gif?1700647031,68000,47600,30,1,"베이지, 인디핑크, 블랙",0,TOP,니트,TOP > 니트
[made]뉴에트 오버핏 브이넥 단가라니트,https://www.chicfox.co.kr/shop/shopdetail.html?branduid=508808&xcode=001&mcode=001&scode=&type=X&sort=manual&cur_code=001001&search=&GfDT=a2p3UFU%3D,,//cdn4-aka.makeshop.co.kr/shopimages/chicfox/0010010054072.gif?1703838799,38000,24800,35,12,"아이보리,크림, 그레이",0,TOP,니트,TOP > 니트
키치트윈 브이넥니트,https://www.chicfox.co.kr/shop/shopdetail.html?branduid=508804&xcode=001&mcode=001&scode=&type=X&sort=manual&cur_code=001001&search=&GfDT=aGt3U1w%3D,,//cdn4-aka.makeshop.co.kr/shopimages/chicfox/0010010065432.gif?1699518357,35000,21000,40,2,"아이보리,크림, 옐로우, 브라운, 그레이, 블랙",0,TOP,니트,TOP > 니트
보송보송 모헤어 라운드 니트,https://www.chicfox.co.kr/shop/shopdetail.html?branduid=508732&xcode=001&mcode=001&scode=&type=X&sort=manual&cur_code=001001&search=&GfDT=amZ3U10%3D,,//cdn4-aka.makeshop.co.kr/shopimages/chicfox/0010010059912.gif?1699266582,,35800,,2,"아이보리,크림, 그레이",0,TOP,니트,TOP > 니트
유앤미 배색반팔울니트,https://www.chicfox.co.kr/shop/shopdetail.html?branduid=508488&xcode=001&mcode=001&scode=&type=X&sort=manual&cur_code=001001&search=&GfDT=aGZ3U14%3D,,//cdn4-aka.makeshop.co.kr/shopimages/chicfox/0010010063752.gif?1697586664,29800,19800,34,2,"아이보리,크림, 그레이",0,TOP,니트,TOP > 니트
슈레드 셔츠레이어드니트,https://www.chicfox.co.kr/shop/shopdetail.html?branduid=508470&xcode=001&mcode=001&scode=&type=X&sort=manual&cur_code=001001&search=&GfDT=bm14W15H,,//cdn4-aka.makeshop.co.kr/shopimages/chicfox/0010010061562.gif?1697440947,29800,14900,50,6,"네이비, 브라운",0,TOP,니트,TOP > 니트
클랩 셔츠레이어드꽈배기니트,https://www.chicfox.co.kr/shop/shopdetail.html?branduid=508455&xcode=001&mcode=001&scode=&type=X&sort=manual&cur_code=001001&search=&GfDT=bml%2FW15A,,//cdn4-aka.makeshop.co.kr/shopimages/chicfox/0010010065342.gif?1697184996,34000,14800,56,4,"아이보리,크림, 카키, 챠콜",0,TOP,니트,TOP > 니트
[1+1]샤롯 나시레이어드니트,https://www.chicfox.co.kr/shop/shopdetail.html?branduid=508444&xcode=001&mcode=001&scode=&type=X&sort=manual&cur_code=001001&search=&GfDT=bm98W15B,,//cdn4-aka.makeshop.co.kr/shopimages/chicfox/0010010060542.gif?1697103340,59600,29800,50,1,"아이보리,크림, 브라운, 블랙",0,TOP,니트,TOP > 니트
아리니 단가라브이넥니트,https://www.chicfox.co.kr/shop/shopdetail.html?branduid=508432&xcode=001&mcode=001&scode=&type=X&sort=manual&cur_code=001001&search=&GfDT=aWp3U1o%3D,,//cdn4-aka.makeshop.co.kr/shopimages/chicfox/0010010062232.gif?1697072043,29000,14500,50,12,"연베이지, 블랙",0,TOP,니트,TOP > 니트
트임카라 퍼프니트,https://www.chicfox.co.kr/shop/shopdetail.html?branduid=508420&xcode=001&mcode=001&scode=&type=X&sort=manual&cur_code=001001&search=&GfDT=bm51W15D,,//cdn4-aka.makeshop.co.kr/shopimages/chicfox/0010010065832.gif?1697017153,,38000,,1,"아이보리,크림, 오렌지, 블랙",0,TOP,니트,TOP > 니트
플레이트 골지언발오버핏니트,https://www.chicfox.co.kr/shop/shopdetail.html?branduid=508391&xcode=001&mcode=001&scode=&type=X&sort=manual&cur_code=001001&search=&GfDT=aml3U1Q%3D,,//cdn4-aka.makeshop.co.kr/shopimages/chicfox/0010010066832.gif?1696926665,34800,24400,30,6,"화이트, 블랙",0,TOP,니트,TOP > 니트
[1+1][made]슈인 와이드소매니트,https://www.chicfox.co.kr/shop/shopdetail.html?branduid=508323&xcode=001&mcode=001&scode=&type=X&sort=manual&cur_code=001001&search=&GfDT=Z2h3U1U%3D,,//cdn4-aka.makeshop.co.kr/shopimages/chicfox/0010010054312.gif?1703063960,,14900,50,14,"아이보리,크림, 진베이지, 카키",0,TOP,니트,TOP > 니트
오늘도픽 베이직골지니트,https://www.chicfox.co.kr/shop/shopdetail.html?branduid=508300&xcode=001&mcode=001&scode=&type=X&sort=manual&cur_code=001001&search=&GfDT=bm10W19E,,//cdn4-aka.makeshop.co.kr/shopimages/chicfox/0010010054052.gif?1724304122,,19800,,112,"아이보리,크림, 베이지, 브라운, 그레이, 블랙, 오렌지",0,TOP,니트,TOP > 니트
[made]딜리소프트 베이직꽈배기니트,https://www.chicfox.co.kr/shop/shopdetail.html?branduid=508274&xcode=001&mcode=001&scode=&type=X&sort=manual&cur_code=001001&search=&GfDT=bm19W19F,,//cdn4-aka.makeshop.co.kr/shopimages/chicfox/0010010054102.gif?1696926993,39600,19800,50,4,"아이보리,크림, 베이지, 핑크, 그레이, 블랙",0,TOP,니트,TOP > 니트
피그온 골지브이넥오버핏니트,https://www.chicfox.co.kr/shop/shopdetail.html?branduid=508243&xcode=001&mcode=001&scode=&type=X&sort=manual&cur_code=001001&search=&GfDT=bWp3Ul4%3D,,//cdn4-aka.makeshop.co.kr/shopimages/chicfox/0010010066892.gif?1694763603,32800,23000,30,3,"핑크, 블랙",0,TOP,니트,TOP > 니트
슬리미절개 단추골지니트,https://www.chicfox.co.kr/shop/shopdetail.html?branduid=508207&xcode=001&mcode=001&scode=&type=X&sort=manual&cur_code=001001&search=&GfDT=bWx3Ul8%3D,,//cdn4-aka.makeshop.co.kr/shopimages/chicfox/0010010061912.gif?1694597576,29800,19800,34,9,"그레이, 블랙",0,TOP,니트,TOP > 니트
데일리모어 단추카라모달니트,https://www.chicfox.co.kr/shop/shopdetail.html?branduid=508195&xcode=001&mcode=001&scode=&type=X&sort=manual&cur_code=001001&search=&GfDT=bmp6W19A,,//cdn4-aka.makeshop.co.kr/shopimages/chicfox/0010010055662.gif?1694507291,21800,19800,9,20,"화이트, 머스타드,골드, 소라, 그레이, 블랙",0,TOP,니트,TOP > 니트
[1+1][made]디포드 브이넥꽈배기니트,https://www.chicfox.co.kr/shop/shopdetail.html?branduid=508139&xcode=001&mcode=001&scode=&type=X&sort=manual&cur_code=001001&search=&GfDT=bm94W19B,,//cdn4-aka.makeshop.co.kr/shopimages/chicfox/0010010054092.gif?1703838760,,19900,50,4,"진한크림, 오렌지, 그린, 챠콜",0,TOP,니트,TOP > 니트
테레이 단가라반팔니트,https://www.chicfox.co.kr/shop/shopdetail.html?branduid=507366&xcode=001&mcode=001&scode=&type=X&sort=manual&cur_code=001001&search=&GfDT=bml4W19C,,//cdn4-aka.makeshop.co.kr/shopimages/chicfox/0010010065532.gif?1684138746,,19800,,36,"그린, 블랙",0,TOP,니트,TOP > 니트
유코자수 단가라반팔니트,https://www.chicfox.co.kr/shop/shopdetail.html?branduid=507039&xcode=001&mcode=001&scode=&type=X&sort=manual&cur_code=001001&search=&GfDT=bmp%2BW19D,,//cdn4-aka.makeshop.co.kr/shopimages/chicfox/0010010063802.gif?1683591782,,24800,,50,"화이트, 데님3",0,TOP,니트,TOP > 니트
베린 골지트임단가라니트,https://www.chicfox.co.kr/shop/shopdetail.html?branduid=506925&xcode=001&mcode=001&scode=&type=X&sort=manual&cur_code=001001&search=&GfDT=bWx3UlQ%3D,,//cdn4-aka.makeshop.co.kr/shopimages/chicfox/0010010059582.gif?1679042187,26000,18200,30,0,"아이보리,크림, 블루, 레드, 블랙",0,TOP,니트,TOP > 니트
로저 트위드뷔스티에,https://www.chicfox.co.kr/shop/shopdetail.html?branduid=506790&xcode=001&mcode=001&scode=&type=X&sort=manual&cur_code=001001&search=&GfDT=aWx3UlU%3D,,//cdn4-aka.makeshop.co.kr/shopimages/chicfox/0010010057022.gif?1677712955,,23800,,9,"민트, 소라",0,TOP,니트,TOP > 니트
모에블 브이넥나그랑니트,https://www.chicfox.co.kr/shop/shopdetail.html?branduid=506505&xcode=001&mcode=001&scode=&type=X&sort=manual&cur_code=001001&search=&GfDT=Z253VVw%3D,,//cdn4-aka.makeshop.co.kr/shopimages/chicfox/0010010058742.gif?1674603155,,30800,,2,"베이지, 소라, 블랙, 핑크",0,TOP,니트,TOP > 니트
루에이지 7부폴라니트,https://www.chicfox.co.kr/shop/shopdetail.html?branduid=505420&xcode=001&mcode=001&scode=&type=X&sort=manual&cur_code=001001&search=&GfDT=ZmZ3VV0%3D,,//cdn4-aka.makeshop.co.kr/shopimages/chicfox/0010010057402.gif?1664525869,,12600,30,5,"아이보리,크림, 브라운, 블랙",0,TOP,니트,TOP > 니트
하쉬 꽈배기브이넥니트,https://www.chicfox.co.kr/shop/shopdetail.html?branduid=504944&xcode=001&mcode=001&scode=&type=X&sort=manual&cur_code=001001&search=&GfDT=bWd3VV4%3D,,//cdn4-aka.makeshop.co.kr/shopimages/chicfox/0010010067072.gif?1658882334,,19800,,14,"아이보리,크림, 옐로우, 연두, 그레이, 블랙",0,TOP,니트,TOP > 니트
쇼디 스퀘어넥니트나시,https://www.chicfox.co.kr/shop/shopdetail.html?branduid=504475&xcode=001&mcode=001&scode=&type=X&sort=manual&cur_code=001001&search=&GfDT=bml5W1hH,,//cdn4-aka.makeshop.co.kr/shopimages/chicfox/0010010061492.gif?1653987468,,19800,,59,"아이보리,크림, 라임, 코코아, 블랙",0,TOP,니트,TOP > 니트
마니또 브이넥니트맨투맨,https://www.chicfox.co.kr/shop/shopdetail.html?branduid=503484&xcode=001&mcode=001&scode=&type=X&sort=manual&cur_code=001001&search=&GfDT=bmp8W1hA,,//cdn4-aka.makeshop.co.kr/shopimages/chicfox/0010010058102.gif?1662627722,14800,9800,34,17,"아이보리,크림, 연두, 블랙",0,TOP,니트,TOP > 니트
헤일리 데님콤비니트,https://www.chicfox.co.kr/shop/shopdetail.html?branduid=502981&xcode=001&mcode=001&scode=&type=X&sort=manual&cur_code=001001&search=&GfDT=bml0W1hB,,//cdn4-aka.makeshop.co.kr/shopimages/chicfox/0010010067312.gif?1694153683,,39800,,33,"네이비, 그레이",0,TOP,니트,TOP > 니트
랜드 알파카니트,https://www.chicfox.co.kr/shop/shopdetail.html?branduid=502570&xcode=001&mcode=001&scode=&type=X&sort=manual&cur_code=001001&search=&GfDT=bGd3VVo%3D,,//cdn4-aka.makeshop.co.kr/shopimages/chicfox/0010010056312.gif?1706142597,,29800,,124,"아이보리,크림, 그레이, 핑크, 블루",0,TOP,니트,TOP > 니트
[3종택1][made]어텀리그 비스코스베이직니트,https://www.chicfox.co.kr/shop/shopdetail.html?branduid=496056&xcode=001&mcode=001&scode=&type=X&sort=manual&cur_code=001001&search=&GfDT=bm94W1hD,소재만으로 특별한 고퀄리티 니트~,//cdn4-aka.makeshop.co.kr/shopimages/chicfox/0010010054032.gif?1698119230,24800,9800,60,614,"아이보리,크림, 베이지, 다홍, 카멜, 블랙",0,TOP,니트,TOP > 니트
아호프 니트 뷔스티에 SET,https://www.chicfox.co.kr/shop/shopdetail.html?branduid=512315&xcode=001&mcode=001&scode=&type=X&sort=manual&cur_code=001001&search=&GfDT=bml7W1hM,,//cdn4-aka.makeshop.co.kr/shopimages/chicfox/0010010068642.gif?1740650680,,,,1,"옐로우, 네이비",0,TOP,니트,TOP > 니트
키쉬 언발 버튼 니트,https://www.chicfox.co.kr/shop/shopdetail.html?branduid=512523&xcode=001&mcode=001&scode=&type=X&sort=manual&cur_code=001001&search=&GfDT=a2p3VVU%3D,,//cdn4-aka.makeshop.co.kr/shopimages/chicfox/0010010068772.gif?1743676216,,,,0,"화이트, 그레이, 블랙",0,TOP,니트,TOP > 니트
냅핑 딥브이넥 레글런 니트,https://www.chicfox.co.kr/shop/shopdetail.html?branduid=512527&xcode=001&mcode=001&scode=&type=X&sort=manual&cur_code=001001&search=&GfDT=bm9%2FW1lE,,//cdn4-aka.makeshop.co.kr/shopimages/chicfox/0010010068782.jpg?1743753620,,,,0,"아이보리,크림, 핑크, 옐로우, 네이비",0,TOP,니트,TOP > 니트
,https://www.chicfox.co.kr/shop/shopdetail.html?branduid=512599&xcode=001&mcode=008&scode=&type=X&sort=manual&cur_code=001008&search=&GfDT=bG53Ug%3D%3D,,https://cdn4-aka.makeshop.co.kr/shopimages/chicfox/0010080002332.gif?1744878184,,,,0,"아이보리,크림, 브라운, 블랙",0,TOP,베스트,TOP > 베스트
,https://www.chicfox.co.kr/shop/shopdetail.html?branduid=510156&xcode=001&mcode=008&scode=&type=X&sort=manual&cur_code=001008&search=&GfDT=bm58W1g%3D,,https://cdn4-aka.makeshop.co.kr/shopimages/chicfox/0010080000062.gif?1711358411,,,,0,"베이지, 핑크, 데님연청, 옐로우, 형광연두",0,TOP,베스트,TOP > 베스트
,https://www.chicfox.co.kr/shop/shopdetail.html?branduid=504169&xcode=001&mcode=008&scode=&type=X&sort=manual&cur_code=001008&search=&GfDT=Zmt3VA%3D%3D,,https://cdn4-aka.makeshop.co.kr/shopimages/chicfox/0010080001692.gif?1650623632,,,,0,"아이보리,크림, 민트, 베이지, 블랙",0,TOP,베스트,TOP > 베스트
,https://www.chicfox.co.kr/shop/shopdetail.html?branduid=512507&xcode=001&mcode=008&scode=&type=X&sort=manual&cur_code=001008&search=&GfDT=aWt3Vw%3D%3D,,https://cdn4-aka.makeshop.co.kr/shopimages/chicfox/0010080002292.gif?1743480336,,,,0,"아이보리,크림, 그레이",0,TOP,베스트,TOP > 베스트
