상품명,상품URL,상품설명,이미지URL,정가,판매가,할인율,리뷰수,색상,카테고리_대분류,카테고리_소분류,카테고리_전체
,https://baddiary.com/product/11-%EA%B8%B0%ED%9A%8D-12-%EB%B3%B4%EB%A9%94-%ED%95%80%ED%84%B1-%EB%B8%8C%EC%9D%B4%EB%84%A5-%EB%B8%94%EB%9D%BC%EC%9A%B0%EC%8A%A4/25819/category/36/display/1/,,https://baddiary.com/web/product/tiny/202504/1a6c7dda837b8ab9d5660cb09f00d5f9.webp,,,,0,,BEST,,BEST
,https://baddiary.com/product/%EA%B8%B0%EB%B3%B8%ED%85%9C-%EC%BD%94%ED%8A%BC-%EB%AA%A8%EB%8B%AC-%EC%AB%80%EC%AB%80-%EB%B0%98%ED%8C%94-%ED%8B%B0/26051/category/36/display/1/,,https://baddiary.com/web/product/tiny/202404/897031cb6b75765d915449fe430ebc1d.webp,,,,0,"rgb(0, 0, 0);, rgb(254, 255, 239);, rgb(169, 169, 169);, rgb(226, 204, 165);, rgb(254, 192, 203);",BEST,,BEST
,https://baddiary.com/product/%EB%8D%B0%EC%9D%B4%EB%A6%BD-%ED%94%8C%EB%A0%88%EC%96%B4-%EB%A1%B1-%EC%8A%A4%EC%BB%A4%ED%8A%B8/28132/category/36/display/1/,,https://baddiary.com/web/product/tiny/202503/88af7263afba48421236bf54fa89b3ea.webp,,,,0,"rgb(0, 0, 0);, rgb(189, 174, 151);, rgb(235, 232, 232);",BEST,,BEST
,https://baddiary.com/product/made-5%EC%BF%A8%EC%83%B7-%EB%A0%88%EA%B9%85-%EB%A7%A4%EC%A7%81%ED%8C%AC%EC%B8%A0%EA%B8%B0%EB%B3%B8%EB%A1%B1-sl/20046/category/36/display/1/,,https://baddiary.com/web/product/tiny/202308/dee6b763f90a73680885e83fa0eeedf3.webp,,,,0,"rgb(0, 0, 0);",BEST,,BEST
,https://baddiary.com/product/%EB%A9%80%ED%8B%B0-%EC%8A%A4%ED%8A%B8%EB%9D%BC%EC%9D%B4%ED%94%84-%EC%85%94%EC%B8%A0-%EB%82%A8%EB%B0%A9/27899/category/36/display/1/,,https://baddiary.com/web/product/tiny/202501/47d67737aef1792453413ae115a3e48e.webp,,,,0,"rgb(182, 190, 227);, rgb(254, 255, 239);, rgb(227, 186, 214);",BEST,,BEST
,https://baddiary.com/product/%EA%B8%B0%EB%B3%B8%ED%85%9C-%EC%8A%A4%ED%80%98%EC%96%B4-%EB%82%98%EC%8B%9C-%EB%8B%88%ED%8A%B8/13369/category/36/display/1/,,https://baddiary.com/web/product/tiny/202205/6fc74ab8baec253ca764d96ff301ac85.webp,,,,0,"rgb(0, 0, 0);, rgb(150, 204, 137);, rgb(163, 122, 91);, rgb(240, 203, 149);, rgb(254, 255, 239);",BEST,,BEST
,https://baddiary.com/product/%EB%A6%AC%ED%8B%80-%EB%A0%88%ED%84%B0%EB%A7%81-%EB%B0%98%ED%8C%94-%ED%8B%B0/25960/category/36/display/1/,,https://baddiary.com/web/product/tiny/202403/85428a018b93d51313275561601f8456.webp,,,,0,"rgb(215, 177, 112);, rgb(254, 255, 239);, rgb(254, 192, 203);",BEST,,BEST
,https://baddiary.com/product/%EC%95%84%EB%A5%B4%EC%BD%94-%ED%8A%B8%EC%9C%84%EB%93%9C-%EC%88%8F-%EC%9E%90%EC%BC%93%EB%A1%B1-%EC%8A%A4%EC%BB%A4%ED%8A%B8-%ED%88%AC%ED%94%BC%EC%8A%A4-%EC%84%B8%ED%8A%B8sl/27265/category/36/display/1/,,https://baddiary.com/web/product/tiny/202409/d0eb3277aeeb515c79ba96fcd4abac33.webp,,,,0,"rgb(0, 0, 130);, rgb(0, 0, 0);",BEST,,BEST
,https://baddiary.com/product/%EC%B2%B4%ED%81%AC-%EB%81%88%EB%82%98%EC%8B%9C-%EB%A1%B1-%EC%9B%90%ED%94%BC%EC%8A%A4/26052/category/36/display/1/,,https://baddiary.com/web/product/tiny/202404/0f6331b23d6e34f59ccd179ee08b5956.gif,,,,0,"rgb(0, 0, 0);, rgb(217, 43, 43);, rgb(49, 93, 224);",BEST,,BEST
,https://baddiary.com/product/%EC%97%AC%EB%A6%AC-%EC%8D%B8%EB%A8%B8-%EC%8B%9C%EC%8A%A4%EB%A3%A8-%EA%B0%80%EB%94%94%EA%B1%B4/26037/category/36/display/1/,,https://baddiary.com/web/product/tiny/202404/83eba6096225e2b255ccc34f1f92ac86.webp,,,,0,"rgb(0, 0, 0);, rgb(215, 177, 112);, rgb(156, 184, 255);, rgb(254, 255, 239);, rgb(254, 192, 203);",BEST,,BEST
